SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC10513,7,0,7,69,29,7,103,219,47,372
SSC10514,0,0,0,16,7,0,20,36,13,74
SSC10515,232,27,259,1889,827,28,2742,8560,694,11993
SSC10516,3,0,3,36,9,0,43,64,3,111
SSC10517,84,96,185,2146,495,60,2702,5064,826,8592
SSC10518,0,0,0,24,6,0,26,28,4,63
SSC10519,0,0,0,3,0,0,9,8,0,15
SSC10520,0,0,0,0,0,0,0,0,3,4
SSC10521,0,0,0,9,3,0,8,20,3,32
SSC10522,19,8,29,223,92,11,328,835,303,1467
SSC10523,19,7,24,570,191,25,781,1279,109,2172
SSC10524,0,0,0,26,3,0,36,61,28,123
SSC10525,0,0,0,10,5,0,10,24,3,41
SSC10526,4,0,3,305,91,7,402,822,45,1269
SSC10527,0,0,0,19,3,0,26,61,0,85
SSC10528,10,0,10,317,94,21,427,703,72,1199
SSC10529,56,14,69,282,104,14,399,947,259,1607
SSC10530,0,0,0,4,0,0,6,19,0,21
SSC10531,0,0,0,24,4,0,22,69,18,113
SSC10532,0,0,0,6,6,0,8,29,3,40
SSC10533,0,0,0,0,5,0,3,4,0,10
SSC10534,0,0,0,19,6,0,24,56,3,83
SSC10535,4,0,4,75,37,0,121,303,46,470
SSC10536,435,56,499,1402,653,74,2120,5907,659,8690
SSC10537,21,3,25,152,52,12,212,576,99,887
SSC10538,0,0,0,0,0,0,0,0,0,0
SSC10539,18,0,26,120,72,5,202,502,47,755
SSC10540,0,0,0,6,0,0,8,31,3,37
SSC10541,3,0,3,34,12,0,48,124,9,187
SSC10542,0,3,3,4,3,0,3,53,13,69
SSC10543,72,16,94,1433,637,61,2134,4261,495,6895
SSC10544,3,0,3,11,0,0,9,36,7,59
SSC10545,0,0,0,95,28,0,125,195,22,340
SSC10546,0,0,0,0,0,0,0,13,0,21
SSC10547,36,13,49,247,110,8,366,806,164,1338
SSC10548,3,0,3,93,86,0,174,366,27,573
SSC10549,25,11,31,375,159,10,542,894,120,1562
SSC10550,3,3,8,35,11,0,46,182,31,256
SSC10551,0,0,0,4,0,0,4,15,0,20
SSC10552,22,0,22,113,54,3,170,391,63,628
SSC10553,0,0,0,3,3,0,8,29,23,60
SSC10554,0,0,0,24,12,0,33,88,25,143
SSC10555,0,0,0,15,6,0,25,35,14,70
SSC10556,0,0,0,4,0,0,4,26,8,39
SSC10557,36,3,40,656,330,6,992,2369,252,3610
SSC10558,0,0,0,3,3,0,7,0,4,9
SSC10559,0,0,3,56,16,0,75,171,38,281
SSC10560,0,0,0,4,4,0,9,32,11,53
SSC10561,0,0,0,22,5,0,33,86,6,128
SSC10562,0,0,0,3,0,0,3,12,4,26
SSC10563,17,3,20,129,63,0,192,559,132,876
SSC10564,3,0,0,11,15,0,22,70,11,105
SSC10565,0,0,0,3,0,0,3,4,0,10
SSC10566,3,0,3,19,14,0,31,73,11,111
SSC10567,0,0,0,58,18,0,72,76,6,153
SSC10568,3,0,5,60,19,3,81,156,21,256
SSC10569,157,34,199,1189,371,19,1580,4757,754,7090
SSC10570,15,3,20,129,97,7,234,469,50,749
SSC10571,0,0,0,0,0,0,0,0,0,0
SSC10572,0,0,0,4,3,0,8,43,0,54
SSC10573,0,0,0,3,5,3,9,15,0,23
SSC10574,0,0,0,0,0,0,0,0,0,0
SSC10575,21,3,28,379,178,9,562,1342,145,2044
SSC10576,0,0,0,12,3,0,17,20,3,36
SSC10577,6,0,6,16,9,0,33,70,11,108
SSC10578,33,3,33,266,108,9,383,871,65,1312
SSC10579,4,0,3,23,11,0,41,48,11,92
SSC10580,5,0,7,89,21,4,114,362,46,526
SSC10581,0,0,0,7,0,0,8,15,3,27
SSC10582,0,0,0,4,0,0,5,11,0,14
SSC10583,4,0,3,60,15,0,82,163,31,280
SSC10584,0,0,0,51,13,0,61,67,15,136
SSC10585,0,0,0,11,8,0,16,6,0,25
SSC10586,0,0,0,5,7,0,14,16,7,39
SSC10587,0,0,0,3,0,0,3,9,0,10
SSC10588,0,0,0,3,4,0,7,21,9,37
SSC10589,9,0,9,62,23,3,92,303,38,437
SSC10590,3,0,4,94,34,3,131,230,75,438
SSC10591,0,0,0,42,14,4,61,143,24,234
SSC10592,485,114,599,2373,1149,100,3625,9707,1512,14846
SSC10593,0,0,0,23,11,0,30,51,9,97
SSC10594,76,12,92,1291,356,41,1691,3230,468,5383
SSC10595,0,0,0,8,0,0,8,10,7,15
SSC10596,0,0,0,28,21,0,42,107,21,174
SSC10597,0,0,0,3,0,0,7,40,5,45
SSC10598,0,0,0,47,14,4,64,136,20,213
SSC10599,13,0,15,101,48,12,166,416,56,635
SSC10600,0,0,0,0,0,0,0,5,0,5
SSC10601,74,3,82,515,117,16,649,1906,147,2700
SSC10602,0,0,0,4,0,0,10,14,0,17
SSC10603,8,0,11,21,12,0,31,152,20,197
SSC10604,0,0,0,7,0,0,7,9,0,13
SSC10605,3,0,3,11,8,0,13,56,0,71
SSC10606,0,0,0,15,17,0,30,106,6,142
SSC10607,0,0,0,13,5,0,22,45,3,69
SSC10608,106,10,116,235,101,20,347,961,123,1438
SSC10609,4,0,4,75,24,0,99,214,22,333
SSC10610,0,0,0,16,6,0,19,54,8,84
SSC10611,0,0,0,0,3,0,6,5,0,12
SSC10612,18,0,15,60,51,3,110,315,46,465
SSC10613,0,0,0,31,14,0,44,90,12,145
SSC10614,0,0,0,11,0,0,11,13,3,31
SSC10615,0,0,0,3,0,0,10,13,14,42
SSC10616,0,0,0,0,0,0,0,3,0,3
SSC10617,0,0,0,8,4,0,15,20,3,38
SSC10618,0,0,0,25,3,0,24,44,4,82
SSC10619,0,0,0,4,3,0,7,17,3,25
SSC10620,0,0,0,23,18,3,49,117,11,178
SSC10621,41,11,55,221,87,25,332,993,184,1508
SSC10622,3,0,3,21,13,0,38,126,13,172
SSC10623,0,0,0,4,3,3,8,10,3,16
SSC10624,0,0,0,0,0,0,0,0,0,0
SSC10625,9,0,9,83,31,3,113,280,45,442
SSC10626,0,0,0,7,7,0,14,47,12,71
SSC10627,0,0,0,3,0,0,3,7,9,17
SSC10628,3,0,3,27,19,0,47,98,11,158
SSC10629,3,0,4,45,24,0,68,163,20,248
SSC10630,0,0,0,15,8,0,29,75,9,111
SSC10631,0,0,0,0,0,0,0,14,0,14
SSC10632,0,3,5,0,0,0,0,19,0,21
SSC10633,0,0,0,3,3,0,4,16,3,25
SSC10634,3,0,3,32,6,0,39,83,19,143
SSC10635,0,0,0,14,6,0,19,55,14,87
SSC10636,0,0,0,0,0,0,0,10,0,11
SSC10637,0,0,0,11,8,0,18,18,5,44
SSC10638,0,0,0,0,0,0,0,11,3,18
SSC10639,0,0,0,0,0,0,0,0,0,0
SSC10640,0,0,0,0,0,0,0,0,0,0
SSC10641,0,0,0,34,13,0,47,93,14,158
SSC10642,96,26,122,498,245,19,766,1806,222,2790
SSC10643,0,0,0,0,0,0,0,0,0,0
SSC10644,3,0,3,5,11,3,18,36,4,58
SSC10645,67,26,90,564,249,18,827,1763,261,2856
SSC10646,0,0,5,14,5,0,16,87,11,118
SSC10647,0,0,0,0,0,0,0,0,0,0
SSC10648,0,0,0,38,5,0,44,51,9,104
SSC10649,55,7,65,156,79,3,242,880,124,1240
SSC10650,0,0,0,0,0,0,0,0,0,0
SSC10651,0,0,0,54,29,4,87,160,39,283
SSC10652,0,0,0,0,0,0,0,6,0,3
SSC10653,0,0,0,3,3,0,3,5,3,11
SSC10654,0,0,0,3,0,0,3,4,0,3
SSC10655,0,0,0,9,0,0,12,23,0,36
SSC10656,12,0,12,219,83,19,322,618,58,994
SSC10657,0,0,0,15,0,0,20,12,0,31
SSC10658,0,0,0,18,3,0,21,55,20,100
SSC10659,0,0,0,9,3,0,6,19,3,34
SSC10660,0,0,0,17,13,3,26,41,16,87
SSC10661,0,0,0,0,0,0,0,18,3,23
SSC10662,80,21,103,1217,454,67,1738,2710,267,4722
SSC10663,3,0,3,11,0,0,11,25,3,33
SSC10664,0,0,0,10,5,0,16,35,12,67
SSC10665,0,0,0,4,0,0,4,6,0,9
SSC10666,3,0,3,9,0,0,11,67,15,95
SSC10667,0,0,0,3,3,0,7,11,3,18
SSC10668,0,0,0,17,10,0,18,67,3,90
SSC10669,0,0,0,16,7,0,30,74,15,116
SSC10670,55,53,112,336,184,19,542,1593,215,2350
SSC10671,19,4,20,109,31,4,137,334,85,551
SSC10672,32,3,41,332,156,13,495,1004,72,1574
SSC10673,0,0,0,13,6,0,16,29,4,50
SSC10674,0,0,0,6,4,3,15,17,5,31
SSC10675,0,0,0,5,7,0,9,20,7,45
SSC10676,0,0,0,16,3,0,18,57,13,87
SSC10677,0,0,0,0,0,0,0,8,0,6
SSC10678,0,0,0,12,3,0,11,47,14,69
SSC10679,0,0,0,0,0,0,0,0,0,0
SSC10680,0,0,0,8,9,0,15,42,3,58
SSC10681,0,0,0,10,3,0,10,51,12,66
SSC10682,0,0,0,721,76,17,805,997,85,1886
SSC10683,0,0,0,13,8,0,17,62,16,102
SSC10684,23,3,25,779,213,49,1047,1871,281,3196
SSC10685,3,0,3,59,21,0,75,213,24,312
SSC10686,7,0,3,24,13,3,36,94,3,137
SSC10687,0,0,0,30,10,0,46,128,18,188
SSC10688,0,0,0,11,6,3,24,57,3,80
SSC10689,0,0,0,10,3,0,21,55,12,84
SSC10690,3,0,3,22,4,0,23,86,7,119
SSC10691,0,0,0,22,13,3,39,79,15,127
SSC10692,0,0,0,6,3,0,7,48,15,73
SSC10693,0,0,0,13,3,0,15,28,3,46
SSC10694,0,0,0,14,3,0,21,90,12,117
SSC10695,0,0,0,8,0,0,7,14,0,26
SSC10696,5,0,11,184,91,7,285,570,99,951
SSC10697,0,0,0,107,55,0,171,404,81,659
SSC10698,0,0,0,13,0,0,12,35,10,50
SSC10699,3,0,3,13,3,0,18,45,8,70
SSC10700,0,0,0,6,0,0,4,42,3,51
SSC10701,145,10,152,325,191,9,522,1578,162,2261
SSC10702,0,0,0,15,11,0,24,39,7,67
SSC10703,3,0,4,5,0,0,7,75,9,92
SSC10704,0,0,0,12,0,0,8,3,0,11
SSC10705,82,9,101,660,257,27,943,1814,133,2887
SSC10706,3,0,5,41,21,0,60,116,14,190
SSC10707,0,3,4,10,5,0,11,29,14,53
SSC10708,6,0,6,58,23,0,87,186,27,297
SSC10709,8,0,5,20,9,5,34,144,22,196
SSC10710,3,0,4,39,10,0,51,142,25,214
SSC10711,0,0,0,4,0,0,4,34,5,42
SSC10712,40,6,50,226,88,0,315,804,116,1230
SSC10713,7,0,7,129,52,3,182,448,69,706
SSC10714,0,0,0,4,3,0,5,3,5,17
SSC10715,7,0,6,23,8,3,33,46,13,94
SSC10716,3,0,3,51,36,3,88,165,35,288
SSC10717,0,0,0,24,4,3,30,62,15,112
SSC10718,312,55,371,1799,505,30,2331,11138,995,14461
SSC10719,40,17,58,147,45,8,200,548,72,822
SSC10720,41,9,47,595,164,17,781,1996,432,3207
SSC10721,0,0,0,4,0,0,6,15,6,29
SSC10722,0,0,0,0,3,0,4,8,3,18
SSC10723,17,4,21,190,99,11,294,554,32,881
SSC10724,0,0,0,12,3,0,12,34,0,45
SSC10725,3,0,3,26,9,0,33,79,12,121
SSC10726,16,3,17,415,116,11,546,873,113,1532
SSC10727,0,3,5,47,21,0,65,168,26,261
SSC10728,0,0,0,0,0,0,0,0,0,0
SSC10729,3,0,3,16,4,0,26,82,9,117
SSC10730,0,0,0,0,3,0,5,10,5,19
SSC10731,0,0,0,6,3,0,8,39,0,48
SSC10732,0,0,0,6,9,0,15,28,3,40
SSC10733,102,43,150,606,276,19,905,2906,1026,4838
SSC10734,0,0,0,16,13,4,30,68,11,110
SSC10735,10,0,6,227,95,3,326,663,76,1068
SSC10736,36,5,39,303,183,6,492,1083,78,1654
SSC10737,3,0,3,16,9,3,23,60,0,86
SSC10738,0,0,0,3,0,0,3,46,3,51
SSC10739,0,0,0,0,0,0,0,5,3,8
SSC10740,489,42,534,3158,650,45,3857,12811,1219,17887
SSC10741,96,7,102,1068,314,27,1408,4014,368,5791
SSC10742,0,0,0,0,3,0,6,15,13,30
SSC10743,98,0,94,269,62,5,335,741,84,1155
SSC10744,0,0,0,3,3,0,7,28,3,36
SSC10745,0,0,0,0,0,0,0,0,0,0
SSC10746,0,0,0,10,3,0,8,31,8,43
SSC10747,0,0,0,0,0,0,0,3,0,3
SSC10748,30,0,32,739,255,33,1025,1777,201,3004
SSC10749,0,0,0,0,0,0,0,8,3,13
SSC10750,0,0,3,28,16,0,47,77,11,135
SSC10751,0,0,0,8,0,0,8,24,0,24
SSC10752,0,0,3,35,16,0,46,54,4,107
SSC10753,0,0,0,5,0,0,5,3,0,6
SSC10754,0,0,0,11,0,0,9,48,3,59
SSC10755,0,0,0,0,39,0,40,1221,71,1326
SSC10756,0,0,0,0,0,0,0,4,0,4
SSC10757,30,4,36,290,141,11,440,1284,110,1841
SSC10758,29,8,34,93,56,3,151,460,78,690
SSC10759,0,0,0,13,4,3,19,46,13,78
SSC10760,0,0,0,19,5,0,24,30,18,70
SSC10761,0,0,0,0,0,0,0,0,0,0
SSC10762,0,0,0,19,7,0,23,35,8,63
SSC10763,0,0,0,36,16,0,50,141,13,204
SSC10764,11,0,11,233,101,15,348,524,45,918
SSC10765,0,0,0,3,3,0,4,21,0,29
SSC10766,0,0,0,0,0,0,0,30,0,30
SSC10767,10,0,10,374,164,18,554,964,61,1579
SSC10768,60,17,79,1122,477,62,1666,3232,413,5312
SSC10769,0,0,0,0,0,0,0,0,0,0
SSC10770,141,52,191,498,212,31,742,1688,227,2654
SSC10771,12,0,13,13,17,3,34,83,10,128
SSC10772,5,3,8,512,167,18,692,896,65,1658
SSC10773,55,12,66,873,407,37,1323,2113,129,3561
SSC10774,0,0,0,0,0,0,0,0,0,0
SSC10775,25,64,90,1932,475,61,2471,3019,350,5838
SSC10776,0,0,0,9,0,0,10,20,3,35
SSC10777,0,0,0,3,3,0,7,20,5,31
SSC10778,68,19,85,1353,353,31,1733,3634,350,5726
SSC10779,0,0,0,0,3,0,3,12,0,20
SSC10780,254,53,310,1863,681,55,2598,6801,940,10340
SSC10781,37,9,46,826,313,17,1160,7511,952,9620
SSC10782,352,34,391,3821,791,53,4668,14633,1494,20795
SSC10783,0,0,0,0,3,0,3,35,0,41
SSC10784,0,0,0,28,12,4,41,73,0,116
SSC10785,25,3,31,218,57,5,276,671,52,1009
SSC10786,0,0,0,0,0,0,0,5,3,9
SSC10787,0,0,0,6,0,0,7,16,0,27
SSC10788,6,0,6,113,47,4,165,333,49,549
SSC10789,0,0,0,0,0,0,0,21,5,28
SSC10790,0,0,3,112,50,8,164,288,63,517
SSC10791,161,15,184,1576,480,22,2077,6271,486,8832
SSC10792,215,22,240,1461,378,31,1870,5860,565,8289
SSC10793,5,0,5,82,43,6,135,236,27,392
SSC10794,0,0,3,38,5,4,46,77,15,137
SSC10795,0,0,0,7,0,0,6,10,0,17
SSC10796,69,7,81,309,135,18,464,1200,151,1816
SSC10797,92,10,106,1091,313,18,1428,4230,456,6112
SSC10798,68,18,89,111,55,4,167,708,148,1031
SSC10799,7,0,7,63,26,0,91,220,25,332
SSC10800,0,0,0,9,0,0,9,44,12,63
SSC10801,0,0,0,0,0,0,4,6,0,5
SSC10802,3,0,3,21,7,0,29,78,15,120
SSC10803,0,0,0,0,3,0,3,0,0,3
SSC10804,4,3,3,97,31,4,137,294,55,478
SSC10805,0,0,0,3,0,0,3,34,8,43
SSC10806,0,0,3,42,12,0,55,63,25,144
SSC10807,0,0,0,0,6,0,4,32,8,38
SSC10808,15,3,13,28,19,0,47,189,32,267
SSC10809,107,21,125,1008,457,50,1518,2948,258,4720
SSC10810,76,41,120,236,96,13,348,748,121,1213
SSC10811,41,6,52,528,217,15,762,1394,100,2261
SSC10812,85,10,98,108,75,3,191,520,68,772
SSC10813,5,0,8,108,34,4,149,257,36,443
SSC10814,0,0,0,19,11,3,33,93,7,131
SSC10815,321,55,372,2117,704,71,2892,5961,636,9495
SSC10816,303,35,337,2255,985,80,3320,5994,423,9736
SSC10817,0,0,0,11,4,0,16,7,3,27
SSC10818,412,99,523,4725,1448,93,6269,12614,926,19811
SSC10819,163,46,214,1810,507,39,2357,6027,526,8907
SSC10820,3,0,3,491,76,10,577,821,53,1453
SSC10821,0,0,0,0,0,0,0,5,3,8
SSC10822,0,0,3,30,15,0,48,87,9,142
SSC10823,3,0,7,28,4,0,35,110,18,160
SSC10824,0,0,0,0,0,0,0,0,3,4
SSC10825,0,0,0,0,0,0,0,0,0,0
SSC10826,127,7,137,434,133,12,577,2039,279,2898
SSC10827,0,0,3,44,6,0,56,106,26,190
SSC10828,0,0,0,23,5,0,28,65,19,107
SSC10829,0,0,0,0,4,0,3,21,0,30
SSC10830,17,4,22,281,124,13,415,1114,130,1653
SSC10831,0,0,0,0,0,0,3,11,0,18
SSC10832,0,0,3,55,16,0,77,156,32,261
SSC10833,0,0,0,4,0,0,4,9,13,27
SSC10834,3,0,3,14,6,0,29,71,10,103
SSC10835,0,0,0,0,0,0,0,9,0,14
SSC10836,0,0,0,0,3,0,6,12,3,22
SSC10837,33,9,42,226,77,8,308,656,45,1013
SSC10838,14,3,25,298,92,14,402,1199,263,1866
SSC10839,3,0,3,20,11,5,40,94,24,154
SSC10840,0,0,0,5,0,0,5,9,0,16
SSC10841,7,3,8,214,106,7,326,752,111,1179
SSC10842,0,0,0,0,0,0,0,5,3,5
SSC10843,328,62,395,1412,670,76,2152,5665,893,8711
SSC10844,3,0,3,54,12,0,63,152,29,240
SSC10845,82,9,97,499,135,15,657,1274,103,2027
SSC10846,0,0,0,29,4,0,38,86,10,127
SSC10847,822,460,1299,7205,2527,177,9903,20208,1768,31881
SSC10848,0,0,0,28,12,0,39,79,28,145
SSC10849,59,4,71,617,142,12,769,1394,111,2284
SSC10850,8,3,11,189,99,6,292,555,97,944
SSC10851,9,3,8,641,130,21,789,1002,177,1972
SSC10852,194,38,237,2518,772,58,3346,7937,1006,12297
SSC10853,87,50,138,267,110,13,394,1336,232,1961
SSC10854,0,0,0,0,0,0,0,8,0,8
SSC10855,5,0,5,20,8,0,27,55,6,88
SSC10856,14,5,18,220,87,3,309,859,188,1354
SSC10857,3,0,3,23,14,0,32,87,11,132
SSC10858,0,0,0,7,5,3,10,11,3,30
SSC10859,3,0,3,122,46,6,174,404,52,631
SSC10860,0,0,0,7,6,0,7,12,3,22
SSC10861,0,0,0,10,0,0,10,18,10,40
SSC10862,87,11,103,643,368,32,1039,2161,159,3359
SSC10863,8,0,7,56,45,0,104,227,32,366
SSC10864,0,0,0,17,9,0,25,125,15,167
SSC10865,25,0,31,1078,365,20,1468,3803,308,5578
SSC10866,13,0,13,103,44,0,151,429,55,629
SSC10867,0,0,0,21,11,0,27,50,14,87
SSC10868,0,0,0,3,0,0,6,17,7,28
SSC10869,0,0,0,0,0,0,0,7,6,18
SSC10870,10,0,7,38,34,0,72,209,26,306
SSC10871,0,0,4,23,12,0,40,99,13,148
SSC10872,0,0,0,0,0,0,0,0,0,0
SSC10873,19,10,27,286,113,5,402,1484,210,2099
SSC10874,0,0,0,7,3,0,6,14,3,23
SSC10875,0,0,0,3,0,0,7,26,9,44
SSC10876,3,3,5,40,13,0,49,163,17,234
SSC10877,3,0,3,29,13,0,43,177,39,259
SSC10878,413,69,492,2135,1104,110,3346,7131,1833,12306
SSC10879,0,0,0,0,0,0,0,0,0,0
SSC10880,51,28,77,269,149,16,434,1477,206,2119
SSC10881,0,0,0,5,3,0,11,20,9,37
SSC10882,0,0,0,5,3,0,5,38,3,46
SSC10883,0,0,0,21,9,3,34,67,11,104
SSC10884,0,0,0,0,20,0,24,309,0,332
SSC10885,343,35,382,2124,915,114,3156,6883,581,10619
SSC10886,0,0,0,7,0,0,7,41,8,53
SSC10887,0,0,0,30,8,0,35,90,17,148
SSC10888,0,0,0,5,3,0,6,8,4,15
SSC10889,53,10,64,372,189,31,592,1262,178,2029
SSC10890,0,0,0,0,0,0,0,21,0,25
SSC10891,0,0,0,10,3,0,14,59,6,76
SSC10892,424,89,519,4404,934,84,5417,14107,1341,20862
SSC10893,29,6,36,283,85,5,369,786,57,1218
SSC10894,0,0,4,25,19,0,40,87,15,141
SSC10895,0,0,0,8,8,3,18,52,6,75
SSC10896,30,8,37,416,156,14,586,1194,61,1839
SSC10897,0,0,0,0,9,0,14,33,12,62
SSC10898,395,48,451,3346,1208,85,4643,10215,480,15336
SSC10899,319,30,356,1871,489,49,2416,6764,791,9974
SSC10900,0,0,0,5,0,0,4,12,5,20
SSC10901,54,9,67,556,191,13,759,1636,206,2605
SSC10902,0,0,0,3,0,0,3,0,0,3
SSC10903,0,0,0,33,29,0,58,117,12,192
SSC10904,7,4,12,25,16,0,40,123,28,190
SSC10905,36,9,51,115,95,3,217,1032,174,1422
SSC10906,0,0,0,5,0,0,5,16,3,21
SSC10907,7,3,13,307,110,8,428,6846,1098,8371
SSC10908,142,10,161,1471,546,32,2047,4793,394,7234
SSC10909,7,0,7,368,115,16,504,533,35,1076
SSC10910,95,9,103,488,120,5,617,1677,216,2507
SSC10911,24,0,31,350,159,24,533,983,110,1629
SSC10912,6,0,6,165,68,4,240,501,31,769
SSC10913,0,0,0,7,3,0,5,13,13,34
SSC10914,0,0,0,0,0,0,0,0,0,0
SSC10915,19,0,18,152,103,3,260,535,56,854
SSC10916,0,0,3,31,11,0,38,86,28,156
SSC10917,0,0,0,3,8,0,9,10,0,16
SSC10918,10,0,12,1033,243,23,1298,2134,149,3578
SSC10919,0,3,3,19,9,3,34,113,25,173
SSC10920,16,6,20,336,164,5,505,979,127,1615
SSC10921,0,0,0,22,14,0,34,50,9,95
SSC10922,3,0,3,71,49,3,122,295,38,462
SSC10923,18,0,19,119,77,3,197,421,21,637
SSC10924,0,0,4,312,102,16,426,916,430,1768
SSC10925,0,0,0,7,14,0,25,67,4,96
SSC10926,0,0,0,13,0,0,8,13,0,25
SSC10927,0,0,0,0,0,0,0,10,0,10
SSC10928,97,3,101,254,82,5,345,931,65,1344
SSC10929,3,0,3,34,19,0,54,109,7,170
SSC10930,0,0,0,3,0,0,6,11,0,19
SSC10931,0,0,0,3,0,0,5,10,3,20
SSC10932,4,0,6,176,58,11,245,255,70,571
SSC10933,0,0,0,0,3,0,4,16,0,27
SSC10934,3,0,3,153,72,9,228,419,25,675
SSC10935,36,0,42,331,85,15,432,866,76,1367
SSC10936,0,0,3,51,15,3,66,121,35,226
SSC10937,0,0,0,0,0,0,0,3,0,3
SSC10938,42,0,47,929,213,22,1166,2389,241,3792
SSC10939,4,0,4,146,61,3,215,418,57,686
SSC10940,0,0,0,16,9,0,30,90,8,122
SSC10941,0,0,0,0,0,0,0,8,0,6
SSC10942,0,0,0,5,12,0,20,40,9,64
SSC10943,36,3,41,247,176,13,433,979,92,1501
SSC10944,0,0,0,22,18,4,44,106,4,155
SSC10945,0,0,0,5,4,0,10,35,4,53
SSC10946,0,0,0,0,3,0,3,12,28,44
SSC10947,0,0,0,40,10,0,54,90,8,157
SSC10948,0,0,0,5,3,0,10,26,5,37
SSC10949,57,12,74,663,181,27,868,1782,455,3101
SSC10950,0,0,0,6,7,0,11,16,0,28
SSC10951,9,0,15,96,37,3,132,433,81,642
SSC10952,0,0,0,11,0,0,11,22,4,33
SSC10953,0,0,0,27,6,0,38,30,0,66
SSC10954,24,8,23,383,146,3,533,951,140,1624
SSC10955,0,0,0,3,4,0,11,10,3,29
SSC10956,0,0,0,3,0,0,3,10,0,14
SSC10957,0,0,0,15,3,0,14,36,3,51
SSC10958,3,0,3,28,18,3,43,114,23,183
SSC10959,553,323,887,3506,1457,178,5142,13760,2377,21271
SSC10960,0,0,0,3,0,0,3,4,0,4
SSC10961,0,0,0,3,0,0,3,8,0,13
SSC10962,0,0,3,3,3,0,6,29,6,44
SSC10963,0,0,0,8,4,0,11,31,0,39
SSC10964,22,3,29,204,92,8,296,614,123,1045
SSC10965,4,0,4,451,85,12,546,846,57,1449
SSC10966,7,0,11,270,77,8,357,574,57,986
SSC10967,0,0,0,13,3,0,16,22,10,47
SSC10968,3,0,3,26,11,0,31,60,9,104
SSC10969,10,0,10,72,34,0,110,343,48,502
SSC10970,149,97,251,1329,512,36,1881,4129,573,6579
SSC10971,116,18,126,1005,266,39,1313,2138,195,3646
SSC10972,3,0,3,63,22,0,88,128,22,231
SSC10973,3,0,4,25,7,0,28,49,4,87
SSC10974,0,0,0,14,0,3,14,23,0,33
SSC10975,0,0,0,33,14,3,46,92,17,154
SSC10976,0,0,0,40,15,0,50,93,28,172
SSC10977,0,0,0,8,3,0,11,25,3,39
SSC10978,0,0,0,13,7,0,25,72,14,110
SSC10979,3,0,4,80,44,5,129,348,77,548
SSC10980,0,0,0,0,0,0,0,0,0,0
SSC10981,0,0,0,4,0,0,4,8,8,26
SSC10982,0,0,0,0,0,0,0,0,4,3
SSC10983,0,0,0,9,0,0,15,32,0,43
SSC10984,3,0,3,46,20,3,74,145,43,259
SSC10985,10,3,11,282,106,18,406,788,82,1279
SSC10986,0,0,0,0,0,0,0,0,0,0
SSC10987,64,4,71,1295,505,44,1848,4350,494,6693
SSC10988,0,0,0,4,0,0,4,11,0,18
SSC10989,0,0,0,18,10,3,34,31,11,74
SSC10990,0,0,0,5,3,0,10,28,25,64
SSC10991,0,0,0,5,0,0,5,19,3,26
SSC10992,12,3,13,61,28,0,91,255,40,380
SSC10993,0,0,0,16,4,0,21,72,3,99
SSC10994,0,0,0,0,0,0,3,11,0,8
SSC10995,0,0,0,4,3,0,10,24,19,54
SSC10996,59,9,67,876,270,42,1184,1692,130,3006
SSC10997,3,0,0,11,5,0,19,18,10,43
SSC10998,0,0,0,20,6,0,28,59,17,100
SSC10999,446,26,475,2489,891,61,3435,7877,542,11852
SSC11000,101,11,118,1009,281,13,1300,3220,260,4782
SSC11001,168,28,202,1867,606,28,2501,5714,647,8858
SSC11002,79,21,102,515,187,25,725,1634,355,2705
SSC11003,3,0,3,53,30,0,83,141,34,254
SSC11004,0,0,0,0,0,0,0,13,6,16
SSC11005,7,0,11,54,18,0,75,165,11,258
SSC11006,4,0,9,62,25,3,83,181,34,295
SSC11007,0,0,0,14,19,0,34,105,17,162
SSC11008,0,3,3,31,4,3,45,123,30,199
SSC11009,0,0,0,3,0,0,4,7,0,11
SSC11010,50,13,64,323,169,12,511,1250,132,1890
SSC11011,0,3,4,22,14,0,36,77,9,124
SSC11012,3,7,11,47,14,0,57,196,25,282
SSC11013,67,5,73,476,186,16,673,1539,98,2303
SSC11014,33,13,43,635,209,20,862,2085,208,3163
SSC11015,154,40,199,2212,652,59,2924,8632,1504,13063
SSC11016,3,0,7,24,10,0,33,82,16,132
SSC11017,0,0,0,9,4,0,6,41,13,60
SSC11018,8,0,10,68,26,3,102,268,65,428
SSC11019,43,6,56,417,242,21,677,2263,260,3199
SSC11020,0,0,0,12,0,0,13,25,6,42
SSC11021,0,0,0,9,8,0,13,25,12,52
SSC11022,3,3,4,39,10,0,51,98,18,167
SSC11023,7,0,7,29,16,0,55,162,25,241
SSC11024,24,3,26,184,74,3,258,631,142,1037
SSC11025,28,34,67,355,139,14,510,969,240,1720
SSC11026,0,0,0,40,19,12,77,179,22,275
SSC11027,0,0,0,0,0,0,0,0,0,0
SSC11028,0,0,0,9,6,0,16,70,18,103
SSC11029,0,0,0,0,0,0,0,0,0,0
SSC11030,0,0,0,0,0,0,0,8,0,8
SSC11031,3,0,3,15,12,0,24,60,20,107
SSC11032,3,0,3,41,22,0,63,224,39,329
