SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC51269,34,932,457,210,1002,0.8,810,2.5
SSC51270,45,1184,745,164,1645,0.7,1326,2.2
SSC51271,43,1950,526,350,1302,0.7,1093,2.4
SSC51272,34,0,824,0,1375,1.3,1187,2
SSC51273,59,0,706,0,0,0.6,1343,2.1
SSC51274,45,2165,733,0,1968,0.6,1906,2.7
SSC51275,43,3125,1087,0,2437,1.2,2583,1.6
SSC51276,37,1950,724,350,1775,0.8,1449,2.5
SSC51277,53,1107,641,113,1437,0.8,1125,2.2
SSC51278,46,1517,628,240,1449,0.8,1300,2.5
SSC51279,38,3000,450,200,1166,1,1416,3.4
SSC51280,0,0,0,0,0,0,0,0
SSC51281,42,26,725,0,725,0.9,1874,1.5
SSC51282,46,2300,644,220,2055,0.7,1812,2.9
SSC51283,0,0,0,0,0,0,0,0
SSC51284,0,0,0,0,0,0,0,0
SSC51285,32,2000,642,350,1606,0.8,1428,2.8
SSC51286,42,2400,807,100,1825,0.8,1666,2.5
SSC51287,38,2159,591,400,1776,0.8,1565,2.8
SSC51288,32,2000,761,350,1813,0.9,1456,2.2
SSC51289,47,1842,725,263,1833,0.8,1562,2.4
SSC51290,47,1680,561,300,1432,0.7,1057,2.1
SSC51291,35,0,1182,50,619,1.1,687,3.6
SSC51292,0,0,0,0,0,0,0,0
SSC51293,44,454,488,150,974,0.7,706,2.2
SSC51294,32,1717,374,150,892,1.2,971,3.3
SSC51295,43,2167,753,175,1542,1.1,1208,2.4
SSC51296,39,2167,784,250,2166,0.8,2090,3
SSC51297,42,2116,749,350,2092,0.7,1873,2.7
SSC51298,44,1733,604,150,1375,0.9,1093,2.5
SSC51299,51,2700,659,155,1625,0.8,1312,2.4
SSC51300,67,0,725,0,0,0.5,999,2
SSC51301,46,2427,640,455,2486,0.8,1797,2.8
SSC51302,38,0,2119,0,0,0,0,0
SSC51303,34,0,968,95,2562,0.9,1949,1.8
SSC51304,41,2780,550,400,1625,0.9,1625,2.8
SSC51305,37,2000,888,0,2349,0.9,2200,3.2
SSC51306,30,0,899,0,1874,0.9,1874,3.5
SSC51307,46,2700,671,180,1812,0.8,1792,3.2
SSC51308,44,1779,598,325,1615,0.7,1267,2.4
SSC51309,40,337,731,50,1542,0.9,1271,3
SSC51310,45,2600,688,420,2550,0.7,2049,2.6
SSC51311,45,2000,623,400,1976,0.7,1604,2.6
SSC51312,48,1778,671,390,1868,0.7,1566,2.5
SSC51313,0,0,0,0,0,0,0,0
SSC51314,19,0,124,0,0,0,0,0
SSC51315,58,0,509,0,1375,0.5,1083,1.7
SSC51316,39,0,628,0,1312,1,1312,2.9
SSC51317,44,1975,667,420,1881,0.8,1767,2.7
SSC51318,37,0,1016,0,2125,0.7,1958,2.2
SSC51319,34,2167,1061,400,2383,0.8,1870,2.1
SSC51320,0,0,0,0,0,0,0,0
SSC51321,54,1300,640,225,1375,0.8,1257,2.3
SSC51322,30,0,871,0,1812,0.8,2124,3.6
SSC51323,37,0,833,0,0,0,2250,2
SSC51324,35,0,824,0,1875,0.5,1374,2.4
SSC51325,64,826,519,230,966,0.5,687,1.7
SSC51326,31,2167,825,400,2306,0.8,2238,3.3
SSC51327,36,1584,632,310,1292,0.7,1281,2.7
SSC51328,44,2167,684,285,1789,0.8,1611,2.7
SSC51329,29,1744,686,350,1621,0.8,1508,3
SSC51330,54,407,674,0,1875,0.6,880,2.2
SSC51331,49,1733,618,280,1422,0.9,1232,2.5
SSC51332,39,0,599,0,0,0,0,0
SSC51333,0,0,0,0,0,0,0,0
SSC51334,41,2167,736,380,2155,0.8,1804,2.7
SSC51335,39,2900,998,420,2936,0.9,2196,2.5
SSC51336,0,0,0,0,0,0,0,0
SSC51337,46,1831,589,280,1608,0.7,1111,2.1
SSC51338,0,0,0,0,0,0,0,0
SSC51339,52,0,880,0,1375,0.5,1187,2.3
SSC51340,45,1733,619,330,1494,0.7,1286,2.4
SSC51341,30,2167,883,420,2029,0.7,1950,2.9
SSC51342,32,1517,609,260,1490,0.8,1357,2.7
SSC51343,32,2061,757,375,2018,0.8,1853,3
SSC51344,0,0,0,0,0,0,0,0
SSC51345,0,0,0,0,0,0,0,0
SSC51346,48,0,674,0,1843,0.5,1666,2.3
SSC51347,0,0,0,0,0,0,0,0
SSC51348,33,2300,1148,290,2716,0.8,2373,2.8
SSC51349,45,2400,851,500,2648,0.7,2241,2.7
SSC51350,56,0,1499,0,0,0,0,2
SSC51351,35,1400,784,250,1909,0.8,1601,2.4
SSC51352,43,1700,661,300,1657,0.7,1256,2.3
SSC51353,38,0,866,0,1625,1,1024,3.1
SSC51354,39,1300,684,220,1525,0.8,1211,2.4
SSC51355,26,0,850,0,2250,0,2250,0
SSC51356,53,2000,474,0,1125,0.7,900,2.1
SSC51357,45,2000,789,450,2203,0.8,1604,2.2
SSC51358,35,0,699,0,1875,0,1875,2
SSC51359,52,1042,491,115,1125,0.9,850,2.3
SSC51360,35,2000,895,395,2141,0.7,1878,2.6
SSC51361,30,2600,1228,210,2760,0.9,2419,2.8
SSC51362,32,1700,810,270,2186,0.8,1937,2.7
SSC51363,46,0,687,0,1374,1,1374,0
SSC51364,36,0,762,0,1375,0.6,1199,2.4
SSC51365,37,0,537,0,0,0,0,2
SSC51366,34,1733,701,360,1703,0.7,1514,2.6
SSC51367,47,0,1031,0,1024,0.6,1312,2
SSC51368,28,0,268,50,724,1.3,1062,4.4
SSC51369,34,0,1292,0,2499,0.2,1875,4
SSC51370,39,2200,996,390,2554,0.8,1883,2.1
SSC51371,34,2647,702,100,1625,1.1,1550,3.2
SSC51372,50,0,1053,0,3083,0.7,2750,2.3
SSC51373,34,0,850,0,0,0.2,1375,1
SSC51374,36,990,771,60,1875,0.7,1791,2.9
SSC51375,50,0,754,150,1437,0.6,949,1.8
SSC51376,46,0,762,0,1437,0.7,1375,2
SSC51377,51,0,1958,0,3249,0.6,2250,2
SSC51378,39,0,949,0,2250,0.7,1375,2.6
SSC51379,46,2000,599,350,1418,0.7,1278,2.4
SSC51380,55,1250,769,0,1916,0.5,1781,2.1
SSC51381,41,1969,1062,200,2687,0.8,2374,2.8
SSC51382,45,835,668,150,1930,0.7,1210,2.1
SSC51383,32,2214,823,450,2176,0.8,2115,3.2
SSC51384,39,1300,489,220,1185,0.8,916,2.5
SSC51385,41,1954,622,350,1596,0.8,1320,2.4
SSC51386,46,1400,537,260,1303,0.7,944,2.2
SSC51387,53,1175,679,210,1292,0.8,1083,1.9
SSC51388,46,1733,575,0,1625,0.7,1312,2.6
SSC51389,32,0,762,0,0,0,1499,1
SSC51390,25,0,319,75,704,1.2,845,3.8
SSC51391,32,2102,665,348,1921,0.8,1517,2.5
SSC51392,64,0,560,0,1374,0.7,1062,1.7
SSC51393,40,2383,728,0,2349,0.8,2386,3.3
SSC51394,40,2300,781,400,2261,0.7,1997,2.8
SSC51395,39,2871,782,125,2050,0.8,1958,2.9
SSC51396,0,0,0,0,0,0,0,0
SSC51397,43,2000,682,410,1946,0.8,1780,2.8
SSC51398,43,0,2083,0,0,0,0,0
SSC51399,38,2000,745,370,2057,0.8,1984,3.1
SSC51400,44,2134,729,280,2089,0.8,1980,2.9
SSC51401,60,0,1375,0,0,1,1624,1.5
SSC51402,32,1625,674,350,1489,0.8,1302,2.6
SSC51403,26,0,242,0,0,0,0,0
SSC51404,25,0,278,80,585,1.3,811,3.6
SSC51405,38,2400,1146,450,2888,0.9,2113,2.1
SSC51406,32,2100,852,420,2129,0.8,1941,2.9
SSC51407,40,1953,624,150,2125,0.6,1624,3.2
SSC51408,36,1758,675,310,1697,0.7,1346,2.5
SSC51409,42,1733,639,335,1616,0.7,1321,2.5
SSC51410,39,3090,1083,500,3564,0.8,2961,2.8
SSC51411,42,1560,638,65,1593,0.7,1424,2.9
SSC51412,41,0,3000,0,0,0,0,0
SSC51413,55,2500,671,100,1624,0.7,1281,2
SSC51414,56,0,349,0,1312,0.6,1312,2
SSC51415,52,0,724,0,1625,1,1625,3.5
SSC51416,0,0,0,0,0,0,0,0
SSC51417,0,0,0,0,0,0,0,0
SSC51418,0,0,0,0,0,0,0,0
SSC51419,36,726,475,150,1036,0.8,988,2.7
SSC51420,45,509,476,125,949,0.7,850,2
SSC51421,58,0,725,0,0,0,0,2
SSC51422,31,0,239,49,472,1.1,487,3.4
SSC51423,53,0,1458,0,3249,0.5,2750,1.7
SSC51424,32,2200,832,450,2197,0.8,2108,3.2
SSC51425,42,1733,890,320,2244,0.7,1906,2.4
SSC51426,48,0,575,0,762,0.5,725,2
SSC51427,32,0,737,0,1874,0.8,1625,2.2
SSC51428,47,0,675,0,1666,0.9,1375,2.7
SSC51429,35,0,1896,90,599,1.5,1062,4.7
SSC51430,29,0,866,0,1437,0.9,1437,3.4
SSC51431,53,993,518,120,1142,0.8,936,2.2
SSC51432,48,1639,675,0,2166,0.7,2062,2.8
SSC51433,45,1333,762,200,2833,0.5,1874,2.2
SSC51434,0,0,0,0,0,0,0,0
SSC51435,38,2500,909,475,2418,0.7,2323,3
SSC51436,47,1790,766,160,1674,0.9,1575,2.6
SSC51437,37,1733,626,350,1628,0.8,1449,2.8
SSC51438,45,684,542,150,1286,0.7,1042,2.1
SSC51439,43,1813,814,235,1499,0.7,1625,2.2
SSC51440,58,0,349,0,0,0,0,0
SSC51441,46,0,612,25,1625,0.6,1375,2.1
SSC51442,49,0,522,0,1312,0.7,850,2.2
SSC51443,31,737,1614,46,2965,0.9,2490,2.8
SSC51444,58,0,700,0,1375,0.6,1375,2
SSC51445,53,1356,490,280,1209,0.7,971,2.2
SSC51446,51,0,612,0,899,0.6,900,2.5
SSC51447,0,0,0,0,0,0,0,0
SSC51448,45,0,1292,0,0,0,0,2
SSC51449,49,1800,663,150,1516,0.7,1386,2.6
SSC51450,34,1575,478,203,1874,0.7,1374,1.8
SSC51451,31,0,0,0,0,0,0,1
SSC51452,0,0,0,0,0,0,0,0
SSC51453,49,486,450,79,725,0.7,662,2.1
SSC51454,38,2513,784,175,1708,0.7,1542,2.4
SSC51455,0,0,0,0,0,0,0,0
SSC51456,42,2650,988,495,2691,0.8,2230,2.7
SSC51457,69,0,1406,0,0,0.4,1687,1.3
SSC51458,35,1800,795,330,1781,0.8,1362,2
SSC51459,0,0,0,0,0,0,0,0
SSC51460,46,2000,604,135,1583,0.9,1416,2.5
SSC51461,39,2000,582,340,1509,0.7,1276,2.6
SSC51462,33,0,675,0,1292,1.1,1125,3.4
SSC51463,34,0,899,0,1374,1,1374,3.1
SSC51464,39,2004,736,200,1875,0.9,1437,2.9
SSC51465,0,0,0,0,0,0,0,0
SSC51466,45,1757,612,120,1812,0.8,1687,2.5
SSC51467,49,0,612,0,0,0,0,0
SSC51468,48,1975,638,260,1517,0.7,1391,2.6
SSC51469,46,1820,612,0,1499,0.6,1125,2.4
SSC51470,32,0,1687,0,2208,0.9,2089,2.4
SSC51471,36,1517,586,300,1361,0.8,1175,2.5
SSC51472,31,1343,565,260,1237,0.8,1163,2.8
SSC51473,37,0,0,0,0,0,0,0
SSC51474,46,0,1208,170,1625,0.6,1375,1.8
SSC51475,34,1926,692,410,1740,0.8,1646,3
SSC51476,33,2000,847,350,1980,0.9,1554,2.2
SSC51477,0,0,0,0,0,0,0,0
SSC51478,31,1733,926,250,2353,0.8,2090,2.8
SSC51479,0,0,0,0,0,0,0,0
SSC51480,39,1759,692,380,1690,0.7,1408,2.5
SSC51481,50,0,1057,0,2250,0.8,2100,2.5
SSC51482,31,0,1149,0,2250,0.8,2250,2.6
SSC51483,45,0,1625,0,3874,0.6,3124,2.3
SSC51484,17,0,0,0,1874,0.6,1812,2.2
SSC51485,57,0,560,0,1124,0.5,900,2.2
SSC51486,34,1707,679,300,1647,0.8,1429,2.7
SSC51487,51,1000,498,174,1194,0.7,892,2.1
SSC51488,36,1749,637,345,1711,0.7,1516,2.7
SSC51489,46,1481,916,0,2124,0.7,1375,2.1
SSC51490,30,0,1125,0,2416,1,2250,2.6
SSC51491,44,1625,602,260,1354,0.8,1176,2.5
SSC51492,0,0,0,0,0,0,0,0
SSC51493,0,0,0,0,0,0,0,0
SSC51494,42,1907,620,360,1674,0.7,1511,2.7
SSC51495,38,0,575,400,1125,1,1375,2.8
SSC51496,57,1092,477,198,1104,0.7,861,2
SSC51497,43,1421,509,185,1312,0.9,1218,2.5
SSC51498,40,0,941,0,2499,0.6,1874,2.6
SSC51499,0,0,0,0,0,0,0,0
SSC51500,32,0,900,0,1999,0.8,1999,3
SSC51501,27,0,900,0,3125,1,1375,2
SSC51502,38,0,749,0,0,0,0,4
SSC51503,47,1625,758,41,1829,0.7,1607,2.4
SSC51504,30,2383,1012,400,2228,0.7,2113,2.8
SSC51505,53,1240,612,0,1312,0.6,1312,2
SSC51506,31,2000,873,332,2159,0.8,2043,3
SSC51507,57,1233,506,168,1292,0.7,1312,2.4
SSC51508,53,0,774,380,1437,0.4,949,1.3
SSC51509,51,1975,682,180,1562,0.7,1166,2.3
SSC51510,44,2101,613,380,1699,0.7,1448,2.5
SSC51511,39,1950,651,360,1715,0.7,1437,2.6
SSC51512,48,0,674,0,1875,0.8,1624,2.3
SSC51513,51,1571,669,100,1625,0.7,1343,2.6
SSC51514,28,0,327,55,707,1.3,1212,3.8
SSC51515,48,0,479,0,1125,0.6,1124,2
SSC51516,29,2320,875,125,2250,0.7,2049,2.2
SSC51517,26,0,270,75,669,1.3,1097,3.8
SSC51518,36,1699,612,340,1545,0.7,1376,2.7
SSC51519,43,0,725,290,1468,0.6,1343,1.9
SSC51520,45,1625,558,250,1492,0.7,1245,2.4
SSC51521,39,0,1062,0,0,1,0,3
SSC51522,52,0,575,0,1187,0.6,924,2
SSC51523,52,0,1083,0,0,0.7,0,3
SSC51524,40,1950,735,320,1966,0.7,1660,2.8
SSC51525,42,1997,667,400,1860,0.7,1586,2.6
SSC51526,46,2400,662,200,1541,1.1,1524,2.3
SSC51527,42,0,866,0,1875,0.5,2124,2
SSC51528,39,2500,629,375,2284,0.7,2072,2.9
SSC51529,40,1950,632,210,1437,0.7,1437,2.5
SSC51530,46,2134,941,400,2453,0.8,1927,2.4
SSC51531,40,1083,835,0,1854,0.9,1642,2.4
SSC51532,42,1000,1312,90,2750,0.7,2374,2.6
SSC51533,32,2167,876,450,2180,0.8,2145,3.2
SSC51534,47,1733,626,350,1625,0.7,1420,2.5
SSC51535,37,0,1125,0,2250,0.5,2250,2
SSC51536,33,1509,725,220,1850,1,1624,2.6
SSC51537,54,0,383,12,900,1.1,833,1.6
SSC51538,42,1150,836,100,2083,0.7,1812,2.7
SSC51539,42,3467,1156,163,2392,0.8,1937,1.8
SSC51540,44,0,556,0,1375,0.8,1375,2.5
SSC51541,0,0,0,0,0,0,0,0
SSC51542,30,2167,870,370,1991,0.8,1899,2.9
SSC51543,41,0,414,206,1375,0.5,1062,2
SSC51544,54,0,450,0,0,0,574,0
SSC51545,50,2334,787,220,1833,0.8,1875,2.6
SSC51546,51,365,587,100,1062,0.7,1062,2.2
SSC51547,37,0,1125,0,0,0,0,0
SSC51548,35,2167,922,320,2433,0.9,1770,2.4
SSC51549,40,2600,882,450,2753,0.8,2224,2.7
SSC51550,37,0,774,0,1374,0.8,1166,2.5
SSC51551,43,1770,778,350,2088,0.7,1920,2.6
SSC51552,41,0,710,0,0,0,1149,2
SSC51553,44,1690,562,320,1357,0.7,1021,2.3
SSC51554,0,0,0,0,0,0,0,0
SSC51555,37,0,612,0,1625,0,2125,2
SSC51556,44,1700,683,300,1792,0.8,1531,2.3
SSC51557,61,1040,465,250,1009,0.7,710,1.7
SSC51558,35,0,749,0,1749,0.4,1687,1.4
SSC51559,41,0,649,0,1124,1,1062,4
SSC51560,40,0,1437,0,0,0.5,1374,1
SSC51561,30,1950,1014,330,2627,0.8,2280,2.8
SSC51562,36,2500,1106,400,2885,0.9,2097,2.3
SSC51563,25,0,725,0,0,0,0,2
SSC51564,33,2000,1045,400,2329,1,1731,1.8
SSC51565,49,1500,747,150,1562,0.7,1291,2.3
SSC51566,38,2464,689,365,2196,0.9,2200,3.3
SSC51567,52,0,669,0,1791,0.9,1375,2.8
SSC51568,37,750,862,0,1812,0.8,1666,2.7
SSC51569,38,2167,734,230,2181,0.7,1325,2.4
SSC51570,52,1598,599,300,1333,0.7,1116,2.2
SSC51571,47,1114,471,0,1187,0.9,1125,2
SSC51572,33,1800,618,350,1404,0.8,1246,2.4
SSC51573,45,1019,1146,85,1916,0.6,1300,1.8
SSC51574,50,0,1125,70,1875,0.8,1208,2.2
SSC51575,48,0,1174,0,0,0,0,2
SSC51576,28,2058,848,450,1875,0.8,1862,2.9
SSC51577,41,2167,759,320,2202,0.8,1550,2.3
SSC51578,38,2359,837,230,2374,0.8,2115,2.9
SSC51579,65,0,866,0,0,0.3,1374,1.5
SSC51580,41,0,574,0,0,0,0,0
SSC51581,44,0,425,0,1374,0.8,1125,2.2
SSC51582,48,0,0,0,0,0,0,0
SSC51583,0,0,0,0,0,0,0,0
SSC51584,43,867,591,120,1361,0.7,1068,2.3
SSC51585,31,2000,1440,102,3116,0.9,2817,3
SSC51586,51,0,409,0,0,0.7,687,1.5
SSC51587,56,0,949,69,2125,0.8,1874,1.9
SSC51588,35,0,949,0,0,1,0,0
SSC51589,47,1489,556,0,1437,0.5,1125,2.3
SSC51590,64,0,425,0,0,0,0,3
SSC51591,53,0,900,0,0,0.5,0,2
SSC51592,54,0,575,0,1374,0.5,1375,2
SSC51593,36,2167,629,250,1865,0.8,1338,2.4
SSC51594,26,0,277,58,537,1.2,700,4.4
SSC51595,39,2000,630,410,1967,0.8,1818,3.1
SSC51596,53,1734,575,0,1458,1,1199,2.5
SSC51597,43,1212,829,128,1848,0.7,1450,2.5
SSC51598,50,961,553,180,1375,0.7,1089,1.9
SSC51599,39,1863,642,200,1803,0.9,1474,3
SSC51600,33,2000,534,360,1701,0.8,1394,2.6
SSC51601,35,0,1358,75,860,1.1,1013,3
SSC51602,41,1640,866,100,2125,0.9,1812,2.6
SSC51603,46,2882,810,150,1937,0.8,1937,2.9
SSC51604,60,0,425,0,762,0.6,575,1.4
SSC51605,46,1509,528,115,1224,0.7,1125,2.7
SSC51606,42,2156,676,550,2278,0.7,2196,3.1
SSC51607,41,1625,687,295,1419,0.9,1375,2.5
SSC51608,38,1300,488,235,1052,0.7,835,2.2
SSC51609,42,0,1624,0,0,0,1999,1
SSC51610,28,0,1416,0,2750,0,2874,2
SSC51611,44,0,900,0,0,0,949,1
SSC51612,19,1842,412,250,1791,0.7,1208,2.7
SSC51613,32,2600,819,0,2050,1,2083,4
SSC51614,46,1950,724,0,1187,0.8,1062,2.5
SSC51615,39,1090,683,150,1515,0.8,1228,2.3
SSC51616,34,0,1062,0,1958,0.6,1875,2.8
SSC51617,54,1100,719,200,1474,0.7,1275,2.2
SSC51618,44,1517,544,240,1226,0.8,1009,2.1
SSC51619,49,802,496,130,1100,0.6,871,2.1
SSC51620,43,2167,759,350,2062,0.8,1518,2.3
SSC51621,43,2167,725,420,2319,0.8,1644,2.5
SSC51622,0,0,0,0,0,0,0,0
SSC51623,44,2141,461,350,1226,0.7,1125,2.7
SSC51624,42,2162,744,490,2393,0.7,2173,2.9
SSC51625,34,841,833,57,1875,0.7,1624,2.6
SSC51626,43,0,0,0,0,0,0,0
SSC51627,42,0,450,0,949,0.8,1062,2.7
SSC51628,48,0,575,0,0,1,725,1.7
SSC51629,36,2000,676,260,1718,0.8,1413,2.6
SSC51630,42,2100,669,300,1948,0.7,1776,2.9
SSC51631,48,2465,450,235,1624,0.7,1416,2.6
SSC51632,54,0,515,0,824,0.8,612,1.6
SSC51633,45,867,949,100,1531,0.8,1354,2.3
SSC51634,43,1408,592,213,1543,0.8,1218,2.5
SSC51635,42,2000,622,498,1687,0.8,1471,3.1
SSC51636,0,0,0,0,0,0,0,0
SSC51637,55,604,475,150,1012,0.6,746,1.9
SSC51638,48,0,612,0,1541,0.6,1125,2
SSC51639,35,1060,693,150,1406,1,1141,2.6
SSC51640,52,0,700,100,1792,0.7,1624,2.1
SSC51641,46,0,959,0,2125,0.5,2124,2
SSC51642,45,1600,395,315,1375,0.6,1281,2.6
SSC51643,46,1517,556,300,1427,0.7,1101,2.3
SSC51644,0,0,0,0,0,0,0,0
SSC51645,39,325,1593,50,2250,0.7,1687,2.2
SSC51646,53,1817,457,0,1416,0.9,1083,2.1
SSC51647,45,2000,778,300,1801,0.8,1565,2.5
SSC51648,46,2000,768,250,1968,0.8,1674,2.7
SSC51649,33,1924,735,400,1798,0.8,1670,2.9
SSC51650,34,2050,691,350,1728,0.7,1511,2.8
SSC51651,37,0,1125,0,1874,0.8,1624,1.6
SSC51652,33,0,525,0,0,0,0,0
SSC51653,35,1950,738,350,1974,0.8,1740,2.7
SSC51654,53,1717,703,135,1625,0.7,1350,2.2
SSC51655,38,0,0,0,0,0,0,0
SSC51656,35,0,1541,0,3124,0,2750,4
SSC51657,54,1734,762,0,1624,0.7,1292,2.2
SSC51658,44,1300,440,225,1091,0.8,927,2.5
SSC51659,33,0,900,0,1375,0.5,1375,1.5
SSC51660,44,434,762,0,1625,0.7,1312,2.6
SSC51661,50,1109,819,210,1416,0.6,1275,2
SSC51662,0,0,0,0,0,0,0,0
SSC51663,53,664,541,0,1062,0.6,754,1.8
SSC51664,58,0,0,0,0,0,0,0
SSC51665,30,0,0,0,0,0,0,0
SSC51666,40,2255,706,200,2749,0.7,1656,2.9
SSC51667,42,2084,860,84,1562,0.6,1375,2.2
SSC51668,53,0,866,0,2083,0.8,1937,2.5
SSC51669,28,0,749,0,0,0,0,0
SSC51670,36,0,687,0,1916,0.9,1875,2.4
SSC51671,0,0,0,0,0,0,0,0
SSC51672,37,1957,788,340,1903,0.8,1432,2.2
SSC51673,52,1842,754,180,1542,0.8,1458,2.3
SSC51674,50,1426,511,260,1316,0.7,947,2.2
SSC51675,36,0,525,0,2625,0,1249,2
SSC51676,53,1307,769,0,1374,0.8,1437,2.4
SSC51677,28,0,725,0,1875,0,3125,0
SSC51678,44,0,900,0,2249,0.6,1375,2.6
SSC51679,50,1250,583,225,1402,0.8,1211,2.5
SSC51680,24,0,537,0,0,0,0,0
SSC51681,57,0,680,0,1125,0.4,774,1.6
SSC51682,0,0,0,0,0,0,0,0
SSC51683,0,0,0,0,0,0,0,0
SSC59494,41,0,434,0,0,0,0,0
SSC59797,40,0,2654,0,0,0,0,0
SSC60001,46,1300,575,0,1350,0.8,1271,2.6
SSC60002,54,754,436,165,956,0.9,790,1.8
SSC60003,46,1153,613,0,1319,0.8,1297,2.4
SSC60004,40,1430,640,285,1397,0.8,1284,2.7
SSC60005,33,905,467,210,1053,0.8,853,2.3
SSC60006,43,1733,836,275,2287,0.8,2195,3
SSC60007,62,910,432,190,793,0.7,709,1.7
SSC60008,58,867,506,231,1031,0.7,912,2
SSC60009,0,0,0,0,0,0,0,0
SSC60010,46,1042,466,0,1042,0.9,900,2.7
SSC60011,43,1517,722,245,1875,0.9,1721,3
SSC60012,59,417,472,59,1156,0.8,758,1.6
SSC60013,47,1300,595,270,1611,0.7,1309,2.4
SSC60014,56,0,562,0,1187,0.7,900,2
SSC60015,62,0,389,0,1087,0.8,599,1.3
SSC60016,30,0,900,0,0,0,0,0
SSC60017,42,0,758,0,0,1,1125,1.5
SSC60018,48,0,612,0,0,0.5,900,2
SSC60019,37,0,687,30,1624,1,1437,2.8
SSC60020,46,1294,425,0,1125,0.8,1124,1.9
SSC60021,56,0,280,0,399,0.8,450,1.6
SSC60022,40,1408,643,290,1505,0.8,1314,2.5
SSC60023,44,596,373,145,811,0.8,637,2.4
SSC60024,51,650,469,0,900,0.6,725,1.8
SSC60025,54,542,416,0,687,1,687,2.4
SSC60026,36,1300,621,260,1339,0.9,1225,2.7
SSC60027,47,1138,819,0,1375,0.8,1166,2
SSC60028,0,0,0,0,0,0,0,0
SSC60029,47,1300,587,0,1541,0.9,1083,2.3
SSC60030,67,0,450,0,1125,1,1083,1.4
SSC60031,53,0,669,0,1374,0.8,900,1.9
SSC60032,50,875,479,150,1213,0.7,1156,2.5
SSC60033,44,1664,907,350,2320,0.8,1645,1.9
SSC60034,46,879,425,188,923,0.8,784,2.3
SSC60035,52,1083,484,200,1078,0.8,883,2.2
SSC60036,56,1083,441,210,967,0.7,782,2.1
SSC60037,53,1007,440,0,1041,0.8,1050,2.1
SSC60038,0,0,0,0,0,0,0,0
SSC60039,47,1430,679,275,1684,0.8,1175,2.1
SSC60040,59,1100,493,0,1041,0.8,762,1.7
SSC60041,0,0,0,0,0,0,0,0
SSC60042,43,1300,561,230,1375,0.8,1047,2.3
SSC60043,40,845,354,200,833,0.7,687,2.4
SSC60044,54,1083,529,183,1085,0.8,872,2.1
SSC60045,60,1500,492,220,1042,0.6,828,1.8
SSC60046,53,1827,461,185,1375,0.7,769,1.9
SSC60047,41,1000,494,188,1104,0.9,883,2.8
SSC60048,43,1343,612,260,1525,0.8,1343,2.4
SSC60049,45,1200,397,150,1031,0.8,914,2.4
SSC60050,48,271,664,140,1583,0.7,1531,1.9
SSC60051,42,1517,708,320,1772,0.8,1443,2.6
SSC60052,42,1600,690,285,1969,0.8,1839,2.8
SSC60053,51,1083,534,250,1176,0.7,1044,2.1
SSC60054,43,1600,660,0,1937,0.8,1333,2.4
SSC60055,42,1440,659,135,1687,0.9,1375,2.8
SSC60056,53,0,575,0,1812,0,1374,2.1
SSC60057,42,239,466,0,1292,0.9,1166,3
SSC60058,47,1083,547,200,1399,0.7,1271,2.6
SSC60059,51,1463,630,250,1312,0.7,1125,1.7
SSC60060,43,1817,856,430,2386,0.8,1947,2.9
SSC60061,0,0,0,0,0,0,0,0
SSC60062,53,1083,479,105,924,0.6,774,1.8
SSC60063,46,862,541,73,1205,0.7,880,2.1
SSC60064,32,1176,675,0,1375,0.7,1624,2.6
SSC60065,44,1105,511,187,1297,0.8,1118,2.6
SSC60066,63,644,469,0,687,0.7,671,1.3
SSC60067,60,0,433,0,0,0.5,0,1
SSC60068,49,662,411,150,812,0.8,720,2.2
SSC60069,41,1192,585,250,1666,0.6,1542,2.2
SSC60070,44,934,680,210,1375,1,1274,2.3
SSC60071,50,0,383,0,0,0.3,812,1
SSC60072,45,1400,630,300,1763,0.9,1406,2.7
SSC60073,33,975,442,210,917,0.9,760,2.5
SSC60074,48,1300,539,200,1279,0.7,969,2.1
SSC60075,34,1318,656,278,1422,0.8,1243,2.6
SSC60076,30,0,669,100,1375,0.6,1062,2.1
SSC60077,45,1555,596,150,1674,0.9,1416,2.9
SSC60078,48,1452,687,95,1149,0.6,1124,1.8
SSC60079,60,0,435,0,900,0.6,687,1.5
SSC60080,40,988,485,200,1114,0.8,853,2.1
SSC60081,62,0,424,0,687,0.7,612,1.4
SSC60082,49,867,478,150,1333,0.8,900,2.3
SSC60083,31,0,749,0,2750,0,2750,0
SSC60084,46,1114,642,180,1460,0.7,937,1.7
SSC60085,36,0,550,0,1125,0.7,933,1.8
SSC60086,52,921,530,150,1062,0.7,819,2.2
SSC60087,0,0,0,0,0,0,0,0
SSC60088,34,1148,391,160,900,0.9,1062,3.6
SSC60089,41,1500,608,185,1341,0.8,1261,2.5
SSC60090,41,1592,777,300,1939,0.8,1704,2.6
SSC60091,30,852,474,190,1062,0.9,949,2.6
SSC60092,41,0,450,0,1187,0.6,874,1.5
SSC60093,42,1300,612,225,1433,0.8,1257,2.6
SSC60094,50,867,448,147,1031,0.8,781,2.2
SSC60095,57,0,395,59,849,0.6,537,1.5
SSC60096,46,0,724,0,0,0,0,0
SSC60097,0,0,0,0,0,0,0,0
