POA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
POA2018,0,4,6,16,31,62,157,220,50,550,0,3,25,56,24,31,21,3,0,155,6,17,16,143,21,21,10,7,0,225,5,17,83,292,92,68,34,11,0,609,0,0,5,84,0,5,3,0,0,103,6,13,12,87,46,14,10,4,0,193,0,0,9,140,19,10,0,0,0,187,0,0,0,28,13,11,39,48,12,161,0,0,7,28,18,3,3,0,0,55,0,7,8,56,13,9,5,8,0,103,0,0,0,12,21,12,30,13,3,95,9,7,29,73,12,21,21,0,0,176,0,0,0,0,3,5,17,23,8,53,0,0,0,3,0,0,0,0,0,3,0,0,0,6,3,3,0,0,0,12,0,3,0,31,4,0,0,0,0,37,0,0,0,8,0,0,3,3,0,13,5,9,34,144,46,37,22,5,0,306,0,0,0,13,0,5,0,0,0,18,6,4,5,30,11,7,0,0,0,61
POA2019,0,0,0,7,6,9,15,29,11,78,0,0,4,15,10,15,8,0,0,47,0,6,6,52,11,16,3,0,0,100,0,7,15,89,29,19,18,0,0,177,0,0,0,3,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,6,0,3,6,82,22,3,0,3,4,124,0,0,0,16,11,15,14,16,12,75,0,0,0,8,9,0,0,0,0,19,0,0,4,8,7,4,0,3,0,24,0,0,0,7,11,5,3,0,4,26,0,0,5,29,7,9,8,0,0,64,0,0,0,0,0,9,16,9,4,37,0,0,3,8,3,4,0,0,0,17,0,0,3,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,5,0,0,0,7,4,5,3,0,0,20,7,15,23,101,62,38,18,6,0,273,0,0,0,4,7,0,0,0,0,18,0,0,0,9,0,3,3,0,0,19
POA2020,0,0,3,21,13,30,72,69,17,228,0,3,34,109,12,23,8,8,3,199,10,7,17,229,23,11,10,5,5,321,12,6,226,582,71,38,21,11,3,971,0,0,0,25,8,3,0,0,0,34,0,0,0,12,8,3,0,0,0,17,0,0,9,131,15,5,3,0,0,158,0,0,3,22,5,13,15,29,11,103,0,0,7,61,7,3,0,0,0,81,0,3,12,68,13,7,0,0,0,104,0,0,0,9,8,16,10,5,0,52,0,0,7,115,19,23,5,0,0,168,0,0,0,0,4,9,23,17,11,63,0,0,0,8,3,6,0,0,0,17,0,0,3,0,3,0,0,3,0,12,0,0,7,15,0,0,0,0,0,24,0,0,0,7,4,0,0,0,0,11,0,8,27,137,46,26,17,3,0,274,0,0,6,16,6,0,0,0,0,19,0,0,3,33,3,0,0,0,0,39
POA2021,0,0,0,3,4,5,14,17,3,47,3,10,11,37,10,12,0,0,0,82,0,0,7,35,16,11,6,0,0,74,0,0,4,28,10,0,0,0,0,43,0,0,0,14,4,3,5,0,0,29,0,0,0,3,3,0,0,0,0,8,0,0,4,110,15,11,8,0,0,156,0,0,0,43,9,5,12,14,10,95,0,0,3,20,10,11,3,3,0,52,0,0,3,23,0,0,0,0,0,37,0,0,0,4,3,0,3,0,0,11,0,0,3,28,17,17,11,0,0,72,0,0,0,3,0,0,11,0,0,16,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,9,0,0,0,27,4,3,5,3,0,49,0,5,31,219,86,89,65,19,4,524,0,0,4,6,6,0,7,3,0,24,0,0,0,4,3,0,0,0,0,12
POA2022,0,0,0,3,4,0,17,18,6,50,0,3,6,30,13,11,7,0,0,72,0,4,0,44,13,3,5,3,4,78,0,0,9,22,6,10,6,0,0,56,0,0,0,20,0,3,0,3,0,28,0,0,0,0,0,0,3,3,0,7,0,0,21,276,25,3,5,3,3,331,3,0,13,74,5,11,12,19,6,149,0,0,8,62,15,13,9,5,0,105,0,5,10,52,9,9,0,0,0,85,0,0,0,5,0,0,0,5,0,12,0,0,3,17,8,8,9,0,0,44,0,0,0,0,0,0,8,10,0,20,0,0,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,12,3,6,0,3,0,27,0,7,27,166,69,39,28,18,4,355,0,0,3,25,3,7,0,0,0,36,0,0,0,6,3,3,0,0,0,14
POA2023,0,0,0,0,6,3,4,0,0,14,3,30,16,24,12,14,16,3,3,107,4,3,0,18,6,6,3,3,0,46,0,0,3,18,5,0,4,0,0,28,0,0,0,9,5,3,3,0,0,22,0,0,0,0,0,0,3,6,0,12,0,0,3,45,11,4,4,3,0,71,0,0,3,17,4,4,17,3,0,62,0,0,3,15,4,8,0,0,0,26,0,5,4,16,14,3,0,0,0,33,0,0,0,4,4,6,3,0,0,11,0,0,3,9,5,10,11,0,0,39,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,8,0,0,22,0,8,18,92,53,29,16,8,0,232,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
POA2024,0,0,0,0,4,16,13,9,3,41,3,6,5,8,10,10,0,0,0,42,0,0,4,17,6,6,3,3,3,43,0,0,0,9,0,0,3,0,0,12,0,0,0,3,0,0,0,3,0,5,0,0,0,0,4,0,0,0,0,5,0,0,3,99,17,7,8,7,3,151,0,0,3,56,7,3,14,21,18,127,0,0,5,18,7,8,0,0,0,38,0,0,0,8,0,3,0,0,3,16,0,0,0,3,7,3,3,0,0,23,0,0,0,4,12,4,3,0,0,24,0,0,0,0,0,3,3,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,3,0,3,8,26,0,13,12,130,68,43,15,13,0,289,0,0,0,7,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0
POA2025,0,0,0,6,0,0,5,3,3,13,0,9,7,11,6,4,0,0,0,39,0,0,0,14,4,5,7,10,3,40,0,0,0,3,0,3,3,0,0,11,0,0,0,10,3,3,0,0,0,18,0,0,0,0,0,4,3,0,0,11,0,0,3,45,3,0,0,3,0,58,0,0,0,17,3,6,3,14,3,44,0,0,3,10,3,3,3,0,0,20,0,0,0,8,0,0,0,0,0,14,0,0,0,0,4,0,0,0,0,12,0,0,0,12,13,9,3,0,0,32,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,0,9,6,0,10,0,0,27,0,3,16,78,48,35,27,10,0,219,0,0,0,7,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
POA2026,3,0,0,6,3,11,16,24,15,81,3,8,8,30,13,5,3,0,3,67,11,3,3,48,17,12,24,9,10,133,0,0,0,25,8,7,8,3,0,65,0,0,0,16,4,0,0,0,0,27,0,0,0,5,0,0,7,4,0,17,0,6,20,369,30,16,8,3,0,461,3,0,33,323,22,8,23,32,13,461,0,0,10,74,16,9,3,3,0,121,0,0,4,34,6,5,0,0,0,50,0,0,0,7,5,9,10,5,5,36,0,0,0,25,6,10,7,4,0,60,0,0,0,0,0,0,13,7,3,20,0,0,0,7,0,3,3,0,0,20,0,0,0,3,0,0,0,0,0,3,0,0,5,22,0,0,0,0,0,33,0,4,3,62,13,3,8,0,0,104,4,19,46,562,157,91,38,11,6,931,0,0,0,30,7,3,3,0,0,48,0,0,0,0,0,0,0,0,0,6
POA2027,0,0,0,3,0,3,11,5,3,26,0,3,7,10,8,21,7,0,0,62,0,0,0,13,5,12,10,3,0,46,0,0,4,3,5,0,0,0,3,16,0,0,0,14,3,0,3,0,0,23,0,0,0,3,0,0,0,0,0,5,0,0,3,54,3,3,3,5,0,77,0,0,3,25,3,6,9,7,7,60,0,0,3,12,5,4,0,0,0,32,0,5,3,6,10,3,0,0,0,21,0,0,0,0,3,0,3,3,0,14,0,0,3,18,7,11,5,7,0,43,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,10,0,0,22,3,6,7,81,36,54,37,9,8,247,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
POA2028,0,0,0,0,0,0,0,7,3,19,0,3,5,15,5,7,0,0,0,35,0,0,0,6,0,0,3,0,0,22,0,0,3,3,0,9,0,0,0,11,0,0,0,7,0,0,3,0,0,13,0,0,0,0,0,0,0,3,0,3,0,0,0,35,5,0,5,0,0,45,0,0,0,15,0,3,3,4,0,28,0,0,0,4,0,0,3,0,0,14,0,0,0,3,0,0,0,0,0,6,0,0,0,3,3,0,0,0,3,5,0,0,0,12,0,6,5,3,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,20,82,18,28,18,10,4,165,0,0,0,8,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,5
POA2029,0,0,0,5,3,9,10,10,9,35,3,12,11,6,8,6,3,0,0,55,3,3,3,17,5,6,12,7,3,58,0,0,5,12,3,3,0,4,0,23,0,0,0,15,4,4,3,0,0,25,0,0,0,3,3,0,0,0,3,9,0,5,3,58,3,8,4,0,0,84,0,0,0,26,5,3,12,13,3,73,0,3,3,11,12,0,0,4,0,37,0,0,4,13,3,3,0,0,0,20,0,0,0,0,8,4,0,0,0,9,0,3,0,16,3,4,4,0,0,30,0,0,0,0,0,0,4,0,0,5,0,0,3,3,0,0,0,0,0,6,0,0,0,3,3,0,0,3,0,5,0,0,0,6,0,0,0,0,0,6,0,0,0,5,4,0,5,4,0,17,0,9,14,91,36,32,27,10,0,233,0,0,0,13,5,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0
POA2030,3,0,0,3,11,11,22,17,11,78,3,38,22,13,15,12,3,6,0,112,0,0,0,6,9,9,11,9,3,53,0,0,0,16,6,12,10,0,4,50,0,0,0,16,7,5,9,0,0,37,0,0,0,0,0,0,3,3,0,13,0,0,0,34,12,6,0,0,0,56,0,3,4,28,17,16,18,14,10,112,0,3,4,10,7,3,7,0,0,38,0,0,0,11,3,8,0,0,0,21,0,0,0,8,6,0,0,0,0,15,0,3,6,13,12,4,5,0,0,52,0,0,0,0,0,0,8,3,0,5,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,7,3,0,28,0,12,19,67,63,41,27,4,0,242,0,0,0,3,0,0,0,0,0,6,0,0,0,9,0,4,0,0,0,12
