POA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA2044,1256,3530,691,1684,388,1060,1079,2744,101,197,178,347,139,260,42,93,465,899,0,0,0,0,0,0,41,83,41,83,17,31,2855,7286,254,..,3115,7286
POA2045,1679,4975,238,586,54,139,284,732,66,129,77,124,18,35,7,9,166,301,0,0,0,0,0,0,22,55,22,55,12,47,2174,6109,146,..,2325,6109
POA2046,4711,13835,411,1033,677,1635,1088,2670,1579,3075,1231,2479,1294,2743,3,5,4113,8296,0,0,0,3,0,0,95,200,93,202,43,111,10042,25112,892,..,10931,25112
POA2047,1440,4310,376,957,141,327,521,1282,996,1914,811,1574,750,1445,0,0,2555,4935,0,0,0,0,0,0,49,92,49,92,60,121,4628,10750,487,..,5118,10750
POA2048,581,1629,842,2181,362,998,1206,3182,503,885,386,666,224,394,30,72,1145,2022,0,0,0,0,0,0,70,162,70,162,38,57,3034,7053,211,..,3242,7053
POA2049,1151,3170,597,1534,500,1428,1098,2961,1014,1793,467,812,458,818,37,74,1978,3490,0,0,0,0,0,0,86,199,86,199,42,83,4364,9894,393,..,4756,9894
POA2050,83,214,433,990,460,1248,895,2234,162,281,507,936,2734,4284,0,3,3409,5504,0,0,0,0,0,0,11,32,11,32,14,25,4414,8005,458,..,4871,8005
POA2052,0,0,0,0,0,0,0,0,0,0,71,149,365,655,0,0,442,806,0,0,0,0,0,0,0,0,0,0,0,0,442,806,11,..,449,806
POA2060,581,1504,274,667,988,2254,1255,2918,423,819,844,1569,3077,5329,3,6,4347,7725,0,0,0,0,0,0,13,32,11,28,28,49,6230,12224,1095,..,7324,12224
POA2061,90,232,21,52,132,349,152,397,194,379,412,748,2037,3538,0,0,2646,4665,0,0,0,0,0,0,3,9,9,6,10,16,2910,5326,608,..,3515,5326
POA2062,729,2058,173,412,301,718,469,1137,564,1153,793,1409,410,746,3,3,1770,3318,0,0,3,3,0,0,13,28,13,29,4,5,2987,6550,270,..,3258,6550
POA2063,1554,4904,59,148,109,237,166,382,148,294,102,205,37,75,0,0,288,574,0,0,0,0,0,0,5,19,5,19,14,24,2017,5909,168,..,2185,5909
POA2064,803,2562,29,69,285,760,314,828,361,768,1061,2484,1035,2403,0,0,2462,5652,0,0,0,0,0,0,8,16,8,16,8,12,3593,9080,253,..,3849,9080
POA2065,2467,7266,663,1632,1035,2434,1701,4065,1092,2372,2312,4378,4920,9504,39,80,8362,16327,0,0,0,0,0,0,18,39,18,39,49,84,12599,27788,1294,..,13891,27788
POA2066,5081,15846,154,410,601,1454,754,1860,786,1497,2439,5017,2642,5414,12,28,5875,11959,0,0,0,0,0,0,14,32,14,32,39,102,11766,29796,1154,..,12924,29796
POA2067,3099,9779,233,599,197,606,427,1208,333,805,1240,3062,4255,10244,6,3,5833,14123,3,3,0,0,0,3,5,7,6,14,17,24,9379,25147,1019,..,10396,25147
POA2068,3970,12210,333,857,222,627,555,1483,274,565,497,1033,249,542,0,0,1030,2143,0,0,0,0,0,0,43,83,43,83,11,26,5611,15947,399,..,6009,15947
POA2069,3613,11495,45,108,80,226,123,338,151,290,254,550,391,908,0,7,790,1751,0,0,0,0,0,0,6,20,6,20,16,30,4554,13629,363,..,4918,13629
POA2070,3029,9931,14,39,63,171,77,210,297,479,227,437,848,1922,0,4,1372,2836,0,0,0,0,0,0,10,17,10,17,13,21,4499,13013,352,..,4850,13013
POA2071,2894,9606,39,62,30,104,71,162,207,407,293,651,913,2238,0,0,1419,3296,0,6,0,0,0,0,3,16,3,16,6,17,4396,13099,349,..,4739,13099
POA2072,1444,4577,8,23,95,259,106,278,145,303,209,458,648,1653,0,0,999,2418,0,0,0,0,0,0,0,0,0,0,3,5,2549,7286,178,..,2731,7286
POA2073,4369,14283,20,40,85,207,109,247,144,290,58,137,401,919,0,0,605,1347,0,0,0,0,0,0,3,3,4,8,17,42,5103,15929,360,..,5463,15929
POA2074,5637,17428,115,202,232,516,349,718,324,534,402,687,703,1602,0,0,1433,2818,0,0,0,3,0,0,3,6,5,7,11,24,7429,20993,521,..,7952,20993
POA2075,5026,16065,40,80,535,1083,574,1168,159,279,44,112,996,2374,0,0,1196,2767,0,0,0,0,0,0,0,0,0,0,16,25,6815,20026,460,..,7271,20026
POA2076,6086,19113,91,211,523,1186,613,1396,286,494,172,325,630,1305,0,0,1090,2117,0,0,0,0,0,0,6,18,6,18,28,51,7823,22690,525,..,8349,22690
POA2077,6129,18773,173,374,686,1716,856,2083,539,1133,2987,6599,3003,7669,4,6,6535,15409,0,5,0,0,0,0,25,58,27,59,35,72,13583,36399,962,..,14542,36399
POA2079,2149,6620,17,44,75,193,88,232,4,13,0,0,0,0,3,4,7,14,0,0,0,0,0,0,0,5,0,5,10,16,2257,6889,126,..,2381,6889
POA2080,518,1555,18,49,7,23,32,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,555,1635,32,..,580,1635
POA2081,1608,4901,19,50,72,212,95,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,1698,5165,79,..,1784,5165
POA2082,1672,4977,10,38,42,101,59,137,13,43,0,0,0,0,3,5,14,44,0,0,0,0,0,0,0,0,0,0,8,19,1751,5185,83,..,1835,5185
POA2083,545,1321,0,0,0,0,0,0,14,20,3,7,0,0,0,6,20,26,0,0,0,3,0,0,3,7,9,14,25,34,590,1396,228,..,821,1396
POA2084,972,3135,4,8,21,61,26,74,25,49,0,0,0,0,0,0,25,49,3,3,25,26,0,0,0,4,24,33,10,24,1060,3304,81,..,1140,3304
POA2085,3090,9756,343,433,277,592,616,1025,33,80,0,0,3,6,0,0,35,89,0,0,0,5,3,13,5,9,3,31,4,16,3750,10915,184,..,3939,10915
POA2086,3859,12349,49,109,138,385,194,488,47,111,9,16,0,0,10,18,61,143,0,0,0,0,0,0,0,0,0,0,12,24,4122,13008,185,..,4310,13008
POA2087,3550,11294,60,113,197,415,254,527,192,246,110,213,8,11,9,16,321,479,0,3,0,5,0,0,0,4,4,13,13,33,4140,12350,241,..,4379,12350
POA2088,3901,12079,719,1868,620,1524,1337,3397,1468,2910,2611,4716,1579,2636,43,91,5699,10354,0,0,4,8,0,0,45,109,53,121,33,67,11022,26010,1372,..,12398,26010
POA2089,431,1201,230,530,327,807,551,1331,1015,2064,1688,3232,1528,2698,3,6,4230,7996,0,0,0,0,0,0,18,32,16,37,16,31,5245,10600,658,..,5908,10600
POA2090,1005,2922,180,484,464,1127,644,1606,795,1659,1605,3013,1902,3384,14,32,4317,8085,0,0,0,3,0,0,8,14,4,11,12,32,5982,12658,579,..,6557,12658
POA2092,1879,6085,25,59,172,454,195,521,23,53,46,97,29,60,4,4,105,212,0,0,0,0,0,0,5,14,5,14,5,17,2188,6849,189,..,2376,6849
POA2093,4300,13597,156,368,731,1855,880,2224,691,1495,1701,3521,298,548,19,45,2707,5603,0,0,0,0,0,0,41,73,39,76,18,38,7946,21542,650,..,8597,21542
POA2094,638,1968,168,438,326,719,497,1154,361,796,501,972,286,575,3,7,1154,2352,0,0,0,0,0,0,10,18,5,18,10,10,2300,5499,286,..,2583,5499
POA2095,739,2300,355,988,368,938,723,1924,1125,2396,1494,2950,2395,4439,0,0,5011,9786,0,0,0,0,0,3,22,63,26,65,24,64,6524,14140,1314,..,7839,14140
POA2096,2198,7048,55,118,181,461,241,577,407,797,1830,3575,690,1328,4,11,2926,5709,0,3,0,0,32,31,8,10,34,51,23,56,5411,13440,536,..,5953,13440
POA2097,3328,10837,21,45,153,382,175,427,195,398,663,1330,676,1397,5,9,1538,3134,0,0,0,0,0,0,20,58,26,59,16,28,5082,14488,370,..,5457,14488
POA2099,6018,19509,172,393,714,1696,890,2089,999,1928,4134,8720,2453,5016,14,25,7602,15689,0,0,0,3,0,0,28,65,27,75,59,132,14595,37493,1207,..,15802,37493
POA2100,4992,16115,147,261,428,1047,582,1312,713,1401,311,645,53,109,19,49,1094,2196,0,0,5,0,0,0,25,68,30,71,40,79,6742,19770,445,..,7184,19770
POA2101,3586,11236,392,619,230,511,618,1127,666,1268,916,1786,976,1863,11,27,2571,4942,4,15,92,169,8,15,16,35,120,234,50,116,6954,17648,561,..,7517,17648
POA2102,1181,3817,58,141,586,1670,647,1810,186,387,243,538,145,342,0,4,576,1278,0,0,0,0,0,0,0,3,4,5,8,12,2415,6917,147,..,2561,6917
POA2103,1979,6215,118,292,523,1211,637,1504,434,884,450,778,188,357,6,7,1079,2031,0,0,0,3,0,0,27,52,29,58,24,62,3746,9863,414,..,4160,9863
POA2104,843,2396,19,44,393,556,408,598,0,0,156,226,27,30,0,0,187,258,0,0,0,4,0,0,0,0,0,4,4,3,1441,3264,156,..,1603,3264
POA2105,605,1584,0,3,7,20,6,20,6,8,8,11,0,0,0,0,16,21,0,0,9,14,0,0,0,0,9,14,3,8,640,1644,252,..,890,1644
POA2106,2142,6482,32,72,188,407,217,482,192,321,345,662,357,747,3,4,895,1727,0,0,12,9,0,0,42,83,51,96,23,53,3339,8839,438,..,3773,8839
POA2107,4257,12437,30,73,45,117,80,189,359,629,146,278,50,106,8,4,562,1022,0,0,5,3,0,0,4,16,10,20,19,53,4927,13712,751,..,5682,13712
POA2108,554,1248,0,0,3,3,3,3,38,94,8,8,0,0,0,0,42,101,0,0,0,3,0,0,0,3,4,4,13,29,612,1379,669,..,1277,1379
POA2109,5,19,42,57,70,84,112,143,17,34,47,127,622,1287,0,0,680,1453,0,0,0,0,0,0,0,0,0,0,25,83,817,1689,62,..,882,1689
POA2110,2173,6810,61,149,283,669,348,817,319,525,225,357,88,145,0,4,629,1034,0,3,0,0,0,0,0,5,3,7,14,36,3170,8704,298,..,3471,8704
POA2111,2716,8259,227,515,540,1350,769,1868,274,470,1199,2121,436,760,0,0,1912,3348,0,0,0,0,0,0,9,21,9,21,28,62,5432,13553,448,..,5876,13553
POA2112,5886,18400,742,1745,681,1837,1422,3586,359,668,1922,3881,2006,4711,6,14,4290,9272,0,0,0,0,0,0,10,31,10,31,57,145,11673,31431,842,..,12511,31431
POA2113,3525,10809,287,713,773,1967,1068,2678,250,434,708,1552,949,2004,4,4,1910,3997,8,12,3,3,0,0,5,10,15,23,17,47,6528,17552,670,..,7198,17552
POA2114,3811,11904,508,1319,210,617,715,1934,267,596,1383,2853,2627,5943,4,10,4285,9398,0,0,0,5,0,0,42,84,44,89,19,36,8874,23363,602,..,9473,23363
POA2115,2398,7274,261,635,579,1748,838,2380,97,152,103,169,37,85,0,0,241,408,0,0,0,3,0,0,17,44,16,49,19,42,3508,10162,309,..,3823,10162
POA2116,1296,3804,78,129,706,2125,780,2256,65,89,96,237,0,3,3,3,161,323,0,0,0,0,0,0,3,6,3,5,6,24,2244,6411,146,..,2394,6411
POA2117,3823,11978,360,666,1980,5581,2340,6253,161,305,451,977,335,632,3,9,955,1920,3,4,0,0,0,0,20,35,22,49,25,65,7164,20258,486,..,7654,20258
POA2118,5142,16512,128,351,935,2982,1064,3331,296,474,163,439,1048,2962,11,23,1517,3894,0,0,0,0,0,0,7,20,7,20,28,67,7757,23818,515,..,8270,23818
POA2119,3319,10576,42,82,85,219,123,304,49,121,81,145,40,69,3,8,176,343,0,0,0,0,0,0,3,4,4,8,6,13,3625,11240,213,..,3842,11240
POA2120,5422,16786,224,431,564,1506,789,1940,80,138,132,291,136,243,9,17,360,690,0,0,0,0,0,0,9,26,9,26,22,49,6600,19487,399,..,7003,19487
POA2121,5684,18279,263,705,758,2272,1022,2974,125,238,1292,3296,1114,2887,4,16,2535,6434,0,0,0,0,0,0,5,24,5,24,23,58,9272,27770,555,..,9828,27770
POA2122,4888,16212,866,2248,2395,5907,3257,8150,219,452,1765,4250,409,1017,7,23,2394,5740,0,0,0,0,0,9,41,105,42,111,77,160,10663,30378,727,..,11392,30378
POA2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
POA2125,4609,15004,61,105,304,763,366,866,66,113,12,21,0,0,5,7,80,138,0,3,0,0,0,7,0,0,3,15,4,14,5070,16045,273,..,5345,16045
POA2126,4677,15438,161,350,761,2204,921,2557,179,244,0,0,0,0,3,7,185,252,0,3,0,0,0,0,3,8,6,14,9,31,5797,18289,243,..,6044,18289
POA2127,655,2336,0,0,415,1353,415,1353,4,13,296,713,4152,8896,0,0,4454,9614,0,0,0,0,0,0,0,0,0,0,13,23,5531,13332,426,..,5959,13332
POA2128,246,804,4,12,142,444,146,461,34,88,65,176,286,654,0,3,384,925,0,0,0,0,0,0,0,0,0,0,0,3,770,2187,72,..,849,2187
POA2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
POA2130,565,1683,264,685,198,488,462,1180,1011,2040,692,1346,137,290,3,6,1837,3684,0,0,0,0,0,0,4,12,4,12,7,22,2879,6573,264,..,3144,6573
POA2131,1983,6294,349,865,325,901,676,1766,1622,3659,3180,7434,848,2208,15,40,5671,13350,0,3,0,0,0,0,39,124,42,124,179,239,8546,21777,625,..,9164,21777
POA2132,1952,6207,323,830,221,742,545,1573,368,758,203,445,341,762,9,25,923,1986,0,0,0,0,0,0,32,76,32,76,19,54,3472,9902,202,..,3668,9902
POA2133,1735,5294,313,839,796,2501,1112,3337,575,1096,287,575,111,211,6,10,973,1886,0,0,0,3,0,0,16,38,17,46,20,61,3856,10621,275,..,4130,10621
POA2134,1417,4728,227,642,346,1142,567,1783,412,974,910,2424,1899,5117,11,31,3229,8549,0,0,0,0,0,0,21,54,21,54,46,110,5285,15219,425,..,5706,15219
POA2135,3797,12844,96,247,288,883,385,1131,514,1209,1227,3337,1853,5169,9,19,3599,9732,0,0,0,0,0,0,36,87,36,87,32,81,7844,23879,548,..,8398,23879
POA2136,1296,4054,129,354,412,1195,543,1549,119,279,309,723,140,305,4,9,572,1320,0,3,0,0,0,0,11,30,15,31,15,50,2438,7016,151,..,2592,7016
POA2137,4367,13688,234,545,659,1741,888,2292,599,1306,1041,2482,2137,4763,13,25,3793,8577,0,0,0,3,0,0,150,378,150,389,41,87,9238,25030,753,..,9996,25030
POA2138,1776,5531,27,77,412,1197,442,1271,168,353,255,647,4672,11486,0,7,5098,12489,0,0,0,0,0,0,12,23,12,23,11,25,7335,19344,499,..,7832,19344
POA2139,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,..,0,3
POA2140,722,2427,38,116,220,701,262,817,664,1835,1358,3723,1969,5618,0,0,4001,11176,0,0,0,0,0,0,85,280,85,280,94,216,5161,14919,398,..,5559,14919
POA2141,4514,15675,219,616,1331,4505,1550,5122,659,1683,578,1724,1048,3034,12,31,2297,6470,0,0,0,5,4,11,61,174,68,189,55,109,8479,27562,485,..,8965,27562
POA2142,3378,12081,223,504,735,2436,957,2943,1082,2573,1417,3748,1216,3034,15,36,3732,9392,0,0,0,0,0,0,37,136,37,136,61,142,8164,24687,690,..,8859,24687
POA2143,1875,6397,69,156,155,535,218,689,250,495,96,282,203,601,9,37,565,1413,0,0,0,0,0,4,19,78,26,81,17,59,2705,8641,183,..,2890,8641
POA2144,4559,17710,186,530,836,3008,1021,3537,1614,4973,1195,4036,1343,4957,40,126,4197,14084,0,0,0,0,5,17,82,309,86,328,54,118,9919,35774,678,..,10589,35774
POA2145,13911,43815,2005,5114,3085,9594,5085,14714,1701,4547,2352,6319,1821,5205,39,73,5913,16144,3,10,0,12,0,7,79,279,84,304,119,312,25119,75281,1525,..,26643,75281
POA2146,3904,11974,454,1055,786,2517,1238,3576,156,419,121,380,140,407,5,8,426,1224,0,0,0,0,0,8,3,16,4,22,37,89,5611,16877,325,..,5936,16877
POA2147,10912,32390,170,352,688,1653,858,2009,233,288,9,12,21,27,9,11,269,344,0,0,3,3,19,49,29,78,52,126,32,82,12118,34946,649,..,12770,34946
POA2148,14776,45955,810,1985,2032,6169,2841,8158,395,648,94,263,1835,4950,23,45,2348,5908,0,3,3,6,3,8,11,34,13,52,77,185,20059,60260,1093,..,21153,60260
POA2150,1073,3385,162,416,504,1437,664,1857,1320,3501,3190,8267,4344,11383,0,0,8852,23151,0,0,0,0,0,0,160,475,160,475,64,143,10811,29007,864,..,11673,29007
POA2151,3394,10472,169,367,799,2206,970,2573,624,1210,1302,2890,888,2093,5,11,2817,6196,3,4,0,0,0,0,8,10,7,18,31,85,7228,19337,661,..,7887,19337
POA2152,2059,6080,287,580,528,1314,821,1900,456,625,453,1044,467,1044,5,8,1375,2726,0,0,0,3,0,0,0,3,3,4,10,11,4261,10721,322,..,4580,10721
POA2153,14324,45904,416,823,1926,5417,2343,6241,561,883,449,1034,407,981,6,26,1422,2926,3,6,0,0,0,0,3,7,7,18,26,50,18118,55137,913,..,19028,55137
POA2154,9418,30961,420,657,1139,3020,1560,3677,357,697,672,1366,594,1326,3,10,1623,3398,0,0,0,0,0,0,3,15,4,14,27,67,12639,38123,754,..,13395,38123
POA2155,13569,47774,43,92,1506,5048,1546,5132,39,97,62,118,349,700,0,3,450,919,0,7,68,97,0,3,0,7,72,109,53,161,15692,54095,819,..,16510,54095
POA2156,3399,11441,284,467,124,302,412,765,108,155,0,3,0,0,7,9,112,165,0,0,0,0,7,18,3,12,6,36,16,61,3946,12475,269,..,4218,12475
POA2157,1067,3432,3,6,0,0,3,6,0,6,0,0,0,0,3,4,3,10,0,0,0,0,0,0,3,3,3,3,10,20,1088,3477,56,..,1143,3477
POA2158,2203,7193,55,91,170,459,219,550,93,122,10,13,0,0,5,5,102,144,12,24,47,79,0,0,11,31,72,144,13,33,2619,8067,195,..,2808,8067
POA2159,1422,4477,31,46,38,72,61,116,42,66,22,29,0,0,3,8,68,101,0,0,3,15,0,0,5,15,9,33,10,21,1574,4733,109,..,1683,4733
POA2160,5742,19746,599,1314,1255,4304,1854,5624,657,1547,1813,4586,982,2433,8,21,3462,8587,0,0,0,0,6,35,54,202,67,234,49,145,11166,34332,745,..,11910,34332
