SED_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
SED21106,0,0,0,0,0,0,0,0,0,3,1477,3225,2677,4523,2991,2386,1506,723,384,19898,0,0,0,5,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,11,0,0,0,6,7,0,0,0,0,8,0,13,7,40,29,12,8,0,3,110,0,0,3,13,7,7,3,0,0,27,6,61,109,149,74,54,16,16,7,489,0,0,0,9,8,12,5,5,3,43,0,0,0,4,7,8,21,5,5,58,36,173,117,527,366,248,241,107,39,1845,0,0,0,4,10,4,0,0,0,16,3,19,18,40,24,10,18,4,0,124,3,6,5,48,23,21,53,22,3,191,0,3,0,5,16,41,39,50,8,156,3,18,10,16,6,5,3,5,0,65,0,21,12,118,39,23,21,11,3,256,0,3,3,11,0,5,4,0,0,29,0,0,0,18,3,0,8,0,0,31,0,0,0,0,3,0,3,0,0,7
SED21203,0,6,18,43,4,0,4,0,0,75,2398,3922,3446,3633,1428,898,499,307,96,16614,0,22,11,123,26,18,0,0,0,207,0,0,3,22,9,18,3,3,0,65,0,0,0,0,0,0,0,0,0,4,0,0,3,5,0,0,0,0,0,11,0,0,0,4,5,8,9,5,0,34,0,3,28,58,40,46,9,10,0,193,0,0,5,11,15,16,35,36,5,130,4,13,6,48,25,40,25,26,10,188,3,3,6,39,40,61,40,25,12,226,0,8,14,41,23,15,10,0,0,114,0,0,0,0,7,5,3,0,0,17,0,0,3,17,6,6,28,9,5,73,0,7,7,13,31,46,94,99,40,339,0,0,4,8,0,3,0,0,0,13,18,55,155,613,64,43,22,12,7,985,3,0,10,17,8,3,0,0,0,36,3,25,55,246,18,11,0,0,0,357,19,209,281,916,490,241,110,42,14,2315
SED21303,0,3,11,5,0,0,0,0,0,19,1608,2409,3073,9081,2545,1567,653,213,118,21273,0,3,7,52,0,0,0,0,0,72,0,0,0,10,3,0,0,0,0,22,0,0,0,6,0,0,0,3,0,13,3,0,9,70,13,4,3,0,0,108,4,3,0,35,7,6,7,0,0,68,0,12,217,262,39,43,17,19,13,622,0,0,0,3,15,11,5,19,0,57,0,3,3,22,13,21,17,8,0,84,7,43,71,534,193,113,67,21,9,1047,0,0,0,20,3,0,4,0,0,29,0,3,16,52,12,9,3,0,0,97,3,7,7,92,22,12,15,8,0,162,0,3,4,31,53,95,199,292,79,757,0,0,13,37,11,7,3,0,0,76,8,14,66,378,22,13,16,4,0,525,22,19,24,127,3,3,3,3,0,206,0,3,7,117,3,5,0,0,0,132,0,0,4,11,5,12,0,3,0,41
SED21401,0,0,0,4,0,0,0,0,0,7,1350,2682,2556,3520,2108,1339,1072,982,326,15945,0,0,0,3,0,3,0,0,0,12,0,0,3,0,4,0,0,0,0,9,0,0,0,7,5,6,0,0,0,20,0,3,7,13,6,3,0,3,0,31,0,0,4,5,3,10,0,3,0,27,28,118,432,1082,439,438,211,113,42,2919,0,0,0,9,13,9,33,29,7,99,0,8,3,46,22,60,45,20,15,219,6,32,19,85,106,84,97,86,26,542,0,0,0,12,12,10,3,3,0,39,0,4,0,3,7,0,4,4,0,24,0,7,3,15,12,9,38,34,7,125,3,8,7,20,76,148,276,313,84,938,3,21,70,215,97,151,68,29,3,668,5,15,42,233,67,63,44,24,7,501,0,0,7,42,13,22,12,6,3,106,7,40,54,290,86,63,39,12,3,592,0,0,6,15,12,8,0,0,0,38
SED21503,0,0,3,9,0,3,0,0,0,13,1697,2972,3141,4849,2271,1629,1208,627,220,18602,0,3,33,39,3,3,4,0,0,85,0,0,0,14,7,18,7,8,0,57,0,0,0,6,3,0,3,0,0,17,0,0,3,5,8,4,0,0,0,15,0,0,0,7,3,4,3,0,0,20,21,40,589,913,150,124,54,27,0,1917,0,0,0,9,17,18,26,35,4,111,0,3,0,15,9,25,27,10,8,113,3,18,30,133,90,95,100,77,32,571,0,6,10,16,15,6,3,0,0,61,0,3,3,3,4,3,3,0,0,16,0,8,3,15,10,10,21,20,6,96,0,9,12,25,48,102,154,122,21,475,0,4,32,58,6,23,14,5,0,142,9,39,204,524,77,63,21,12,0,953,0,3,21,34,8,3,3,5,0,74,0,12,12,154,16,5,9,0,0,201,4,5,6,36,13,3,3,0,0,69
SED21608,0,0,6,0,0,0,0,0,0,3,1732,3661,3581,5718,3128,2868,2053,851,284,23884,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,4,3,0,26,0,0,0,0,0,0,0,0,0,0,0,3,103,52,12,7,0,0,0,172,0,0,0,0,0,9,10,10,0,37,0,0,0,0,3,4,0,0,0,12,3,22,24,111,167,206,182,92,21,831,0,0,4,9,3,0,0,0,0,14,0,0,0,3,3,0,0,3,0,9,0,3,5,3,14,22,61,15,3,123,0,0,0,3,4,0,8,0,0,14,0,0,0,0,0,0,0,0,0,8,3,14,23,102,10,15,9,3,4,171,0,0,0,3,0,0,0,0,0,7,0,0,3,12,0,4,0,0,0,24,0,0,0,0,3,0,0,0,0,3
SED21706,0,3,3,15,8,4,0,0,0,34,1621,3488,3210,4117,2654,1929,1151,581,369,19128,0,0,16,20,4,0,0,0,0,43,0,0,0,9,6,0,0,0,0,20,0,0,5,16,6,4,0,0,0,37,0,4,6,30,19,7,3,0,0,62,0,0,0,10,4,3,4,0,0,28,27,97,875,1218,300,245,102,58,23,2940,0,0,0,3,10,10,9,8,3,37,0,0,5,13,10,15,12,8,0,73,12,57,63,181,201,156,125,68,27,884,0,0,10,19,3,4,7,0,3,41,0,9,4,23,13,4,10,6,0,64,0,4,5,26,28,8,23,16,7,116,0,3,5,14,34,58,83,140,36,371,11,11,50,138,30,44,19,8,0,317,13,25,247,569,81,58,39,13,9,1046,0,3,63,74,12,18,10,3,0,182,0,11,11,52,14,7,3,0,0,98,0,3,3,4,0,3,0,0,0,16
SED21805,0,0,9,22,10,16,7,0,0,64,2244,3593,3128,6716,2980,2364,1433,606,232,23291,0,0,0,12,3,3,0,0,0,16,0,0,0,12,7,10,0,5,0,31,0,3,3,14,5,4,3,0,0,30,3,3,0,16,8,4,3,0,0,40,0,0,0,13,13,15,11,3,0,60,0,13,28,91,40,34,14,3,3,226,0,0,4,11,17,14,16,8,0,73,0,5,0,6,13,15,18,9,4,69,12,60,56,291,341,309,317,160,58,1605,0,3,18,25,38,18,6,0,0,100,0,0,3,4,3,9,8,0,0,28,0,4,3,23,22,38,53,25,10,166,0,0,4,8,22,25,28,18,5,120,0,0,3,6,8,8,6,0,0,29,3,28,46,308,75,63,45,16,3,575,0,7,4,13,4,3,4,0,0,30,0,0,0,12,3,3,0,0,0,16,0,0,0,3,0,0,0,0,0,4
SED21906,0,0,0,3,0,0,0,0,0,3,1710,3117,2520,5352,2124,1814,978,357,164,18127,0,0,4,27,0,0,0,0,0,30,0,0,0,12,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,3,3,10,11,42,17,16,3,0,0,102,0,0,0,14,0,8,3,0,0,27,11,35,335,347,69,82,28,15,12,932,0,0,0,4,6,3,9,4,0,31,0,0,0,0,3,12,16,12,3,53,13,53,52,415,178,147,134,62,33,1093,0,3,0,13,3,5,3,0,0,24,6,21,18,73,26,3,42,13,0,196,3,3,12,34,15,13,112,24,36,248,0,0,0,10,21,40,66,94,34,270,0,9,15,42,7,16,0,3,0,101,48,86,192,1036,60,33,22,15,0,1491,0,4,22,41,9,5,3,3,0,84,0,0,3,45,3,0,0,0,0,54,0,0,0,0,0,0,8,4,0,17
SED22005,0,0,12,23,9,4,0,0,0,57,1957,2856,2749,3765,1702,1117,664,422,259,15495,0,11,14,76,15,13,3,0,0,136,0,0,0,7,7,3,3,3,0,26,4,20,75,276,161,166,94,30,19,841,5,3,3,15,3,5,0,0,0,36,0,0,0,16,16,4,21,7,3,74,13,49,941,1142,194,211,69,68,30,2718,0,0,0,7,14,13,32,33,10,100,0,5,9,11,7,27,40,13,3,125,10,30,24,128,113,78,89,56,23,540,0,0,12,28,26,13,9,0,0,86,0,4,3,17,5,3,5,5,0,45,0,0,9,23,9,9,30,21,12,107,0,44,53,92,139,171,351,361,90,1293,0,0,37,106,18,23,8,3,0,204,79,191,656,2080,242,175,112,54,14,3598,8,25,45,162,24,16,4,3,3,292,0,3,10,44,5,7,0,0,0,67,0,3,4,19,5,5,3,3,0,48
SED22105,8,53,309,526,114,52,14,3,3,1088,4516,5701,3696,7406,2474,1793,965,427,163,27147,0,4,3,48,5,0,0,0,0,61,0,3,3,29,14,7,4,3,0,65,0,12,21,119,39,31,13,4,0,239,0,13,5,14,4,4,0,0,0,35,0,0,3,45,35,20,24,8,0,124,3,22,51,201,72,32,14,4,0,398,0,0,3,22,21,17,8,9,0,88,0,19,14,44,13,15,15,4,0,127,8,62,43,246,281,242,248,128,32,1293,0,13,36,146,59,43,12,0,3,307,0,3,0,13,5,3,3,3,0,26,0,3,4,23,18,17,40,20,9,131,0,0,4,20,20,23,22,9,3,101,0,0,4,23,4,4,3,0,0,44,60,368,392,2837,453,214,90,36,7,4456,0,0,11,48,12,0,3,0,0,79,0,15,17,31,0,3,0,0,0,58,0,4,3,17,3,8,4,0,0,42
SED22201,0,0,0,4,0,0,0,0,0,8,1895,3091,3033,5570,2589,2240,1398,736,322,20877,0,0,0,9,0,0,0,0,0,11,0,0,0,9,0,3,0,0,0,13,0,0,0,17,8,7,6,4,0,41,0,5,0,14,4,11,0,0,0,36,0,0,0,11,5,3,5,0,0,23,4,18,62,232,59,49,20,10,5,465,0,0,0,0,7,17,3,3,0,34,0,3,4,9,9,3,9,5,0,41,7,28,34,160,206,238,275,189,87,1221,0,0,0,5,9,3,3,0,0,21,0,0,0,3,3,4,3,3,0,17,0,0,6,19,22,20,42,41,10,160,0,0,0,4,5,9,7,3,0,33,0,0,16,33,12,17,3,4,0,85,12,26,17,246,41,24,26,12,0,412,0,0,0,19,0,4,3,6,3,39,0,3,11,61,15,11,3,0,0,97,0,0,0,3,0,0,0,0,0,3
SED22305,32,214,985,2032,350,120,39,9,4,3775,2393,2799,2251,3079,1199,1095,690,309,120,13942,4,5,15,89,15,6,6,0,0,139,0,5,63,175,109,109,39,28,6,533,0,8,32,96,56,41,25,3,3,265,0,0,0,10,4,0,0,0,0,19,0,0,0,35,30,27,32,9,0,139,5,23,76,254,120,144,74,50,16,760,0,0,23,107,54,86,60,39,4,373,4,22,12,22,15,25,23,15,3,131,0,12,6,62,79,121,137,89,28,530,0,5,12,84,36,31,18,13,3,203,0,0,0,8,7,3,5,0,0,24,0,3,23,10,6,3,46,37,6,134,0,5,10,21,34,51,99,86,18,324,0,0,8,30,9,13,0,0,0,70,45,219,438,1764,272,138,97,46,13,3028,3,4,9,39,17,20,14,3,0,106,11,111,129,190,33,11,5,0,0,498,0,16,20,59,44,22,3,3,0,174
SED22404,0,0,0,0,0,0,0,0,0,0,1436,3469,2825,4894,3259,3226,2481,933,285,22807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,3,14,8,6,4,0,0,36,0,0,0,3,0,0,3,0,0,5,0,7,8,9,5,3,6,3,0,37,0,0,0,0,3,8,3,3,0,19,0,0,0,0,0,3,3,3,0,11,0,17,49,130,258,330,349,162,47,1344,0,0,0,0,0,8,0,0,0,9,0,0,0,5,3,3,6,3,0,20,0,0,3,15,27,34,68,52,10,213,0,0,0,0,5,14,15,0,0,39,0,3,3,9,3,3,0,0,0,18,0,0,0,28,8,3,7,5,0,63,0,0,0,0,3,0,8,0,0,18,0,0,0,4,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
SED22501,0,0,3,0,0,0,0,0,0,3,1690,3615,3415,5350,3123,2951,1860,629,189,22809,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,3,5,12,19,9,4,0,0,54,0,0,0,0,0,0,0,0,0,7,5,19,26,145,35,22,18,8,0,280,0,0,0,0,17,13,12,10,0,49,0,0,0,4,4,10,12,3,4,35,8,68,81,228,283,231,192,94,29,1211,0,0,0,8,3,4,0,0,0,20,0,0,0,9,9,13,0,3,0,31,0,3,0,24,17,12,56,26,3,146,0,0,0,5,18,46,34,15,7,121,3,0,4,16,6,0,3,3,0,36,7,3,5,80,15,25,19,0,0,160,0,0,0,5,3,3,4,0,0,18,0,4,4,47,11,4,4,0,0,74,0,0,0,8,5,0,0,0,0,7
SED22607,0,0,0,5,0,0,0,0,0,14,1686,3237,3232,6321,2993,2312,1085,420,217,21502,0,0,8,26,0,0,4,0,0,32,0,0,0,8,10,0,4,4,0,28,0,0,3,5,4,3,0,0,0,17,3,0,3,24,20,0,8,0,0,51,0,0,0,24,10,10,7,3,0,51,5,9,120,202,48,47,28,23,23,503,0,0,0,6,23,8,13,5,6,65,3,8,5,17,10,16,20,16,8,98,14,30,33,225,145,107,98,28,14,690,0,0,0,14,0,8,3,3,0,28,0,0,3,27,3,4,4,5,0,56,0,0,5,22,7,12,29,9,3,91,0,6,8,15,25,62,76,91,26,304,0,0,11,34,16,10,8,0,0,85,29,45,120,674,38,38,29,16,0,992,0,4,12,38,11,3,3,0,0,74,0,0,9,89,9,5,0,0,0,120,0,0,3,5,19,0,0,0,0,36
SED22704,0,0,0,0,0,0,0,0,0,3,1625,3486,3262,5359,3497,3904,3075,1491,497,26185,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,4,0,0,0,10,4,3,0,5,3,3,0,3,0,25,0,0,0,0,0,0,0,0,0,4,3,13,131,15,11,4,0,0,0,172,0,0,0,4,7,3,8,6,0,24,0,0,0,4,0,3,4,0,0,21,0,20,21,70,141,180,223,115,37,805,0,0,0,3,3,0,0,0,0,11,0,0,0,3,0,3,0,0,0,18,0,0,5,11,11,28,62,32,9,158,0,0,0,4,4,12,16,8,3,37,0,3,0,0,3,0,0,0,0,7,3,6,4,80,8,13,3,0,0,121,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,0,9
SED22802,0,0,0,0,0,0,0,0,0,0,1714,3478,3458,6091,2907,2320,1507,559,144,22186,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,7,10,4,0,0,30,0,0,0,0,3,3,0,0,0,5,3,6,26,57,24,13,11,3,0,157,0,0,0,3,0,4,15,6,0,29,0,0,0,0,0,3,3,3,0,15,0,26,48,164,320,287,322,185,58,1416,0,0,0,4,4,3,0,0,0,15,0,3,0,4,3,3,5,0,0,24,0,3,0,14,20,30,61,37,8,176,0,0,0,0,3,10,9,4,0,31,0,3,6,11,3,7,0,0,0,29,0,15,16,90,31,30,14,3,0,197,0,3,3,4,6,0,3,4,0,23,0,3,4,21,0,3,8,0,0,38,0,0,0,0,0,0,0,0,0,0
SED22901,0,0,4,12,8,3,3,0,0,31,1553,2723,2840,4461,2080,2068,1315,558,232,17831,0,0,0,7,0,4,3,0,0,16,0,0,0,0,0,0,0,0,0,8,0,0,3,25,24,27,10,3,0,94,0,0,0,8,4,5,3,0,0,27,0,0,0,4,8,0,13,0,0,23,22,97,147,646,210,130,91,35,23,1398,0,0,0,6,7,6,11,7,0,36,3,7,5,17,7,17,18,3,0,73,0,22,24,125,178,208,230,137,62,987,0,0,0,10,0,12,3,3,0,33,0,0,0,9,0,0,4,0,0,20,3,3,3,17,15,28,57,53,7,183,0,3,0,3,11,35,34,38,0,133,4,14,38,107,62,68,25,3,0,320,9,44,78,337,131,113,55,18,11,800,0,3,7,64,20,5,14,6,8,128,0,5,5,50,14,16,5,0,0,96,0,0,8,11,5,3,3,3,0,27
SED23007,0,5,42,105,21,3,0,0,0,182,2303,2925,3222,6129,1804,1230,600,256,122,18585,10,6,40,278,14,8,3,0,0,354,0,0,4,33,11,14,16,18,0,100,0,0,0,8,11,10,11,0,3,55,0,0,3,33,7,3,0,0,0,55,0,3,3,43,25,28,34,13,0,143,7,22,303,503,127,110,61,36,29,1189,3,0,0,19,36,38,56,59,7,215,0,14,3,29,12,15,17,9,9,102,9,20,36,230,115,95,57,22,13,577,0,3,4,37,18,11,9,0,0,89,3,0,3,27,3,0,3,0,0,34,0,0,11,27,9,9,49,13,0,126,0,0,3,26,41,63,96,158,37,423,0,3,20,100,16,14,6,0,0,171,44,91,487,1648,80,46,29,5,3,2427,0,20,23,115,14,11,4,3,0,190,0,15,29,198,15,3,0,0,0,267,0,3,8,41,4,0,0,0,0,65
SED23101,0,0,3,8,3,11,0,0,0,25,1429,2919,2600,3188,1945,1474,1325,975,354,16209,0,0,3,16,10,3,3,0,0,43,0,0,0,3,0,0,3,0,0,10,0,0,3,11,21,33,12,7,0,94,0,0,4,14,3,11,3,0,0,33,0,3,0,10,0,3,11,0,0,25,40,161,472,1254,406,286,180,80,22,2907,0,0,3,0,5,3,11,14,3,50,0,0,3,3,7,16,18,16,6,68,3,39,38,105,118,132,150,110,43,735,0,3,3,12,12,17,4,3,0,44,0,0,0,12,0,0,4,0,0,21,3,3,5,9,13,10,45,40,8,130,0,0,0,18,32,52,138,153,45,440,0,22,45,151,70,103,49,24,3,464,21,71,118,468,137,95,53,23,14,999,0,4,25,87,26,9,12,4,7,172,0,9,15,71,23,11,7,4,0,142,0,0,0,0,0,6,4,0,0,12
SED23205,0,0,4,10,6,0,0,0,0,17,1753,2968,2942,5668,2579,2263,1580,770,316,20848,0,0,0,6,0,0,0,0,0,6,0,0,6,19,22,26,3,7,0,81,0,0,3,6,0,0,0,0,0,10,0,3,3,20,6,7,4,0,0,44,0,0,0,10,11,3,6,0,0,35,3,9,39,90,34,25,7,6,0,223,0,0,0,8,11,9,9,17,0,62,0,3,3,0,3,4,15,7,0,35,7,88,77,248,341,380,372,240,110,1860,0,0,7,21,12,6,0,0,0,45,0,0,3,6,6,4,8,3,0,32,0,8,12,23,24,32,61,46,14,222,0,3,3,9,12,28,33,31,12,137,0,0,18,16,4,6,3,0,0,43,3,29,35,166,50,22,25,11,3,340,0,0,0,19,4,0,3,3,0,27,0,0,4,10,6,0,0,0,0,30,0,0,0,0,3,0,0,0,0,4
SED23308,0,0,11,15,3,0,0,0,0,27,1751,3045,3379,6184,3164,2796,1757,908,457,23444,0,0,3,9,0,0,0,0,0,19,0,0,0,3,0,8,3,0,0,18,0,0,0,0,0,0,0,0,0,3,3,6,5,14,9,6,6,0,0,49,0,0,0,0,0,0,0,0,0,7,3,17,64,121,24,14,6,3,3,250,0,0,0,3,8,16,10,13,3,59,0,0,0,11,0,6,0,3,0,20,4,34,30,162,153,188,164,102,39,878,0,0,0,19,3,3,0,0,0,25,0,0,0,12,3,5,4,0,0,29,0,3,6,14,11,11,49,17,8,119,0,0,0,5,8,6,18,24,14,73,0,3,5,12,3,3,0,0,0,38,12,19,106,377,6,8,10,0,0,543,0,0,0,14,3,0,0,0,0,20,0,4,4,34,12,0,3,3,0,64,5,4,0,17,4,0,0,0,0,25
SED23402,0,3,8,23,9,5,0,4,0,58,2438,4250,3984,6381,3105,2395,1406,627,227,24816,0,0,0,20,7,0,0,0,0,25,0,0,0,9,4,0,5,3,0,25,0,0,0,9,3,0,0,0,0,6,0,6,3,18,11,7,3,3,0,55,0,0,0,16,15,12,3,3,0,39,3,15,28,81,27,23,12,7,0,188,0,0,0,12,17,17,15,9,3,81,0,10,9,20,15,8,6,3,0,76,9,72,108,262,394,339,311,196,73,1765,0,0,6,25,13,10,0,0,0,55,0,0,0,4,8,3,3,0,0,19,0,3,7,18,18,30,48,32,13,162,0,0,0,0,7,7,13,8,3,40,0,7,3,13,5,6,0,0,0,31,9,23,42,317,60,25,30,5,4,500,0,7,0,15,0,5,0,0,0,27,0,0,0,16,3,0,0,0,0,16,0,0,0,4,0,0,0,0,0,6
SED23502,0,0,0,0,0,0,0,0,0,0,1418,3116,2643,4443,2899,3583,3391,1539,430,23459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,3,3,0,0,27,0,0,0,0,0,0,3,0,0,5,0,0,0,13,6,5,3,0,0,32,0,0,0,0,4,8,8,4,0,23,0,0,0,4,0,6,6,3,0,18,0,17,13,55,136,169,332,196,53,965,0,0,0,0,0,7,0,0,0,16,0,3,3,0,0,5,0,0,0,14,0,0,0,3,12,24,74,52,10,179,0,0,0,0,3,11,9,9,0,32,0,0,0,3,0,0,0,0,0,5,0,9,3,60,4,4,9,7,0,91,0,0,0,0,0,0,3,0,3,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5
SED23602,0,0,0,3,0,0,0,0,0,3,1543,3142,2721,4925,3019,3236,2551,1135,400,22672,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,9,0,4,0,10,3,3,3,0,0,24,0,0,0,0,3,3,0,0,0,10,0,4,3,37,4,4,3,0,0,54,0,0,0,3,3,4,12,6,0,28,0,0,0,5,0,0,12,0,0,17,0,8,19,82,141,180,288,139,48,905,0,0,3,8,0,4,0,0,0,10,0,0,3,0,0,0,0,3,0,9,0,0,0,5,10,19,57,24,6,136,0,0,0,3,0,7,12,0,0,22,0,0,4,10,0,0,0,0,0,19,0,10,3,94,10,3,3,3,0,134,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,3,0,0,0,6
SED23702,0,0,0,0,0,0,0,0,0,0,2130,4083,4513,6865,3552,2967,1779,688,188,26755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,7,3,0,3,0,0,18,0,0,0,10,5,12,4,0,4,34,0,0,0,3,9,6,3,0,0,12,0,4,10,7,11,15,3,0,0,52,0,0,0,4,7,15,8,7,0,41,0,0,0,4,3,6,6,0,0,18,3,41,95,231,429,403,449,245,72,1956,0,0,0,4,0,0,0,0,0,11,0,0,9,4,3,0,3,3,0,25,0,0,6,15,22,35,59,36,4,177,0,0,0,3,9,18,13,14,9,62,0,0,0,0,0,0,0,0,0,3,0,0,0,56,9,7,17,9,0,106,0,0,3,10,3,6,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4
SED23806,0,0,4,4,0,0,0,0,0,9,1406,3056,3387,5373,2577,2072,1497,696,257,20326,0,0,7,40,0,0,0,0,0,52,0,0,3,8,0,0,0,0,0,13,0,0,6,3,0,0,0,0,0,14,0,5,3,34,20,12,3,3,0,82,0,0,0,5,3,0,0,0,0,15,18,90,299,505,150,119,52,22,10,1262,0,0,0,4,3,0,3,14,0,26,0,0,0,9,4,10,9,5,3,43,22,101,85,286,212,170,165,95,17,1146,0,0,0,12,10,0,5,0,0,31,0,13,16,58,10,3,3,0,0,109,0,8,5,32,19,9,33,12,4,117,0,0,3,4,20,32,43,59,24,185,6,14,46,79,26,18,17,11,0,223,32,64,191,794,44,30,37,11,7,1207,8,9,53,56,7,8,3,3,0,142,0,0,4,102,11,3,3,0,0,125,3,13,12,35,3,0,0,0,0,75
