SED_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED10021,2555,2006,3181,93,17,7857,1909,2242,3195,68,38,7448,450,926,9549,283,15,11224,5,26,997,0,0,1030,179,300,1887,90,24,2473,5,9,135,0,0,154,17,68,115,5,0,208,22,25,121,8,0,176,683,1349,12806,387,41,15264,24,23,115,3,0,168,100,149,569,17,11,842,5261,5772,19868,566,111,31577
SED10022,10983,228,123,84,86,11495,7291,65,25,26,51,7455,2039,289,423,22,16,2796,596,34,64,0,3,694,1831,64,86,25,30,2033,83,27,67,0,3,181,447,15,28,23,10,519,313,19,20,3,3,354,5304,457,679,71,69,6585,201,33,8,4,3,245,864,44,55,9,24,1005,24642,826,892,200,224,26786
SED10023,6857,1542,1667,17,9,10091,6770,963,1701,8,23,9459,827,498,3151,42,13,4534,59,105,237,0,0,399,331,113,515,18,12,990,10,15,28,0,0,57,27,106,20,0,0,154,46,9,34,5,0,85,1303,845,3983,65,24,6217,58,20,61,0,0,140,294,105,198,6,7,609,15277,3471,7605,88,63,26511
SED10024,9083,878,996,0,8,10964,8450,272,989,8,3,9722,1442,128,1120,10,13,2718,9,46,24,0,0,72,486,38,225,3,14,764,25,7,21,0,3,52,37,16,47,3,0,103,60,7,14,0,0,88,2054,238,1451,13,36,3797,56,95,139,0,0,294,302,88,73,0,3,469,19948,1573,3647,26,58,25247
SED10025,5710,765,2859,22,21,9385,4007,1007,3716,56,19,8805,1130,572,6090,124,39,7957,84,188,439,0,4,715,360,105,935,46,16,1459,23,15,79,0,8,135,24,30,100,5,8,165,43,14,63,3,3,125,1665,922,7696,186,80,10548,48,14,83,3,7,150,243,68,295,11,19,632,11680,2770,14649,272,147,29520
SED10026,8337,197,223,169,37,8966,8550,120,62,112,39,8885,3109,686,629,52,16,4494,715,147,222,5,4,1089,1486,94,81,32,16,1711,98,51,62,0,0,210,225,18,23,28,16,307,177,18,8,3,4,210,5804,1015,1026,126,60,8020,120,24,110,6,7,280,634,53,80,47,21,835,23445,1411,1496,466,154,26979
SED10027,7317,1273,132,15,9,8752,6091,2512,81,17,24,8716,1899,1107,232,70,29,3328,781,475,343,0,0,1598,653,252,42,11,14,973,43,58,63,0,0,168,96,35,12,6,4,150,75,20,0,0,3,99,3538,1938,701,87,50,6312,79,32,56,0,0,170,418,143,62,4,7,639,17452,5898,1038,115,90,24595
SED10028,8132,890,733,0,10,9762,7505,1039,749,10,16,9318,1666,710,1558,3,10,3952,38,71,32,0,0,142,493,122,264,3,9,886,30,51,194,0,3,285,62,17,23,0,0,105,49,5,21,0,0,78,2337,982,2090,10,25,5443,103,220,363,0,3,692,254,79,158,3,7,498,18334,3208,4098,17,57,25718
SED10029,6070,512,515,44,7,7145,4961,1160,685,37,13,6856,2545,1018,2272,77,55,5971,542,775,765,12,11,2101,952,205,246,25,20,1452,41,90,121,3,0,250,222,62,74,5,3,368,87,25,33,3,0,149,4385,2165,3524,118,98,10290,119,31,23,3,0,172,556,136,201,14,35,943,16093,3998,4944,221,149,25404
SED10030,6954,1859,730,42,23,9619,7185,789,496,32,15,8517,3082,1364,1702,277,56,6478,211,479,445,3,3,1143,971,268,244,57,21,1565,35,75,92,0,10,214,93,13,25,16,9,150,94,30,28,8,3,163,4479,2235,2535,354,98,9700,93,40,107,3,6,244,490,199,179,18,42,930,19200,5125,4054,454,185,29021
SED10031,10236,359,33,119,74,10824,9287,152,33,48,46,9560,2262,485,269,16,10,3055,613,104,73,0,3,787,1478,121,53,22,23,1688,90,99,25,0,0,219,298,16,7,34,20,370,212,20,3,3,4,248,4954,836,428,83,64,6364,196,62,13,6,5,281,611,71,23,29,20,751,25284,1477,536,279,205,27789
SED10032,5410,760,688,9,16,6885,4421,1507,1848,15,24,7809,2209,1137,4608,45,57,8050,412,461,1065,0,3,1941,877,255,503,8,17,1665,52,114,134,0,0,301,178,48,56,5,3,290,67,28,46,0,0,148,3794,2039,6419,64,82,12398,92,64,51,0,3,202,471,141,306,9,35,962,14186,4512,9309,95,156,28254
SED10033,7053,440,84,58,44,7676,9488,402,50,24,43,10007,2124,833,261,27,33,3261,464,229,8,0,3,702,860,102,39,8,18,1034,55,39,7,0,0,107,181,34,3,66,11,300,114,14,4,5,7,139,3800,1257,320,101,67,5545,152,22,22,0,0,195,430,76,21,19,24,577,20919,2193,500,204,186,24002
SED10034,7556,755,829,34,11,9181,9180,918,1263,8,21,11395,1014,487,1663,25,11,3203,133,119,165,0,0,409,400,109,234,3,8,750,34,31,57,0,3,123,30,10,4,64,4,120,39,0,10,0,0,52,1647,752,2131,96,27,4656,52,20,106,3,3,185,294,64,116,7,15,497,18726,2507,4448,151,81,25916
SED10035,3215,1137,2501,27,20,6898,2177,1797,5953,29,29,9986,862,1252,12930,92,79,15218,35,356,1664,0,7,2070,334,345,2275,41,26,3025,21,27,282,0,0,332,33,19,361,6,3,416,25,13,113,0,0,155,1318,2016,17619,145,118,21218,36,28,171,0,3,234,176,129,758,14,73,1148,6923,5108,26997,213,243,39483
SED10036,6273,431,56,6,0,6767,9647,1143,84,19,17,10907,2359,1010,186,12,7,3576,446,430,111,0,7,1001,596,120,18,0,8,750,26,61,28,0,0,114,466,74,9,4,0,548,74,9,3,0,0,95,3968,1709,352,19,30,6080,128,44,19,0,0,196,486,141,33,4,6,673,20505,3461,544,51,63,24620
SED10037,8116,396,579,51,26,9167,9068,590,943,6,15,10625,1647,353,1853,15,31,3898,59,136,154,0,0,349,723,86,296,9,16,1126,28,16,84,0,0,128,67,12,23,17,5,124,60,3,27,3,3,94,2584,607,2445,43,50,5731,99,65,112,0,0,274,339,38,92,7,31,497,20205,1695,4167,108,119,26292
SED10038,8780,1127,526,43,21,10489,7886,927,462,12,23,9311,1483,1199,1074,53,25,3831,726,879,343,0,3,1945,669,279,227,11,12,1209,32,64,58,3,0,154,49,30,26,11,0,111,70,25,25,7,3,124,3029,2469,1749,87,47,7380,80,80,77,6,3,254,431,159,86,4,19,698,20207,4754,2900,151,112,28130
SED10039,8790,798,274,332,91,10283,7991,485,90,19,26,8613,1851,713,269,11,17,2851,370,210,72,0,0,660,963,141,77,12,15,1211,70,53,45,0,3,167,173,4,15,46,15,248,93,12,6,3,3,126,3523,1127,486,78,52,5267,129,29,132,3,32,321,431,80,42,35,26,608,20860,2523,1023,464,229,25098
SED10040,6048,1013,1955,16,8,9040,4227,1116,3185,11,9,8552,1497,695,6068,118,37,8420,155,187,292,3,4,632,563,175,1039,35,19,1837,40,45,49,0,0,130,79,38,100,5,3,225,61,19,54,3,0,135,2392,1149,7605,169,60,11380,70,22,96,3,0,187,337,90,357,7,43,828,13066,3393,13201,209,119,29993
SED10041,7483,671,1865,3,12,10037,7441,314,2178,3,9,9942,1248,193,2897,10,15,4363,20,45,149,0,0,220,432,57,485,3,4,982,22,13,165,0,3,206,50,9,38,3,3,105,35,5,30,0,0,79,1814,329,3763,21,27,5956,102,25,193,0,3,317,244,52,160,3,13,475,17087,1392,8163,25,64,26732
SED10042,9057,755,146,128,11,10093,8887,211,34,10,7,9159,2663,403,190,30,15,3301,548,238,84,3,0,866,1142,103,57,15,12,1322,66,70,44,3,3,183,102,24,4,91,10,237,88,8,3,0,0,103,4607,854,379,142,31,6015,137,168,41,3,0,352,510,89,26,31,16,671,23203,2074,622,316,71,26282
SED10043,5342,730,890,25,9,6999,4430,1386,1459,23,17,7317,1446,753,4369,90,38,6692,505,841,1434,5,5,2786,784,207,440,20,15,1470,50,85,91,0,3,227,161,44,80,7,4,298,88,33,56,5,3,180,3040,1968,6471,118,66,11661,83,35,67,0,0,184,513,145,363,10,15,1050,13404,4262,9246,185,106,27208
SED10044,6607,881,1810,13,6,9318,5659,846,2959,3,14,9479,1172,596,5460,19,31,7279,63,166,711,0,0,938,424,142,809,4,19,1398,17,30,141,0,0,190,28,30,41,0,22,127,46,16,39,0,3,104,1750,985,7209,26,74,10043,67,34,178,0,5,285,263,51,256,3,18,590,14348,2797,12414,43,120,29721
SED10045,10094,321,221,248,52,10939,7953,191,70,98,46,8368,2267,671,544,26,19,3524,379,205,101,0,0,695,2047,201,154,55,24,2477,124,117,34,0,3,275,168,20,20,101,4,317,215,22,14,16,6,264,5204,1238,860,198,56,7553,192,29,24,11,0,263,656,71,86,36,23,872,24101,1851,1261,598,177,27995
SED10046,4458,253,580,0,3,5289,7449,631,1116,0,7,9196,2158,496,3429,12,20,6110,1355,518,1206,3,15,3087,648,90,289,3,6,1041,64,42,111,0,0,217,152,22,75,0,7,255,69,10,47,0,3,128,4448,1172,5162,21,51,10842,86,12,39,0,0,142,549,68,298,4,7,931,16991,2135,7191,26,70,26405
SED10047,6188,305,93,110,20,6715,9157,868,173,17,30,10246,4429,1166,720,42,44,6394,1823,426,470,3,3,2725,1057,126,59,16,30,1287,70,51,39,0,0,156,116,27,15,28,10,195,109,9,13,3,3,141,7607,1798,1312,91,88,10903,167,11,10,3,0,190,686,91,81,5,21,888,23810,3074,1660,229,157,28936
SED10048,5783,755,49,19,26,6633,9729,1654,92,6,21,11500,2782,1519,134,12,20,4472,1101,858,65,0,0,2027,738,223,23,0,7,981,43,23,9,0,10,85,119,26,10,8,0,160,76,23,0,0,14,113,4855,2658,236,29,56,7835,98,33,3,0,60,198,490,156,19,3,12,672,20956,5252,395,55,175,26838
SED10049,7243,432,35,27,142,7876,10134,257,29,22,27,10459,3708,1047,337,19,19,5131,903,321,115,3,3,1349,905,143,29,4,4,1090,33,30,25,0,6,91,256,18,11,23,11,318,63,10,4,0,3,83,5865,1575,515,57,39,8056,89,108,0,0,58,257,458,69,21,8,112,667,23793,2435,607,108,379,27320
SED10050,5129,963,2735,11,16,8853,5236,842,3226,15,20,9343,961,531,5975,32,33,7534,63,85,260,0,0,402,432,212,1286,28,20,1980,12,0,58,0,0,70,19,24,51,3,0,99,34,14,65,0,0,113,1517,865,7691,72,57,10198,47,14,87,3,0,157,231,48,343,31,13,667,12166,2732,14077,128,104,29213
SED10051,5194,1605,1500,13,10,8321,3541,2085,2146,20,16,7808,885,967,4415,69,31,6365,194,867,1735,0,4,2799,389,250,674,21,14,1348,42,39,90,3,0,175,42,57,83,5,0,192,34,23,56,0,0,112,1586,2195,7057,99,50,10992,75,35,122,0,0,241,285,156,535,8,13,997,10684,6086,11360,145,94,28358
SED10052,7341,1439,963,53,12,9806,6969,1413,1194,18,5,9599,1111,667,1745,40,13,3582,113,433,354,0,3,910,341,168,221,10,6,742,21,63,95,0,0,185,33,49,18,22,3,114,51,15,22,0,0,89,1664,1399,2461,65,28,5614,64,51,170,0,0,287,288,103,142,8,16,557,16325,4402,4933,146,59,25860
SED10053,7534,470,264,75,69,8417,9047,857,440,38,67,10445,1578,1107,1521,20,18,4242,495,157,69,0,0,717,1072,292,287,18,36,1707,48,60,25,0,0,137,445,55,66,17,51,630,139,16,11,9,13,183,3774,1688,1965,69,115,7615,123,33,9,4,12,180,518,121,110,18,55,811,20991,3164,2793,205,321,27475
SED10054,4676,273,77,0,3,5033,9105,1075,195,14,11,10406,3127,1047,851,24,16,5061,1401,692,145,0,3,2246,931,183,73,6,8,1197,65,50,22,0,0,141,106,25,12,0,0,140,62,8,7,0,0,83,5701,2008,1115,29,26,8873,88,40,3,0,0,127,552,104,50,0,9,711,20126,3502,1438,45,53,25159
SED10055,6482,103,25,18,10,6643,11646,332,20,9,22,12021,2628,403,65,4,14,3105,94,34,8,0,0,133,829,61,9,3,13,912,17,0,3,0,0,24,142,6,0,4,7,154,62,4,3,0,0,74,3770,504,89,12,34,4407,86,3,0,0,0,91,463,25,6,3,14,509,22448,968,132,42,80,23674
SED10056,10598,242,230,252,60,11389,8034,82,96,41,43,8295,2464,360,966,33,32,3855,537,53,85,3,10,691,1977,108,178,41,25,2337,146,37,81,0,3,269,717,44,99,87,22,971,301,12,26,12,0,344,6139,607,1446,177,98,8464,218,49,17,23,8,311,886,59,125,53,22,1147,25877,1031,1920,544,228,29600
SED10057,10578,1317,425,313,74,12710,6495,245,148,32,39,6964,2546,714,1042,50,37,4386,399,185,215,3,5,812,1169,185,160,25,16,1554,95,111,74,0,0,279,115,31,20,72,12,250,134,18,18,8,0,179,4451,1248,1529,159,72,7460,168,144,9,8,10,340,645,145,101,49,24,955,22342,3100,2210,556,217,28429
SED10058,6572,1231,707,24,28,8564,6452,1073,711,14,23,8271,2764,1766,2318,65,43,6954,99,671,1159,6,14,1945,1107,405,525,17,24,2072,42,92,79,0,8,229,123,45,40,6,6,218,78,27,40,0,0,143,4216,3001,4164,90,97,11570,107,46,34,0,11,197,414,137,219,14,27,803,17769,5479,5841,143,177,29406
SED10059,854,2880,1248,41,18,5037,812,3954,2623,32,28,7454,378,3571,8443,280,91,12759,18,329,2836,0,5,3188,158,1130,1657,104,37,3089,16,62,535,9,4,630,10,53,325,14,11,406,11,50,94,7,0,167,597,5194,13881,411,149,20240,5,68,142,0,0,213,72,363,617,28,63,1150,2338,12459,18511,517,265,34093
SED10060,2845,1588,4831,13,21,9302,1897,1172,4150,5,14,7243,430,795,11040,48,27,12341,0,25,379,0,3,408,185,259,1959,11,3,2432,4,12,92,0,3,115,13,10,92,3,7,131,27,23,121,0,3,171,662,1117,13690,70,45,15590,23,10,187,0,0,229,105,75,510,3,14,704,5539,3972,23364,89,97,33061
SED10061,9960,200,92,127,84,10456,7355,124,39,28,56,7603,3081,702,739,19,36,4573,734,115,233,3,8,1090,1742,95,124,23,24,2006,226,49,117,0,33,426,648,25,37,58,11,776,351,25,15,5,8,409,6791,1000,1263,103,115,9278,229,13,12,5,7,272,800,58,107,34,25,1023,25138,1396,1512,297,294,28630
SED10062,7640,1364,815,11,14,9847,6014,1223,1237,15,16,8509,1328,640,2449,51,19,4483,201,309,261,0,0,773,422,118,346,20,14,928,25,40,42,0,0,108,34,42,23,8,0,105,52,10,24,0,0,89,2065,1163,3144,87,32,6490,79,46,38,0,0,159,334,103,142,7,6,590,16139,3901,5375,113,71,25599
SED10063,9289,278,96,69,42,9782,8807,111,47,26,33,9018,3141,784,498,14,21,4456,781,236,162,0,0,1184,1620,112,83,10,14,1841,84,49,52,0,17,210,289,13,20,29,19,368,173,21,5,4,6,207,6094,1210,819,60,68,8263,131,17,31,9,10,198,728,75,66,16,66,941,25055,1697,1054,183,215,28197
SED10064,11116,280,239,364,78,12078,7132,106,60,33,56,7382,2438,448,486,38,22,3433,605,93,137,0,0,835,1737,107,84,40,29,1999,163,60,41,0,0,262,173,22,15,76,12,300,205,14,8,5,4,234,5320,736,764,172,71,7068,164,15,40,3,8,226,714,53,60,33,31,900,24445,1190,1155,607,246,27646
SED10065,4588,981,1167,13,15,6766,4257,2302,2764,37,29,9397,1698,1621,8076,118,58,11577,863,614,1240,3,3,2728,588,325,1103,25,12,2050,46,105,186,0,6,336,168,185,88,0,12,456,58,28,62,3,3,152,3420,2876,10752,151,97,17301,76,40,118,0,3,234,298,145,437,5,32,922,12640,6353,15240,214,179,34622
SED10066,6524,791,169,90,8,7576,8943,818,313,3,9,10094,3052,1412,1283,23,34,5806,597,679,341,0,0,1614,784,221,121,4,9,1141,54,105,71,0,3,229,75,26,11,6,3,118,62,14,12,0,0,91,4616,2454,1848,31,46,9005,76,49,18,0,0,151,411,227,89,19,7,750,20576,4336,2438,141,75,27568
SED10067,6947,1023,1644,113,30,9767,6898,650,1400,19,22,8985,1123,276,1722,42,42,3209,6,21,23,0,0,53,626,147,445,24,28,1265,12,83,66,0,0,162,40,24,26,22,9,126,47,13,23,3,5,96,1855,566,2308,94,90,4910,95,300,272,0,0,670,333,106,216,15,11,690,16122,2652,5838,250,160,25021
