SED_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
SED10011,0,0,0,4,11,1124,12,9,3,3,0,0,0,3,56,1209,281,6,6,0,0,0,0,0,0,42,334,91,3,0,0,0,0,0,0,0,8,99,17,0,0,0,0,0,0,0,0,6,29,0,0,0,0,0,0,0,0,0,0,0,105,5,0,0,0,0,0,0,0,10,126,3,0,0,0,0,0,0,0,0,0,3,392,7,6,0,0,0,0,0,0,59,464,7656,568,402,72,78,53,28,43,21,266,9193,1593,248,273,43,50,55,108,132,115,65,2683,105,11,26,5,3,6,6,24,16,38,235,6,0,0,0,0,0,0,0,0,0,11,1700,257,296,51,55,57,112,151,130,105,2921,15,0,0,0,0,0,0,0,0,17,29,9367,832,698,125,133,113,142,202,154,385,12149
SED10012,0,0,0,0,3,2317,70,44,9,8,12,6,8,3,132,2609,47,0,0,0,0,0,0,0,0,3,51,172,0,0,0,0,0,0,0,0,7,179,696,19,14,0,0,7,0,0,0,166,910,16,0,0,0,0,0,0,0,0,0,15,877,24,14,0,0,7,0,0,0,178,1099,0,0,0,0,0,0,0,0,0,3,3,932,24,14,0,0,7,0,0,3,180,1160,2174,253,229,68,74,74,44,64,19,131,3123,15634,2317,2445,384,592,591,484,465,185,631,23734,10846,1381,1639,356,437,610,493,499,368,882,17504,220,34,17,0,5,8,9,8,9,34,342,26695,3730,4107,744,1026,1209,988,971,562,1548,41582,18,4,3,0,0,0,0,0,0,37,61,28888,3986,4334,814,1100,1285,1024,1039,583,1712,44764
SED10013,0,0,0,10,9,944,14,10,0,0,0,0,3,0,63,1044,133,0,3,0,0,0,0,0,0,30,175,91,0,0,0,0,0,0,0,0,17,110,109,0,3,0,0,0,0,0,0,14,124,0,0,0,0,0,0,0,0,0,5,5,197,0,4,0,0,0,0,0,0,37,242,0,0,0,0,0,0,0,0,0,9,9,338,0,9,0,0,0,0,0,0,79,420,5511,587,560,121,121,83,94,101,41,253,7482,4267,890,945,178,162,147,123,97,52,193,7048,758,89,134,16,23,34,39,34,16,81,1230,53,8,7,0,3,0,0,4,0,13,85,5078,980,1079,192,186,181,168,132,71,291,8362,10,0,0,0,0,0,0,0,0,24,37,10596,1565,1647,320,308,267,262,238,115,574,15886
SED10014,0,0,0,0,4,1096,32,28,3,3,4,3,0,0,36,1206,137,0,0,0,0,0,0,0,0,3,143,53,0,3,0,0,0,0,0,0,0,62,47,0,3,0,0,0,0,0,0,4,63,0,0,0,0,0,0,0,0,0,0,0,98,6,10,0,0,3,0,0,0,11,117,0,0,0,0,0,0,0,0,0,3,3,232,7,10,0,0,3,0,0,0,13,262,5756,589,427,98,100,120,87,83,45,287,7593,5832,1369,1660,315,310,370,293,270,194,242,10859,1068,155,205,60,44,73,60,67,55,87,1869,61,11,9,3,0,0,6,0,4,4,107,6961,1534,1882,377,364,440,355,335,246,339,12841,28,4,5,0,0,0,0,0,0,11,51,12746,2130,2310,482,463,561,441,420,295,634,20482
SED10015,0,0,0,0,4,3216,83,72,4,3,10,9,6,3,161,3580,112,0,0,0,0,0,0,0,0,14,126,326,0,3,0,0,0,0,0,0,18,343,597,20,10,0,0,0,0,0,0,89,711,9,0,0,0,0,0,0,0,0,4,11,930,19,10,0,0,0,0,0,0,102,1068,3,0,0,0,0,0,0,0,0,0,6,1039,22,10,0,3,0,0,0,0,122,1195,3478,564,527,113,118,117,97,111,56,191,5373,12634,2613,4188,590,772,884,1078,1084,663,689,25194,6206,912,1203,244,317,393,421,478,306,605,11089,146,34,27,8,8,10,6,15,3,30,277,18986,3562,5418,837,1098,1284,1497,1572,976,1319,36556,16,4,7,0,3,0,0,0,0,44,77,22489,4126,5955,949,1217,1407,1603,1680,1030,1548,42004
SED10016,0,0,0,4,4,1037,59,42,12,5,12,4,3,0,45,1228,141,3,3,0,0,3,0,0,0,3,156,128,6,3,0,0,0,0,0,0,8,157,89,9,4,0,0,0,0,0,0,11,118,0,0,0,0,0,0,0,0,0,0,4,222,18,13,0,4,0,0,0,0,24,279,0,0,0,0,0,0,0,0,0,0,3,365,20,15,0,3,6,0,0,0,34,436,6007,1264,1156,218,256,170,185,180,90,206,9722,7602,2599,2395,361,393,331,305,323,175,237,14727,841,259,379,92,116,100,109,140,72,148,2244,40,15,7,4,0,0,5,3,0,10,80,8480,2873,2784,453,510,427,414,458,246,395,17054,9,3,4,0,0,4,0,0,0,16,33,14499,4140,3943,672,765,605,601,641,333,616,26810
SED10017,0,0,0,3,5,368,4,3,0,0,0,3,0,0,37,409,100,0,0,0,0,0,0,0,0,33,132,31,0,0,0,0,0,0,0,0,5,33,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,5,47,0,0,0,0,0,0,0,0,0,3,7,137,3,0,0,0,0,0,0,0,43,184,2720,262,299,57,47,31,38,31,15,188,3691,501,164,361,53,71,32,42,29,15,48,1330,42,10,25,3,5,3,13,18,7,15,136,8,0,0,0,3,0,0,4,0,4,23,556,174,391,59,76,35,56,49,26,64,1481,3,0,0,0,0,0,0,0,0,126,125,3283,438,689,122,129,64,94,74,37,378,5307
SED10018,0,0,0,7,13,707,3,0,3,0,0,0,3,0,33,750,155,0,3,0,0,0,0,0,0,21,183,85,0,0,0,0,0,0,0,0,7,97,30,0,0,0,0,0,0,0,0,9,37,3,0,0,0,0,0,0,0,0,0,3,120,0,0,0,0,0,0,0,0,11,132,3,0,0,0,0,0,0,0,0,17,20,281,0,3,0,0,0,0,0,0,56,336,3229,451,517,92,120,56,78,54,37,147,4785,1234,271,370,80,69,83,69,73,37,65,2361,192,15,50,5,15,12,22,12,19,22,370,15,8,0,0,0,0,0,0,0,0,23,1440,295,427,92,82,104,90,88,51,93,2762,4,3,0,0,0,0,0,0,0,40,50,4675,739,937,184,204,159,169,147,90,281,7595
SED10019,0,0,0,0,4,539,10,9,3,0,0,0,0,0,25,578,150,0,3,0,0,0,0,0,0,14,167,25,0,0,0,0,0,0,0,0,4,31,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,6,37,0,0,0,0,0,0,0,0,0,0,3,175,0,3,0,0,0,0,0,0,22,200,3226,204,217,48,58,37,37,41,16,179,4062,396,88,173,25,35,27,44,36,25,42,877,39,5,26,0,6,3,7,8,4,9,106,13,0,3,0,0,0,0,0,0,4,20,452,94,205,27,36,29,43,37,26,49,1001,16,0,0,0,0,0,0,0,0,34,48,3689,297,421,77,92,72,82,81,43,266,5119
SED10020,0,0,0,7,4,850,20,9,4,0,0,3,3,0,37,918,248,3,0,0,0,0,0,0,0,20,276,54,0,0,0,0,0,0,0,0,9,60,14,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,8,85,16,0,0,0,0,0,0,0,0,11,20,337,8,0,0,0,0,0,0,0,40,379,4474,445,516,115,103,90,52,91,41,208,6132,1021,287,720,101,183,185,221,162,91,103,3076,114,43,112,24,59,87,93,124,108,70,829,19,12,10,0,3,0,0,4,4,4,51,1148,332,844,127,245,273,314,295,206,170,3959,20,3,0,0,0,0,0,0,0,28,55,5642,784,1365,242,346,366,365,382,249,399,10145
SED10021,0,0,0,0,0,1355,38,25,3,6,7,3,4,0,36,1472,311,10,7,0,0,0,0,0,0,20,359,308,0,0,0,0,0,0,0,0,20,333,142,3,0,0,0,0,0,0,0,6,144,3,0,0,0,0,0,0,0,0,0,3,454,3,0,0,0,0,0,0,0,23,482,3,0,0,0,0,0,0,0,0,0,3,767,18,7,0,0,0,0,0,0,41,842,7218,2073,2765,857,889,961,837,827,462,413,17283,4490,1107,1659,383,561,641,752,981,682,339,11590,695,62,105,22,25,47,59,98,140,90,1350,44,3,5,0,3,5,3,0,3,4,75,5228,1168,1765,413,588,689,815,1082,826,436,13012,18,0,4,0,0,0,0,3,3,12,44,12454,3241,4532,1276,1477,1645,1651,1906,1291,862,30342
SED10022,0,0,0,3,5,385,9,6,0,0,0,0,0,3,22,417,98,0,3,0,0,0,0,0,0,6,106,15,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,5,5,123,0,3,0,0,0,0,0,0,9,137,2073,159,155,24,30,39,24,36,15,133,2676,375,81,189,29,67,61,57,50,32,47,991,66,24,17,4,10,13,25,25,24,31,241,3,4,0,0,0,0,0,0,0,0,14,444,109,210,34,74,70,82,75,59,80,1241,7,0,0,0,0,0,0,0,0,128,136,2522,265,369,63,102,111,103,107,74,341,4053
SED10023,0,0,0,0,3,882,18,11,0,0,0,3,0,0,39,951,199,0,0,0,0,0,0,0,0,15,215,74,0,0,0,0,0,0,0,0,3,83,30,0,0,0,0,0,0,0,0,3,33,3,0,0,0,0,0,0,0,0,0,3,115,0,0,0,0,0,0,0,0,7,122,3,0,0,0,0,0,0,0,0,0,3,313,3,0,0,0,0,0,0,0,28,339,4723,658,675,156,161,151,141,138,51,199,7045,2039,435,486,112,137,130,154,105,53,78,3720,254,38,54,15,16,13,19,29,24,21,491,26,4,3,0,0,0,0,3,0,0,40,2323,483,540,126,144,136,171,138,76,106,4245,9,0,0,0,0,0,0,0,0,3,16,7052,1139,1217,281,304,290,315,277,131,305,11300
SED10024,0,0,0,3,12,1639,59,55,4,10,5,6,3,0,72,1858,343,13,6,0,4,0,0,0,0,41,410,154,3,4,0,0,0,0,0,0,24,184,82,3,3,3,0,0,3,0,0,15,111,8,0,0,0,0,0,0,0,0,0,9,244,10,10,3,0,0,3,0,0,44,300,0,0,0,0,0,0,0,0,0,3,7,587,27,11,3,4,3,0,0,0,90,724,8193,2030,1845,335,323,306,240,236,126,327,13964,6554,1916,1821,369,352,373,364,440,244,263,12692,845,227,312,74,99,111,147,185,158,221,2384,39,3,8,0,0,4,0,0,0,3,64,7446,2148,2145,438,453,488,511,630,398,488,15140,8,5,0,0,0,0,0,0,3,18,38,15647,4183,3989,778,773,793,750,867,531,834,29142
SED10025,0,0,0,0,0,2102,45,27,3,5,0,3,7,3,63,2262,138,4,3,0,0,0,0,0,0,15,161,348,0,0,0,0,0,0,0,0,19,368,406,8,5,0,0,0,0,0,0,19,435,0,0,0,0,0,0,0,0,0,0,0,758,9,5,0,0,0,0,0,0,34,811,0,0,0,0,0,0,0,0,0,7,10,897,14,7,0,0,3,0,0,0,54,978,5119,856,950,252,238,233,195,193,82,230,8339,7885,2211,3109,690,852,851,902,819,392,427,18140,2068,263,431,129,167,207,287,329,203,308,4393,60,15,13,3,5,7,11,15,7,9,148,10015,2488,3557,823,1023,1063,1196,1166,605,745,22683,6,0,0,0,0,0,0,0,0,19,30,15143,3340,4504,1077,1262,1296,1389,1354,691,993,31051
