SED_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SED23402,33606,34736,68345,2650,2436,5080,4800,4559,9358,2511,2290,4802,2228,2317,4542,4323,4754,9073,4484,4756,9237,4706,4953,9661,3716,3888,7606,2478,2695,5175,1287,1402,2691,422,685,1104,32156,33389,65552,1450,1340,2797,201,202,407,14,11,19,3,4,4,219,212,434,24816,25679,50496,6863,7101,13961,28168,28895,57056,3732,4137,7867,29170,30179,59353,516,460,973,4421,4222,8646,1973,1864,3840,686,832,1520,632,1200,1833,11845,14752,26596,4247,3914,8167,5135,4329,9464,2010,1687,3696,1046,1115,2162,76,84,163,31377,32458,63832,1615,1783,3397
SED23502,29116,30099,59212,1531,1537,3069,3437,3309,6743,1651,1522,3174,1318,1205,2527,2536,2767,5299,2800,3041,5839,3592,4002,7590,4545,4873,9409,4754,4450,9200,2288,2368,4653,669,1029,1701,26615,27874,54497,2494,2226,4720,700,743,1443,14,16,29,3,3,8,714,768,1482,23459,24041,47505,2862,3118,5979,25815,26605,52413,903,1031,1932,25843,26657,52500,301,324,619,3039,2932,5976,1113,1070,2186,175,251,424,297,836,1135,7076,9384,16459,3979,4144,8123,5651,4935,10590,2667,2168,4835,1870,1638,3509,80,70,154,25398,26398,51801,2672,2885,5554
SED23602,28463,28478,56943,1657,1498,3159,3466,3366,6831,1701,1513,3209,1368,1182,2549,2980,2859,5841,3189,3129,6318,3831,3952,7781,4225,4502,8728,3722,3648,7378,1736,1885,3624,588,945,1529,26318,26611,52931,2150,1870,4019,337,318,660,17,7,26,12,18,31,378,343,719,22672,22547,45222,3219,3359,6580,24426,25068,49490,1039,1198,2236,24413,25013,49423,315,295,603,3097,3025,6128,1184,1141,2326,214,283,501,326,842,1166,6973,9298,16268,4054,4062,8112,5073,4379,9454,2287,1849,4138,1640,1422,3063,80,89,167,24380,25245,49620,3327,2471,5794
SED23702,33711,34573,68282,2236,1921,4160,4410,4280,8693,2508,2220,4721,2494,2259,4757,4109,4398,8505,4129,4382,8502,4789,5289,10074,4265,4565,8828,3032,3212,6244,1382,1502,2887,367,541,911,32078,33080,65159,1637,1489,3126,382,361,743,22,23,49,5,5,11,412,389,798,26755,27123,53876,4881,5263,10144,30451,31127,61577,1459,1587,3049,30043,30712,60760,452,400,850,4079,3965,8039,1704,1651,3359,565,663,1223,497,1146,1649,9942,12894,22836,4712,4558,9267,6534,5242,11772,2508,2152,4661,1274,1346,2613,109,72,185,30865,32115,62975,2334,1845,4178
SED23806,31335,33996,65331,1621,1522,3142,3707,3570,7277,2072,2057,4130,3043,3009,6055,5823,6069,11886,4067,4519,8586,3848,4406,8252,3111,3543,6654,2355,2809,5162,1240,1522,2764,449,978,1424,29928,32493,62421,1406,1502,2909,57,53,113,4,0,8,0,5,5,60,57,120,20326,21934,42265,9382,10266,19650,22496,24176,46673,7258,8119,15383,24810,26996,51805,436,372,808,3502,3385,6886,1869,1883,3754,1992,1870,3868,1674,2056,3733,20458,22178,42633,1593,1982,3569,1249,1482,2730,601,652,1260,446,676,1118,98,129,227,28770,31164,59934,2060,2286,4344
SED23901,31088,33061,64148,2054,1966,4020,3802,3684,7483,1822,1800,3621,2013,1904,3919,4355,4508,8864,4389,4640,9035,4160,4528,8692,3609,3847,7462,2624,2949,5571,1506,1965,3471,747,1271,2014,29762,31845,61608,1324,1214,2542,183,179,359,5,7,17,3,8,9,193,186,383,21155,22237,43391,8103,8824,16932,21680,22558,44239,7726,8699,16430,26243,27873,54118,435,470,906,3544,3435,6980,1535,1563,3099,1022,1025,2043,1105,1519,2622,16231,17380,33612,2473,2424,4900,2357,2525,4878,1097,1189,2288,1072,1540,2615,192,264,456,28639,30626,59263,2432,2462,4887
SED24006,30353,32794,63146,1366,1292,2657,4270,3988,8261,2548,2494,5042,2430,2276,4703,3401,3471,6873,3242,3987,7231,4560,5239,9800,3729,4005,7731,2591,2923,5517,1455,1846,3306,750,1271,2018,29012,31474,60486,1346,1312,2660,55,48,99,3,3,10,0,0,3,54,49,108,19146,19715,38863,9681,11489,21169,19192,19962,39148,9661,11332,20996,25193,26642,51833,381,370,757,4010,3771,7777,2353,2306,4655,1551,1426,2979,1034,1362,2391,18307,19836,38144,1753,2109,3865,1501,1790,3285,809,887,1696,662,1009,1675,180,204,385,27941,30294,58229,1960,2096,4059
SED24105,34794,35300,70098,2290,2258,4551,4445,4141,8591,2396,2179,4573,2684,2463,5146,5300,5275,10581,4625,5028,9647,4503,4513,9010,3843,3976,7820,2886,3063,5951,1381,1579,2960,444,826,1267,33722,34282,68011,1075,1018,2093,73,70,146,13,12,22,3,3,3,89,87,170,15727,15021,30748,17395,18624,36023,13893,13375,27269,19420,20509,39929,27272,27575,54846,410,425,830,4040,3772,7814,1980,1910,3887,1282,1212,2494,1143,1520,2659,15784,15699,31483,2686,2467,5156,3500,3293,6795,1551,1691,3249,1896,2611,4510,987,1461,2449,33132,33531,66658,1409,1487,2902
SED24207,41772,41965,83732,3569,3325,6893,6373,6151,12521,2758,2685,5441,2840,2674,5514,6430,6704,13126,7091,7164,14249,5175,5292,10469,3903,4127,8032,2537,2508,5041,898,1005,1909,205,336,539,40581,40796,81371,1190,1172,2365,234,193,430,13,6,19,0,0,5,253,205,455,20358,19742,40104,18611,19390,38004,16126,15712,31835,22426,23482,45906,32768,33027,65798,608,584,1196,5655,5477,11131,2152,2236,4388,1088,1124,2216,1175,1760,2939,17234,18275,35514,3176,2734,5907,3800,3452,7253,1628,1608,3239,2107,2591,4702,656,935,1595,38745,39338,78084,2797,2356,5152
SED24308,32271,33090,65358,2038,1993,4029,4120,3915,8035,2307,2198,4506,2299,2202,4495,4415,4315,8732,4186,4097,8286,4224,4348,8579,3745,3946,7694,2879,3124,6003,1524,1930,3451,531,1012,1545,30776,31711,62489,1498,1373,2871,451,456,903,31,25,54,10,10,21,490,487,981,23110,23421,46530,6630,6909,13535,23677,24928,48600,5495,5944,11438,26841,28431,55273,351,364,716,3684,3492,7178,1687,1668,3358,573,706,1281,652,1165,1815,9077,10865,19943,4180,3820,8002,4859,4680,9541,2262,2271,4531,2006,2401,4407,305,391,692,28597,30191,58793,3167,2442,5607
SED24408,27886,28622,56512,1618,1428,3044,3498,3279,6780,1715,1575,3292,1404,1267,2678,2712,2803,5521,2788,3001,5784,3722,3955,7678,4260,4269,8531,3482,3483,6960,1946,2232,4179,743,1328,2067,25843,26703,52543,2044,1923,3970,332,382,712,17,16,34,12,12,22,364,407,768,23954,24222,48169,1785,2117,3905,25250,25805,51052,869,963,1832,25357,25894,51254,294,276,573,3186,2985,6171,1214,1141,2353,167,283,449,325,654,977,6969,9085,16059,4361,4371,8734,4835,4186,9026,2318,1981,4295,2021,1828,3851,99,82,183,24914,25516,50430,2233,2421,4651
SED24504,28304,29367,57672,1710,1664,3373,3969,3847,7814,1784,1655,3435,1329,1185,2515,2255,2437,4692,3550,4083,7628,4348,4696,9044,4202,4380,8577,3412,3370,6788,1341,1335,2679,399,714,1118,26625,27836,54460,1679,1534,3212,184,172,357,15,13,22,3,10,12,206,185,393,22329,23168,45498,3722,3751,7470,25072,25906,50979,1330,1420,2746,25201,26079,51276,388,364,750,3656,3501,7154,1318,1312,2632,373,442,814,428,962,1389,10307,12643,22948,3568,3422,6994,3962,3293,7257,1630,1347,2976,1047,955,2005,59,57,114,25574,26537,52110,2164,2337,4504
SED24606,27834,30966,58802,1429,1334,2757,3282,3268,6553,1637,1684,3320,2286,2710,4990,4524,4850,9369,3535,3924,7460,3630,4102,7734,2986,3397,6383,2470,2837,5304,1426,1802,3227,629,1068,1697,26417,29529,55943,1422,1434,2858,64,67,138,3,0,7,0,0,0,72,69,145,18444,20222,38665,7819,8983,16801,20363,22185,42544,5980,7145,13127,22717,25011,47731,403,360,765,3065,3062,6123,1452,1524,2975,1479,1786,3266,1118,1580,2699,17700,19802,37509,1489,1823,3312,1222,1511,2741,577,613,1187,539,730,1270,78,130,212,25638,28454,54093,1642,2049,3692
SED24703,55777,59374,115150,1904,1894,3799,2152,1982,4128,4120,5476,9601,12006,14519,26519,18198,18242,36440,6892,6236,13124,3987,4160,8150,3138,3248,6394,2169,2173,4340,867,977,1848,330,472,807,53543,57066,110609,2231,2305,4536,200,164,369,10,7,19,10,12,22,224,189,409,19930,19523,39450,29584,33747,63338,23876,23392,47274,25566,30143,55702,26374,26894,53269,289,288,577,1805,1716,3520,3518,4783,8300,8550,10546,19095,5575,6570,12146,39742,43691,83435,2331,2146,4476,1644,1527,3173,733,745,1478,638,903,1537,291,444,736,46494,50219,96714,17369,17385,34755
SED24808,38496,40129,78622,3378,3253,6634,5798,5682,11476,2551,2377,4930,2519,2552,5076,5689,6270,11961,5504,5641,11151,4681,4884,9565,4023,4560,8582,3013,3102,6121,1042,1243,2284,295,553,849,37079,38814,75895,1417,1314,2728,532,595,1127,15,8,29,4,13,17,553,619,1175,27711,28730,56445,7934,8445,16378,29699,30798,60497,6310,6755,13067,32756,33926,66679,574,577,1154,5188,5069,10263,1783,1762,3542,557,674,1231,762,1550,2307,11401,13934,25339,4621,4402,9024,6276,5689,11971,2692,2421,5114,1612,1777,3389,234,285,524,36019,37445,73472,2132,2329,4464
SED24904,31313,31987,63296,1955,1905,3855,4129,3908,8042,2101,1942,4042,1797,1758,3558,3749,3828,7580,3431,3644,7072,4125,4277,8399,4340,4259,8592,3347,3249,6597,1695,2116,3811,657,1095,1752,29343,30257,59599,1969,1726,3700,1069,1221,2284,40,43,78,36,19,54,1141,1282,2417,24504,25201,49704,3503,3539,7043,25311,26071,51386,3155,3194,6346,26744,27591,54329,415,366,779,3641,3473,7120,1401,1386,2784,282,426,706,473,935,1412,7493,9468,16964,3889,3847,7741,5629,4939,10569,2567,2296,4862,2196,2138,4341,288,265,561,27808,28498,56300,3416,3259,6677
SED25003,33800,34782,68583,2534,2355,4885,4759,4418,9181,2335,2196,4533,2516,2450,4969,5220,5389,10607,4891,5096,9984,4620,5148,9767,3594,3881,7473,2040,2149,4189,971,1138,2110,319,572,892,32914,33949,66863,885,836,1716,251,283,534,8,3,14,3,4,8,262,298,557,20796,21440,42234,11268,11490,22754,18426,18849,37273,13962,14486,28452,28386,29223,57610,455,404,855,4367,4108,8475,1836,1823,3664,930,989,1918,861,1340,2199,14342,15753,30098,3336,3168,6499,3764,3441,7203,1676,1579,3260,1593,2014,3604,296,403,699,32193,32963,65160,1418,1689,3106
SED25102,28413,28652,57063,1781,1653,3432,3925,3606,7530,1898,1789,3682,1767,1604,3370,3089,3138,6229,3851,4114,7960,4171,4425,8598,3957,4089,8051,2674,2655,5332,958,1042,1999,334,544,880,27010,27373,54382,1397,1278,2677,117,161,280,8,7,15,9,5,9,130,167,303,22233,22240,44477,4693,4900,9592,25329,25290,50612,1757,2036,3799,25347,25449,50800,382,370,757,3693,3378,7071,1517,1471,2989,612,644,1250,568,1148,1723,11268,13279,24549,3698,3344,7038,3958,3247,7201,1604,1242,2844,736,791,1524,80,58,135,26438,26646,53089,1253,1444,2696
SED25205,30369,32592,62960,2010,1921,3931,4154,3959,8113,1772,1761,3538,1787,1568,3362,3539,3850,7391,4624,5078,9705,4617,4965,9582,3514,3750,7266,2285,2844,5127,1450,1862,3312,614,1033,1644,29043,31312,60352,1328,1280,2608,130,123,252,15,6,17,6,3,12,154,135,289,21525,22839,44368,7222,8025,15250,23986,25479,49468,4910,5516,10432,26206,28117,54326,485,464,950,3944,3742,7678,1467,1527,2992,765,768,1527,696,1170,1873,13897,15857,29758,3248,3053,6296,3210,3196,6406,1229,1281,2508,871,1259,2130,139,171,310,28248,30301,58546,1433,1664,3095
SED25302,29378,32155,61529,1687,1557,3245,4371,4147,8524,1964,1933,3899,1403,1213,2610,2091,2306,4399,3589,4200,7796,4327,4682,9006,3563,4078,7637,3480,4305,7783,2150,2501,4651,747,1235,1979,27472,30333,57812,1902,1821,3724,130,141,272,5,9,15,3,0,4,135,152,291,21479,23436,44920,6310,6984,13301,26490,28760,55248,1558,1914,3472,25712,28198,53914,402,437,837,4123,3887,8014,1584,1586,3175,537,495,1038,491,921,1417,12139,14369,26509,3490,3660,7152,3858,3978,7837,1407,1465,2874,797,1014,1815,52,61,113,26839,29309,56143,1403,1896,3298
SED25402,31488,32928,64414,2047,1864,3912,4080,3894,7972,2015,1898,3917,2067,2110,4174,3851,4208,8054,3570,3835,7410,4158,4394,8553,4326,4473,8802,3203,3281,6481,1602,1992,3596,575,973,1546,29499,31055,60557,1987,1873,3857,445,492,933,15,23,36,16,13,28,473,526,1001,24950,25856,50805,3735,4107,7840,27029,28169,55200,2003,2211,4210,27611,28869,56483,292,278,571,3654,3522,7177,1390,1374,2766,403,644,1045,563,1062,1628,8455,10481,18939,4680,4406,9091,5542,5004,10555,2134,2278,4411,1737,1912,3646,121,130,254,28151,29384,57534,2668,2993,5661
SED25501,30352,31752,62096,1450,1318,2763,3956,3746,7700,2405,2140,4545,2464,2109,4572,3643,3503,7150,3629,4291,7926,4284,4665,8949,3285,3539,6818,2410,2947,5354,2024,2478,4505,792,1025,1814,29262,30683,59940,1091,1071,2159,58,70,122,0,7,8,0,4,6,59,74,136,14111,14080,28195,15016,16348,31370,14058,14137,28195,15196,16449,31646,22456,23117,45574,365,344,709,3733,3515,7249,2176,1957,4137,1592,1404,2997,1130,1500,2628,17509,18130,35644,2038,2219,4260,2117,2395,4509,985,1058,2046,838,1165,2001,188,266,458,28827,30088,58919,1398,1461,2853
SED25605,30997,31379,62373,1829,1734,3565,3371,3256,6636,1829,1663,3495,2327,1939,4261,4771,4479,9247,4011,3981,7992,3954,4017,7965,3361,3816,7176,3064,3420,6479,1871,1994,3867,605,1086,1692,29916,30371,60291,1079,1004,2084,60,61,122,5,8,14,7,3,9,78,76,145,14267,13996,28260,15058,15703,30761,13573,13324,26898,15982,16641,32623,23596,24043,47640,380,378,753,3105,3016,6122,1556,1467,3017,1260,1023,2276,1096,1325,2421,15687,15568,31261,2388,2237,4623,2704,2743,5443,1247,1255,2501,1583,2095,3678,459,669,1131,29100,29322,58425,1536,1788,3324
SED25704,30907,31600,62512,1827,1768,3591,4017,3704,7719,2035,1889,3924,1622,1443,3064,3004,3208,6215,3237,3461,6693,4078,4283,8363,4417,4408,8824,3728,3728,7452,2171,2466,4635,777,1248,2019,28802,29636,58439,2104,1966,4074,747,736,1483,29,22,57,16,17,34,794,779,1577,25748,26151,51898,2079,2319,4395,26936,27623,54561,1317,1293,2612,27348,27933,55280,299,301,605,3551,3299,6851,1406,1345,2753,209,308,519,294,770,1067,6562,8992,15550,4326,4539,8861,5954,4999,10956,2825,2325,5146,2223,2005,4223,183,113,300,27363,27836,55206,3075,3094,6169
SED25802,32478,34126,66601,1956,1926,3883,4366,4237,8606,2161,2029,4184,1817,1835,3647,3437,3686,7123,3543,3898,7446,4417,4749,9163,4529,4808,9334,3813,3986,7801,1898,2041,3938,543,931,1472,30546,32295,62843,1933,1831,3760,360,339,698,14,16,32,13,9,22,384,363,751,26293,27367,53657,3513,3876,7389,28878,30270,59147,1314,1502,2817,29014,30447,59467,340,339,677,3952,3841,7795,1522,1556,3077,381,500,883,424,1139,1560,8448,11313,19766,4492,4560,9052,6164,5117,11276,2627,2331,4964,1818,1845,3661,108,123,230,29455,30912,60367,2194,2449,4643
SED25905,32932,33291,66222,2180,2034,4214,4413,4074,8485,2539,2299,4838,2608,2432,5038,4572,4568,9143,4189,4358,8546,4632,5004,9642,3980,4210,8185,2347,2359,4705,1103,1277,2380,368,675,1046,31886,32344,64231,1040,949,1991,113,137,245,14,12,21,5,9,10,125,151,279,18137,18137,36275,13152,13500,26644,18413,18479,36899,13154,13453,26615,27502,27715,55225,367,306,670,4078,3752,7833,2044,1914,3962,939,1026,1964,760,1308,2063,13714,14743,28449,3417,3045,6455,4165,3664,7829,1651,1605,3259,1426,1801,3226,344,563,909,31214,31423,62635,1358,1610,2965
SED26005,41311,41235,82547,3283,3129,6413,7224,6792,14019,3487,3235,6724,3105,2808,5917,5083,5527,10607,6475,6850,13323,5895,5898,11794,3837,3774,7617,1980,2074,4058,773,857,1632,167,281,450,40225,40245,80471,1088,988,2075,157,199,359,8,10,18,7,0,7,176,211,387,22485,22259,44748,16667,16862,33532,23770,23420,47186,15601,15924,31527,33255,32836,66088,554,553,1104,6584,6184,12764,2759,2695,5453,1079,1165,2245,981,1702,2685,16270,17735,34010,3962,3539,7502,4825,4148,8975,1880,1771,3648,1405,1501,2910,609,726,1329,39397,39370,78771,1572,1603,3173
SED26102,28560,30560,59120,1377,1355,2726,3119,2947,6064,1404,1293,2691,1193,1110,2300,2261,2493,4753,2924,3179,6099,3624,3895,7522,4136,4759,8886,4669,5094,9768,2797,3006,5804,1060,1431,2493,26038,28072,54109,2527,2486,5012,254,225,476,10,9,21,3,15,20,271,247,516,21722,23230,44951,4475,4805,9271,24791,26553,51347,1783,1894,3682,25251,27029,52287,308,303,605,2825,2710,5540,1013,999,2009,289,345,630,375,844,1222,9927,11713,21643,3701,3861,7566,4736,4433,9168,1920,1882,3804,1294,1613,2915,143,113,261,25160,26976,52131,2334,2627,4955
SED26207,28937,30655,59594,1681,1612,3299,3491,3270,6761,1831,1592,3423,1803,1629,3439,3510,3656,7163,3891,4127,8012,4080,4289,8367,3111,3623,6738,2876,3444,6323,1964,2365,4330,696,1051,1746,27810,29582,57390,1128,1081,2207,81,81,158,4,7,9,3,0,0,83,85,177,19461,20182,39647,7834,8738,16571,18443,18877,37314,9130,10327,19463,25520,26935,52457,335,312,650,3243,3058,6297,1534,1399,2939,820,767,1587,600,912,1514,12667,13966,26640,2950,2659,5606,2983,2948,5925,1339,1337,2671,1809,2512,4320,315,471,782,27316,28925,56242,1197,1386,2583
SED26303,30810,33981,64788,1891,1788,3679,3401,3321,6721,1418,1357,2774,2053,2369,4420,6092,6977,13071,5304,5808,11117,4318,4784,9104,2866,3118,5989,1717,1975,3695,1253,1647,2901,490,837,1328,29440,32544,61981,1372,1437,2811,196,224,411,4,11,17,4,3,6,205,235,438,20640,22775,43415,8034,8916,16948,21140,23164,44298,7738,8759,16496,25490,28330,53822,447,400,848,3163,3094,6260,1191,1152,2337,994,1239,2229,1572,2377,3949,17326,20301,37627,1862,1631,3493,1821,1496,3315,773,755,1526,1341,1939,3278,338,495,831,28030,30976,59007,2285,2550,4838
SED26406,35180,36583,71764,2015,1979,3991,3297,3250,6547,2318,2394,4709,4512,4637,9148,7068,7001,14069,5032,4747,9778,3956,4171,8129,2958,3168,6124,2015,2391,4401,1395,1824,3218,620,1032,1649,34000,35461,69468,1179,1120,2296,71,72,143,0,0,0,0,0,3,74,81,151,17334,17817,35152,15927,16911,32838,17595,17869,35469,15798,16970,32770,24039,24958,49000,445,429,876,3095,3035,6127,2042,2162,4206,3362,3501,6862,2181,2383,4565,21334,22433,43766,2155,1940,4093,2074,1972,4046,941,901,1842,1212,1761,2972,261,399,657,31708,32927,64638,3180,3373,6553
SED26504,27868,29103,56972,1553,1462,3019,3567,3360,6925,1658,1559,3218,1327,1233,2559,2519,2713,5233,2982,3297,6281,3753,3924,7678,4111,4288,8402,3613,3777,7388,2044,2278,4319,745,1209,1957,25796,27077,52869,2073,2026,4096,337,343,681,13,22,33,12,11,15,356,366,726,22526,23463,45990,2707,2864,5574,24049,25045,49100,1551,1639,3194,24587,25647,50234,282,277,561,3169,2988,6159,1130,1095,2227,214,308,518,318,797,1116,7058,9363,16422,3804,3876,7682,5163,4568,9732,2210,1849,4059,1774,1671,3443,103,106,204,24588,25596,50184,5877,5764,11644
SED26603,36594,37931,74522,2644,2513,5158,4011,3806,7819,1806,1670,3472,2656,2558,5217,7277,7014,14285,5838,5860,11691,4564,4703,9263,3126,3462,6584,2082,2430,4514,1679,2422,4097,909,1498,2413,35335,36714,72047,1260,1217,2474,152,184,338,20,10,29,13,8,16,185,196,383,21287,22608,43895,12759,12741,25499,19673,20573,40249,14713,15136,29852,28281,30203,58487,517,456,975,3608,3463,7067,1435,1372,2804,1282,1209,2487,1676,2037,3711,17844,18835,36679,2722,2526,5246,3105,2661,5764,1321,1320,2644,2089,2984,5074,444,681,1125,33973,35060,69030,2234,2564,4798
SED26708,30118,29853,59969,1743,1669,3415,4183,3713,7892,1907,1648,3557,1494,1316,2808,2916,2898,5811,3397,3457,6851,4180,4251,8424,4417,4452,8866,3575,3463,7033,1731,2001,3738,578,997,1570,27957,27801,55755,2155,2059,4211,273,256,530,20,17,34,10,3,11,305,271,580,25173,24883,50059,2451,2511,4963,27030,26892,53925,956,929,1888,26971,26754,53720,343,339,683,3763,3376,7142,1346,1221,2573,249,369,625,369,795,1160,8005,10485,18488,4471,4163,8632,5020,3962,8988,2377,1853,4233,1792,1518,3308,119,100,218,26884,26561,53444,2439,2542,4984
SED26806,35282,37987,73274,1341,1317,2656,1584,1668,3254,1047,1216,2267,3000,3902,6899,11647,12542,24198,5914,5456,11368,3831,3708,7538,2869,3226,6096,2260,2511,4769,1239,1568,2807,543,873,1420,33431,35957,69395,1849,2030,3877,138,126,264,4,4,10,4,4,13,151,135,290,18932,20229,39157,12552,13818,26367,23321,24527,47843,8298,9684,17977,24274,25980,50254,284,278,565,1385,1462,2850,829,963,1801,1403,1871,3271,2138,2728,4864,23989,26256,50242,1816,1804,3615,1613,1517,3130,501,510,1008,591,765,1358,133,209,340,30398,32659,63059,5598,5633,11231
SED26903,33364,34787,68149,2280,2283,4564,3425,3176,6606,1526,1419,2943,2427,2397,4818,6731,6499,13229,5167,5242,10410,4124,4329,8455,3161,3324,6488,2063,2526,4582,1690,2254,3944,781,1331,2111,32191,33589,65780,1182,1192,2376,298,322,614,6,8,17,9,13,20,307,342,651,18232,19093,37325,12387,12808,25198,16328,17166,33494,14610,15116,29719,24720,26281,51001,343,392,742,3048,2813,5858,1181,1144,2324,1219,1145,2364,1786,2131,3924,15967,16681,32646,2466,2126,4588,2669,2501,5166,1284,1331,2615,2128,3040,5166,513,765,1278,30705,31968,62677,2323,2451,4775
SED27003,35342,37208,72548,1706,1674,3377,2236,2351,4588,1027,1111,2136,2538,3181,5715,11186,11855,23041,6150,5816,11966,4227,3917,8145,3027,3324,6353,1957,2221,4182,947,1247,2195,328,514,842,33434,35351,68786,1908,1855,3759,152,141,300,14,6,19,3,3,6,168,152,321,21497,21859,43356,10187,11577,21770,24320,24590,48908,7650,9188,16835,26969,28362,55330,292,316,607,1940,2059,4005,784,913,1700,1108,1453,2560,2267,3161,5421,22920,24183,47106,1712,1537,3249,1627,1388,3020,632,665,1295,818,1296,2110,275,589,864,31111,33028,64136,4328,4442,8773
SED27101,30196,31879,62070,2160,2106,4264,3787,3509,7301,1715,1602,3316,1797,1670,3467,4676,5010,9687,4766,4881,9650,3998,4157,8153,3030,3413,6449,2296,2814,5111,1425,1821,3241,535,895,1428,29026,30701,59725,1170,1173,2344,107,128,232,4,18,17,0,0,0,112,142,253,19802,20498,40293,9119,9982,19096,20951,21820,42768,8114,8810,16924,24601,25847,50449,479,465,936,3603,3330,6932,1423,1388,2817,848,793,1645,1088,1579,2670,14832,16341,31170,2855,2722,5570,2827,2780,5608,1130,1225,2355,1082,1379,2462,280,371,650,28439,29946,58387,1342,1556,2897
SED27208,31700,30847,62546,1647,1531,3180,3668,3481,7149,1735,1642,3376,1456,1317,2777,2942,2868,5812,3492,3302,6795,4313,4322,8638,5056,4765,9822,4429,4114,8549,2223,2294,4511,721,1204,1929,29783,29106,58884,1918,1738,3660,437,413,851,34,36,64,5,10,23,480,454,938,26239,25403,51638,2746,2642,5394,27416,27537,54952,986,1003,1993,27514,27591,55104,305,320,626,3306,3171,6470,1160,1162,2320,218,277,493,355,740,1087,7487,9587,17080,4183,4150,8331,5667,4783,10452,2830,2363,5196,2340,2039,4385,153,90,244,27594,27730,55325,3638,2502,6142
