SA2_MAINCODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
128021537,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
128021538,..,2343,2343,2476,238,2716,1310,28,1337,1171,8,1176,428,0,430,135,3,137,5519,2618,8135
128021607,..,907,907,1654,64,1717,985,3,989,1260,0,1260,581,0,581,197,0,197,4674,976,5645
128021608,..,312,312,688,19,710,418,3,420,573,3,578,252,0,252,87,0,87,2018,344,2365
128021609,..,72,72,266,3,267,233,0,233,316,0,316,142,0,142,51,0,51,1010,73,1087
197979799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199999499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011001,..,711,711,1148,79,1222,630,24,655,814,16,833,333,5,342,125,0,125,3055,831,3886
201011002,..,1529,1529,1444,183,1628,554,64,619,562,22,581,235,5,238,65,0,65,2850,1804,4654
201011003,..,2756,2756,2806,335,3141,1179,67,1245,1143,22,1168,501,3,506,177,3,178,5805,3189,8992
201011004,..,3398,3398,2898,422,3320,1268,101,1371,1104,54,1162,423,15,436,184,7,184,5880,3984,9868
201011005,..,414,414,761,46,809,318,19,334,426,23,445,200,3,200,68,4,72,1768,510,2281
201011006,..,526,526,793,73,869,417,15,429,396,12,404,159,0,162,85,0,81,1849,619,2472
201011007,..,170,170,405,16,426,188,0,189,280,0,280,129,0,129,57,0,57,1054,194,1246
201011008,..,1886,1886,1716,150,1867,804,24,827,631,4,641,301,6,312,133,4,136,3584,2077,5667
201021009,..,498,498,713,42,756,297,0,299,308,0,308,150,0,150,71,0,71,1544,536,2079
201021010,..,887,887,1061,56,1109,346,0,348,344,0,345,159,0,159,82,0,82,1987,946,2933
201021011,..,1192,1192,1320,103,1423,428,8,442,353,5,354,156,0,153,44,0,44,2299,1312,3612
201021012,..,437,437,683,42,721,294,0,294,294,0,294,156,0,156,72,0,72,1493,475,1964
201031013,..,451,451,526,45,569,138,0,145,103,0,103,52,0,52,41,0,41,868,493,1365
201031014,..,500,500,530,41,567,188,3,187,184,0,181,74,0,74,50,0,46,1018,544,1561
201031015,..,393,393,582,25,606,201,3,208,270,0,270,110,0,110,49,0,49,1210,422,1632
201031016,..,1263,1263,1148,92,1240,362,14,373,298,0,296,135,3,132,63,0,63,2002,1372,3374
201031017,..,677,677,805,68,864,277,7,285,183,3,182,96,0,96,60,0,60,1415,749,2164
202011018,..,2140,2140,1820,246,2072,719,57,780,529,15,540,223,8,229,119,5,123,3414,2466,5885
202011019,..,1470,1470,1375,156,1534,636,23,657,527,8,534,251,3,254,131,0,131,2919,1661,4577
202011020,..,1727,1727,1799,155,1953,646,61,705,567,32,602,240,6,239,118,0,121,3371,1975,5340
202011021,..,1148,1148,1061,163,1224,467,84,553,404,24,430,195,11,205,68,4,72,2193,1434,3630
202011022,..,2458,2458,2548,226,2774,1074,54,1128,887,7,894,349,5,358,148,0,152,5010,2747,7758
202011023,..,163,163,429,16,441,285,3,284,375,0,375,212,0,212,51,0,51,1352,177,1528
202011024,..,329,329,885,22,907,438,7,440,641,0,640,284,0,287,111,0,111,2361,365,2729
202011025,..,843,843,1321,106,1425,737,30,771,633,3,640,317,3,323,124,0,124,3133,978,4118
202021026,..,339,339,850,34,887,397,3,399,426,3,431,223,0,223,84,0,84,1982,374,2356
202021027,..,1472,1472,1354,129,1488,486,15,508,414,3,417,168,0,168,61,4,62,2487,1627,4115
202021028,..,987,987,1293,91,1390,412,8,417,371,3,375,143,0,143,64,0,64,2282,1089,3373
202021029,..,566,566,702,52,752,208,3,209,174,0,174,65,0,65,46,0,46,1201,623,1826
202021030,..,961,961,1222,60,1283,486,16,505,481,4,483,210,7,215,77,6,83,2481,1057,3532
202021031,..,500,500,766,28,797,380,3,382,492,0,492,174,0,175,37,0,37,1845,533,2377
202031032,..,382,382,562,32,594,235,0,235,218,0,218,128,0,128,41,0,41,1180,416,1593
202031033,..,955,955,1017,82,1102,285,3,287,230,0,226,129,0,129,78,0,78,1736,1036,2775
203011034,..,244,244,595,27,621,298,3,304,469,0,469,243,0,246,80,0,80,1685,269,1956
203011035,..,439,439,788,36,825,363,3,367,428,0,428,185,0,185,98,0,98,1867,475,2339
203011036,..,398,398,736,31,768,281,0,282,314,0,315,163,0,168,63,0,63,1560,430,1994
203021037,..,1943,1943,1716,181,1895,778,81,858,696,19,717,232,4,243,76,7,83,3499,2238,5733
203021038,..,3018,3018,2765,295,3063,1573,41,1612,1144,9,1158,549,3,556,362,3,366,6393,3373,9767
203021039,..,1894,1894,1597,213,1807,627,80,702,519,34,554,193,3,195,61,6,67,3000,2226,5226
203021040,..,2680,2680,2327,263,2589,1056,79,1133,996,34,1031,402,6,415,108,3,110,4891,3078,7966
203021041,..,1968,1968,2649,164,2808,1288,83,1371,1344,57,1402,514,35,550,188,24,210,5988,2325,8315
203021042,..,1578,1578,2408,120,2521,1091,61,1149,1391,43,1435,579,31,607,187,35,226,5660,1861,7515
203021043,..,1097,1097,1817,105,1920,1012,8,1019,1111,3,1113,487,0,487,176,0,176,4604,1208,5814
203021044,..,1019,1019,1527,79,1609,766,8,777,767,4,774,319,0,319,104,0,104,3486,1107,4588
203021045,..,1980,1980,1858,164,2027,831,36,861,667,3,669,228,0,232,127,3,130,3716,2183,5900
203021046,..,1094,1094,1167,94,1260,473,30,506,601,8,609,270,0,276,66,3,69,2575,1233,3805
203021047,..,1703,1703,1764,161,1928,876,30,898,712,13,719,278,0,275,121,0,121,3743,1908,5652
203031048,..,1240,1240,1858,85,1946,692,4,696,706,0,706,309,0,309,121,0,121,3691,1332,5023
203031049,..,592,592,709,35,744,206,6,213,213,3,219,91,0,91,24,0,24,1247,643,1889
203031050,..,1817,1817,2693,147,2843,1216,28,1239,1451,4,1460,625,3,628,190,0,190,6173,2005,8174
203031051,..,1050,1050,1309,86,1392,281,3,282,247,0,249,105,0,105,45,0,45,1978,1140,3116
203031052,..,536,536,676,20,699,154,0,154,156,0,156,75,0,77,22,0,22,1082,556,1638
203031053,..,1155,1155,1993,132,2132,889,51,934,1287,22,1306,544,8,549,126,0,130,4836,1365,6204
204011054,..,871,871,988,58,1047,259,3,263,253,5,251,80,3,78,38,0,33,1613,936,2549
204011055,..,888,888,997,55,1049,300,4,301,210,0,215,100,0,103,45,0,45,1652,951,2599
204011056,..,1156,1156,1542,99,1646,718,14,736,776,0,776,400,0,399,143,0,143,3575,1264,4845
204011057,..,1025,1025,1187,76,1259,348,4,354,373,3,377,152,0,159,60,0,65,2124,1107,3233
204011058,..,478,478,598,37,634,196,0,199,169,0,168,71,0,71,29,0,30,1054,519,1578
204011059,..,833,833,777,62,837,331,6,339,253,5,254,109,10,122,51,6,57,1517,923,2441
204011060,..,242,242,477,20,502,230,0,230,226,0,226,108,0,112,54,0,54,1097,271,1360
204011061,..,36,36,27,0,27,4,0,4,8,0,8,4,0,4,0,0,0,46,36,84
204011062,..,456,456,547,33,582,144,0,144,139,0,139,67,0,69,31,0,31,930,490,1419
204021063,..,1532,1532,1577,108,1688,473,6,477,386,0,387,172,0,172,64,0,64,2675,1653,4325
204021064,..,282,282,548,28,573,171,0,170,164,0,164,74,0,74,26,0,26,982,311,1291
204021065,..,444,444,545,32,579,196,7,199,184,0,186,87,0,87,23,0,23,1034,485,1521
204021066,..,2528,2528,2458,182,2639,925,18,944,867,7,872,378,8,384,123,0,128,4752,2741,7495
204021067,..,786,786,1355,71,1426,441,0,446,487,0,489,251,0,251,93,0,93,2622,860,3482
204031068,..,461,461,663,33,699,191,8,199,208,0,207,70,0,73,33,0,33,1162,502,1664
204031069,..,935,935,1168,73,1242,339,8,348,331,3,332,145,3,147,36,3,39,2020,1030,3046
204031070,..,276,276,422,29,444,175,3,177,153,0,153,54,0,54,42,0,42,841,308,1152
204031071,..,590,590,685,28,714,207,8,210,196,0,198,97,0,97,43,0,43,1228,619,1847
204031072,..,705,705,918,46,964,239,8,247,235,0,235,130,0,130,38,0,38,1567,755,2317
204031073,..,1316,1316,1807,131,1939,823,14,837,821,8,827,354,8,360,138,0,138,3948,1467,5419
204031074,..,2410,2410,2844,241,3088,1311,27,1336,1237,22,1262,538,4,543,203,0,205,6139,2702,8846
204031075,..,313,313,573,22,599,242,0,242,257,3,255,126,0,126,49,0,49,1241,340,1582
205011076,..,1447,1447,1995,130,2126,841,6,847,804,0,809,391,0,391,182,0,189,4215,1590,5807
205011077,..,528,528,817,36,854,292,3,293,269,0,269,167,0,167,64,0,64,1605,565,2172
205011078,..,697,697,1025,49,1079,362,3,367,396,0,396,176,0,176,81,0,81,2041,754,2797
205011079,..,1799,1799,2380,128,2509,935,16,949,914,11,925,490,3,494,198,0,203,4915,1958,6872
205021080,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,..,1768,1768,1917,104,2023,723,16,744,645,3,650,285,3,288,109,4,115,3686,1904,5587
205021082,..,723,723,1164,51,1216,355,8,360,343,0,343,159,3,163,79,3,82,2112,782,2894
205021083,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,..,1214,1214,1575,84,1661,437,13,448,358,0,362,173,0,173,52,0,52,2589,1311,3908
205021085,..,972,972,976,65,1038,257,0,262,225,0,225,107,0,107,51,0,51,1610,1041,2648
205021086,..,753,753,1187,68,1250,214,4,224,232,0,232,82,0,82,39,0,39,1751,826,2577
205031087,..,1147,1147,1348,74,1424,337,6,343,335,0,331,146,4,150,63,0,63,2235,1230,3463
205031088,..,28,28,20,0,17,3,0,3,3,0,3,0,0,0,3,0,3,25,23,55
205031089,..,895,895,1191,49,1235,427,0,435,436,3,437,242,0,240,95,0,95,2392,949,3338
205031090,..,1109,1109,1468,67,1531,507,13,519,508,3,516,273,0,272,123,0,123,2874,1193,4066
205031091,..,1322,1322,1516,93,1608,478,10,486,443,0,448,176,0,176,58,0,58,2676,1421,4099
205031092,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
205031093,..,3011,3011,3262,235,3495,1036,20,1048,848,3,847,447,0,451,144,0,150,5736,3274,9013
205041094,..,893,893,1505,80,1582,632,21,655,589,6,597,253,0,253,101,0,101,3075,1001,4070
205041095,..,2410,2410,2153,174,2322,884,8,894,740,0,740,281,0,281,125,0,128,4184,2591,6781
205041096,..,2136,2136,1723,155,1880,717,15,733,524,5,528,214,0,214,126,0,124,3305,2309,5613
205041097,..,2985,2985,3231,233,3465,1392,41,1433,1394,7,1404,557,0,559,211,3,209,6793,3271,10058
205041098,..,357,357,549,38,587,258,3,264,275,0,275,104,0,103,44,0,44,1236,400,1632
205051099,..,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
205051100,..,497,497,616,41,653,153,3,155,184,0,186,83,0,83,38,0,38,1073,547,1621
205051101,..,1425,1425,1849,83,1933,643,9,656,655,3,662,357,0,358,137,0,137,3642,1534,5174
205051102,..,318,318,522,32,553,222,0,222,182,0,182,106,0,106,40,0,40,1074,353,1426
205051103,..,1772,1772,1785,143,1930,765,24,788,708,3,714,310,8,321,106,5,106,3677,1949,5624
205051104,..,729,729,811,53,871,270,4,269,177,0,177,103,0,103,28,0,28,1385,791,2174
206011105,..,3142,3142,3088,985,4072,1208,495,1699,966,221,1193,251,86,330,87,25,113,5598,4961,10560
206011106,..,1510,1510,1415,401,1817,576,193,775,426,85,514,101,12,113,26,19,43,2553,2222,4776
206011107,..,1891,1891,1580,399,1977,708,171,880,633,77,705,191,21,211,73,6,71,3190,2555,5745
206011108,..,2275,2275,2633,464,3096,1498,298,1792,1494,130,1624,514,46,561,252,16,264,6385,3225,9610
206011109,..,702,702,892,71,972,551,19,576,775,9,781,255,3,262,82,0,82,2557,813,3371
206021110,..,1012,1012,925,154,1083,473,67,542,549,27,584,176,8,188,49,0,50,2178,1274,3450
206021111,..,2610,2610,2573,553,3124,1311,277,1587,1429,123,1554,406,26,432,117,17,127,5833,3604,9446
206021112,..,2315,2315,1974,446,2419,1020,165,1185,975,80,1055,284,29,313,97,6,99,4345,3038,7385
206031113,..,1610,1610,1618,264,1879,812,131,945,849,37,883,287,6,290,85,3,92,3649,2053,5702
206031114,..,2996,2996,2779,335,3112,1457,82,1531,1783,21,1804,679,4,686,171,5,176,6871,3444,10316
206031115,..,1409,1409,1122,321,1441,494,111,609,358,30,385,140,5,143,88,4,89,2201,1880,4083
206031116,..,1569,1569,1512,241,1750,799,90,892,839,36,877,310,3,316,83,3,82,3553,1933,5482
206041117,..,3668,3668,1599,1400,2998,492,437,925,266,160,428,88,60,145,76,28,102,2522,5746,8273
206041118,..,1434,1434,1648,417,2065,603,183,788,213,69,285,51,25,76,19,7,29,2533,2134,4673
206041119,..,859,859,783,127,908,196,52,246,83,23,111,24,3,32,12,3,12,1097,1074,2173
206041120,..,12,12,7,0,9,0,0,3,4,0,4,0,0,0,0,0,0,11,12,22
206041121,..,1385,1385,1353,292,1640,601,173,780,440,59,504,129,9,140,40,5,51,2566,1928,4491
206041122,..,5964,5964,3890,2766,6659,1185,1134,2316,467,478,948,110,162,270,44,78,127,5704,10580,16284
206041123,..,2703,2703,2238,943,3181,768,432,1197,531,182,711,149,60,210,100,20,123,3778,4340,8118
206041124,..,617,617,552,232,782,210,93,304,127,44,179,52,33,89,16,13,32,962,1034,1997
206041125,..,1146,1146,926,184,1110,238,36,269,129,9,145,48,0,48,11,0,9,1352,1378,2730
206041126,..,2857,2857,2757,965,3722,817,369,1186,258,103,355,59,27,85,29,20,46,3909,4345,8251
206041127,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,..,2130,2130,2200,305,2503,805,103,908,683,25,703,193,6,200,32,0,32,3917,2563,6481
206051129,..,2708,2708,2067,528,2598,701,91,792,594,20,617,168,0,168,31,0,30,3559,3350,6910
206051130,..,2501,2501,2431,275,2705,905,67,966,650,16,665,177,4,185,46,0,44,4208,2864,7072
206051131,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
206051132,..,1980,1980,1740,285,2033,545,101,640,382,25,407,88,3,95,24,3,29,2786,2393,5178
206051133,..,5600,5600,3629,1008,4634,931,208,1135,517,40,559,135,11,150,32,4,32,5239,6871,12110
206051134,..,2886,2886,2027,721,2748,764,198,964,468,34,507,142,11,154,99,8,98,3510,3847,7354
206061135,..,1348,1348,1164,231,1396,415,58,472,387,17,401,155,6,162,35,0,35,2157,1665,3815
206061136,..,3531,3531,2748,853,3603,757,298,1050,546,61,611,134,6,137,37,3,41,4220,4756,8983
206061137,..,4187,4187,3153,1040,4194,785,228,1016,438,45,484,107,3,111,35,6,38,4518,5509,10028
206061138,..,1819,1819,1846,242,2087,655,89,745,516,20,535,240,3,240,68,0,68,3324,2164,5492
206071139,..,1161,1161,1206,348,1555,348,117,467,221,50,266,60,10,70,34,0,32,1870,1694,3556
206071140,..,941,941,1004,300,1300,441,237,679,313,89,398,80,27,105,27,12,38,1856,1606,3460
206071141,..,1333,1333,1210,376,1590,338,122,459,199,33,233,59,8,69,46,3,51,1851,1877,3729
206071142,..,1421,1421,1252,312,1568,456,149,607,275,81,363,76,35,111,56,13,70,2118,2005,4129
206071143,..,1646,1646,1483,339,1827,538,203,749,533,108,641,151,25,176,45,5,49,2750,2329,5085
206071144,..,4370,4370,4175,1053,5228,1446,556,2003,1016,152,1163,275,32,310,95,7,98,7008,6170,13179
206071145,..,950,950,1015,185,1207,469,110,577,470,42,507,131,9,138,34,0,32,2118,1294,3415
207011146,..,503,503,635,40,669,435,16,458,662,9,666,220,6,223,62,0,62,2010,576,2591
207011147,..,1374,1374,1580,125,1706,939,29,966,1059,18,1076,424,8,433,149,3,149,4146,1557,5700
207011148,..,1136,1136,1631,64,1698,1189,29,1219,1571,17,1591,690,9,699,234,3,239,5323,1268,6594
207011149,..,1610,1610,2054,178,2234,1097,68,1163,1530,28,1553,589,14,607,181,9,192,5453,1905,7353
207011150,..,1078,1078,1536,105,1639,864,29,893,1350,15,1368,530,10,533,98,7,105,4371,1243,5619
207011151,..,3290,3290,2678,659,3339,1060,210,1268,965,70,1038,399,22,419,113,10,119,5211,4261,9470
207011152,..,1796,1796,1788,373,2164,735,121,858,793,42,835,319,5,323,77,9,84,3713,2350,6059
207011153,..,2086,2086,2480,333,2812,1360,129,1489,1417,56,1471,629,20,649,200,14,212,6086,2630,8715
207011154,..,452,452,589,53,639,370,20,390,519,9,534,163,8,166,52,0,55,1697,545,2240
207011155,..,1151,1151,1574,79,1656,838,30,866,1171,16,1181,523,3,523,128,5,131,4231,1278,5511
207021156,..,827,827,1282,60,1340,679,23,699,746,13,755,272,5,277,90,3,98,3071,921,3992
207021157,..,1835,1835,2514,172,2685,1330,79,1409,1180,27,1214,444,7,457,203,4,209,5674,2138,7817
207021159,..,850,850,1704,57,1763,965,10,974,1149,3,1157,495,0,495,209,0,209,4519,921,5447
207021160,..,904,904,1507,54,1557,895,22,914,895,4,900,360,3,362,85,3,90,3747,990,4736
207021424,..,614,614,1365,38,1405,978,3,982,1102,7,1113,451,3,455,175,0,176,4074,666,4741
207021425,..,1145,1145,1556,103,1661,941,21,960,872,11,883,323,7,322,126,0,129,3813,1288,5103
207031161,..,1757,1757,2130,182,2309,1173,69,1239,1503,29,1529,564,11,577,192,4,200,5555,2051,7612
207031162,..,929,929,1011,67,1074,621,33,655,750,17,764,282,0,286,85,0,92,2751,1052,3803
207031163,..,2126,2126,1852,404,2257,1137,164,1301,1084,78,1161,399,33,434,159,29,186,4624,2834,7459
207031164,..,1400,1400,1674,160,1830,1150,100,1251,1187,34,1225,409,19,428,151,11,162,4582,1721,6304
207031165,..,1237,1237,987,170,1155,602,153,753,571,123,692,217,76,294,96,65,162,2467,1825,4290
207031166,..,710,710,1059,96,1154,641,67,708,670,42,718,205,19,226,107,11,119,2686,947,3632
207031167,..,827,827,976,83,1053,612,31,639,669,13,683,288,5,289,59,0,66,2607,956,3561
208011168,..,976,976,1486,44,1521,657,7,666,1067,0,1071,394,0,394,95,0,95,3693,1022,4721
208011169,..,2108,2108,2648,158,2810,1198,32,1225,1398,6,1404,586,0,586,155,0,155,5987,2306,8290
208011170,..,1179,1179,1514,63,1580,917,20,936,1240,11,1248,400,3,403,107,0,110,4181,1274,5455
208011171,..,1081,1081,1146,103,1251,656,16,672,771,0,769,259,3,259,56,0,56,2887,1200,4088
208011172,..,1617,1617,1751,130,1880,920,14,935,1325,5,1326,511,4,515,101,0,107,4601,1776,6376
208011173,..,1594,1594,1915,110,2024,889,8,888,1076,3,1077,428,0,428,80,0,80,4385,1719,6100
208021174,..,1939,1939,1956,175,2135,1311,55,1362,1760,19,1781,589,13,603,147,7,153,5773,2208,7979
208021176,..,2246,2246,1987,380,2371,1043,141,1189,980,67,1050,286,17,309,84,12,96,4387,2865,7255
208021177,..,2041,2041,2184,371,2561,1005,162,1170,927,62,991,504,16,516,302,11,319,4920,2671,7590
208021178,..,1556,1556,1859,186,2049,931,61,988,1161,40,1193,431,11,449,104,8,107,4484,1860,6344
208021179,..,1393,1393,1286,190,1479,565,51,622,667,14,681,221,5,227,77,3,79,2820,1660,4473
208021180,..,656,656,725,105,827,497,47,537,502,20,518,154,7,168,53,8,64,1928,836,2767
208021181,..,1024,1024,987,131,1116,569,45,610,578,20,601,190,5,196,51,3,56,2375,1226,3602
208021182,..,1512,1512,1367,220,1587,838,111,952,790,35,824,245,13,262,87,11,97,3332,1907,5237
208021426,..,994,994,1387,88,1469,904,23,926,1211,10,1219,389,7,396,99,0,100,3987,1112,5108
208021427,..,1009,1009,1338,78,1419,853,25,876,976,3,983,340,0,340,99,0,96,3596,1121,4716
208031183,..,328,328,661,32,692,537,0,539,808,0,810,298,0,298,108,0,108,2409,365,2777
208031184,..,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,13
208031185,..,1220,1220,1437,107,1543,718,21,742,674,0,674,227,3,229,69,3,73,3133,1346,4481
208031186,..,2030,2030,1783,191,1975,866,12,882,722,8,726,204,4,207,57,0,55,3640,2249,5885
208031187,..,411,411,553,39,588,339,0,348,403,0,403,131,0,131,40,0,40,1466,450,1920
208031188,..,2475,2475,2566,220,2789,1451,31,1483,1375,4,1378,428,4,434,121,3,123,5940,2743,8682
208031189,..,1113,1113,1369,82,1450,724,19,743,848,8,850,336,3,334,74,0,79,3352,1219,4575
208031190,..,1682,1682,1635,123,1761,732,10,750,738,10,741,248,0,253,77,0,81,3437,1828,5266
208031191,..,714,714,903,78,979,553,18,568,579,10,589,201,0,204,72,0,72,2307,817,3125
208031192,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208031193,..,2120,2120,2131,157,2286,1085,19,1103,1358,7,1368,510,6,516,111,0,111,5194,2308,7504
208041194,..,2319,2319,2264,295,2554,999,99,1095,1143,26,1170,500,3,503,121,5,127,5025,2739,7761
208041195,..,1813,1813,2018,304,2326,1063,155,1217,1430,65,1490,597,42,642,135,21,154,5248,2398,7646
209011196,..,623,623,1028,73,1095,624,52,672,604,29,628,240,21,261,91,4,101,2590,797,3383
209011197,..,1537,1537,2279,94,2378,1285,24,1310,1460,7,1459,501,3,506,152,0,150,5674,1663,7338
209011198,..,1509,1509,1628,133,1761,864,31,895,948,17,960,323,4,329,85,0,84,3841,1702,5535
209011199,..,1584,1584,1427,224,1648,818,68,883,634,35,667,249,6,258,180,5,179,3300,1921,5227
209011200,..,1146,1146,1224,125,1344,665,43,701,784,21,803,255,0,255,71,0,71,2994,1328,4321
209011201,..,524,524,818,36,852,421,7,427,554,0,559,260,0,260,57,0,57,2107,568,2672
209011202,..,1423,1423,1952,109,2063,921,24,943,1048,3,1053,407,0,407,94,0,95,4419,1555,5978
209011203,..,1445,1445,1993,111,2105,1129,34,1160,1294,3,1298,419,3,425,143,3,146,4977,1601,6575
209011204,..,790,790,1060,58,1118,597,11,609,623,3,630,171,5,174,71,0,70,2527,873,3405
209021205,..,656,656,827,145,974,510,103,611,597,50,650,231,36,268,129,32,165,2300,1025,3326
209021207,..,3262,3262,2871,395,3264,1580,130,1711,1260,56,1319,496,17,513,274,27,299,6481,3888,10370
209021208,..,2249,2249,2562,267,2830,1426,78,1508,1327,26,1356,526,11,544,276,17,291,6116,2659,8777
209021428,..,2097,2097,2092,415,2511,1079,183,1263,965,76,1039,344,12,358,184,19,198,4667,2802,7469
209021429,..,1122,1122,1218,192,1411,712,88,797,772,35,814,249,7,258,113,3,115,3067,1454,4517
209031209,..,1200,1200,2233,77,2307,1336,11,1348,1886,4,1884,710,0,710,170,0,171,6335,1289,7628
209031210,..,197,197,324,16,337,209,0,209,256,0,257,108,0,108,41,0,41,945,216,1155
209031211,..,269,269,430,20,452,220,3,222,224,0,224,88,0,85,54,0,54,1010,292,1300
209031212,..,252,252,504,24,527,287,4,287,321,0,321,156,0,156,74,0,74,1342,282,1628
209031213,..,336,336,797,24,820,532,0,538,761,0,760,333,0,336,105,0,105,2527,366,2895
209031214,..,263,263,636,17,651,377,3,380,499,0,497,234,0,234,76,0,76,1812,284,2100
209031215,..,590,590,1227,48,1275,808,4,813,1081,0,1080,466,0,466,137,0,137,3719,645,4361
209041216,..,502,502,604,120,720,388,53,441,502,46,548,188,8,198,81,7,89,1759,739,2502
209041217,..,537,537,690,68,757,373,45,421,338,29,365,97,14,115,68,13,80,1565,709,2272
209041219,..,1403,1403,2252,116,2371,1362,32,1391,1255,23,1274,614,10,622,466,8,472,5946,1585,7534
209041220,..,924,924,1482,81,1561,1115,17,1135,1352,12,1359,573,4,580,204,0,207,4725,1037,5769
209041221,..,585,585,1111,68,1174,776,24,805,799,13,814,307,6,311,190,3,189,3183,701,3888
209041223,..,1403,1403,2110,111,2225,1280,26,1313,1061,22,1083,545,3,554,392,3,404,5393,1580,6975
209041224,..,768,768,1452,83,1537,930,5,938,1056,0,1060,488,0,488,266,0,266,4189,861,5055
209041225,..,568,568,829,48,881,406,7,416,492,0,494,254,0,253,102,0,102,2088,625,2713
209041430,..,845,845,1687,92,1777,1300,17,1316,1683,3,1690,730,0,733,243,0,243,5641,955,6600
209041431,..,697,697,1016,62,1080,787,13,798,883,8,887,390,5,400,253,0,255,3332,788,4116
209041432,..,552,552,805,57,865,530,9,540,515,3,515,204,8,214,124,0,125,2186,630,2812
209041433,..,383,383,619,59,672,692,15,706,853,6,857,367,0,366,201,0,201,2724,464,3192
209041434,..,743,743,1347,96,1445,1176,13,1189,1214,4,1214,473,0,472,181,0,181,4392,860,5246
209041435,..,361,361,759,31,782,728,4,734,1064,6,1072,447,0,446,164,0,164,3151,400,3557
209041436,..,633,633,955,59,1018,752,9,763,926,7,929,330,0,330,161,0,161,3128,700,3829
209041437,..,294,294,644,44,694,634,7,641,594,4,604,269,3,271,177,0,177,2327,350,2677
210011226,..,851,851,979,70,1055,494,10,506,398,4,401,146,8,148,38,0,38,2060,945,3005
210011227,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210011228,..,603,603,983,30,1012,487,3,493,568,0,567,229,0,229,90,0,90,2352,645,2997
210011229,..,1809,1809,2987,153,3144,1647,39,1688,1670,7,1679,643,5,642,236,0,242,7188,2020,9202
210011230,..,646,646,707,42,751,406,15,425,505,4,506,189,0,189,54,0,54,1857,707,2564
210011231,..,590,590,878,50,920,515,10,528,737,4,741,287,3,285,92,0,92,2507,654,3159
210021232,..,706,706,1306,35,1337,670,4,682,917,0,923,421,0,421,127,0,127,3450,743,4192
210021233,..,208,208,419,15,432,159,3,161,216,0,216,91,0,91,43,0,43,921,228,1147
210021234,..,219,219,435,23,456,212,3,216,287,3,293,121,0,121,47,0,47,1099,243,1338
210021235,..,581,581,1048,67,1113,491,3,492,575,0,575,255,0,255,121,0,121,2492,652,3140
210031236,..,666,666,794,100,897,453,43,491,445,15,460,137,6,143,59,11,71,1883,850,2733
210031237,..,1025,1025,1090,76,1170,695,34,726,732,21,752,381,16,397,329,18,342,3230,1191,4423
210031239,..,2415,2415,2526,266,2791,1436,80,1514,1371,26,1402,489,8,499,173,7,180,5994,2804,8804
210031438,..,2030,2030,2108,235,2337,1294,80,1373,1117,35,1150,487,28,519,348,26,375,5358,2426,7783
210031439,..,220,220,298,15,307,183,0,180,218,0,216,69,0,69,25,0,29,783,242,1022
210031440,..,575,575,620,30,652,342,3,348,283,4,288,127,0,125,102,3,100,1474,622,2094
210041240,..,673,673,1235,56,1293,738,6,744,869,3,871,402,0,402,159,0,159,3406,742,4142
210041241,..,2162,2162,2805,202,3008,1689,20,1716,1654,5,1664,688,0,688,260,0,260,7101,2395,9501
210051242,..,1040,1040,887,119,997,686,42,731,575,41,618,363,20,380,344,8,348,2847,1266,4115
210051243,..,936,936,1126,82,1202,721,31,750,757,8,770,518,8,522,562,10,573,3680,1072,4749
210051245,..,1215,1215,1899,99,1998,1070,16,1080,1109,3,1114,439,0,441,238,3,239,4755,1335,6088
210051246,..,363,363,1140,32,1172,949,10,958,1280,3,1280,604,0,604,306,0,309,4282,407,4687
