SA2_MAINCODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
104021085,681,72,33,11,0,0,8,803
104021086,389,44,21,5,0,0,0,458
104021087,234,25,7,4,0,0,4,266
104021088,924,65,41,7,0,4,4,1043
104021089,1688,168,110,29,9,0,12,2022
104021090,327,41,21,6,0,0,0,390
104021091,1044,90,58,17,3,0,14,1231
105011092,250,13,10,9,0,0,13,305
105011093,384,33,42,4,0,0,3,466
105011094,270,15,15,7,0,3,9,325
105011095,387,26,35,3,0,0,4,461
105011096,367,23,17,20,8,0,17,446
105021097,1211,122,108,12,8,0,14,1484
105021098,183,15,5,3,0,0,4,208
105031099,574,39,30,5,0,0,6,660
105031100,894,63,53,18,3,0,8,1045
105031101,1493,118,84,14,3,4,18,1732
105031102,752,70,65,11,3,0,15,916
105031103,632,40,20,13,0,3,3,718
105031104,317,28,17,11,0,0,5,385
105031105,534,29,27,3,0,3,10,615
105031106,601,41,36,16,0,0,11,708
106011107,1099,109,61,15,3,0,4,1295
106011108,1665,173,132,27,9,3,28,2037
106011109,769,67,48,23,0,0,12,915
106011110,864,52,59,18,5,0,13,1007
106011111,1523,178,134,38,13,6,34,1931
106011112,1675,155,102,18,3,0,8,1951
106011113,538,36,24,4,0,0,9,614
106021114,597,73,49,8,3,0,9,737
106021115,2714,239,168,27,8,3,17,3180
106021116,963,58,35,6,0,0,5,1076
106021117,2271,219,179,31,3,3,18,2723
106021118,1278,110,90,13,3,3,10,1506
106031119,527,54,28,13,0,0,9,626
106031120,495,53,42,11,3,0,15,610
106031121,1592,140,91,16,0,0,9,1853
106031122,1056,146,106,21,3,0,18,1358
106031123,702,49,27,14,3,0,10,809
106031124,258,26,14,3,0,0,3,306
106031125,1493,107,67,17,5,0,9,1703
106041126,1067,99,79,13,0,0,18,1275
106041127,408,25,26,3,0,0,0,464
106041128,559,44,23,10,0,0,3,642
106041129,737,53,38,12,3,0,7,847
107011131,2267,259,165,28,5,0,26,2755
107011132,1130,94,73,12,0,0,5,1315
107011133,0,0,0,0,0,0,0,0
107011134,1890,126,77,16,3,0,15,2129
107011545,1333,99,75,17,0,3,14,1544
107011546,805,67,35,7,3,0,3,924
107011547,356,36,12,9,0,0,0,416
107021135,0,0,0,0,0,0,0,0
107031136,1750,157,112,29,5,0,17,2076
107031137,595,59,54,13,4,0,11,737
107031138,695,53,37,5,0,0,5,800
107031139,716,45,36,4,0,0,3,806
107031140,799,54,32,10,0,0,6,903
107031141,2184,171,103,23,3,0,21,2503
107031142,1025,87,45,16,7,0,10,1197
107031143,1636,200,129,38,5,4,21,2027
107041144,2206,126,76,18,0,0,6,2434
107041145,1469,111,56,13,6,3,17,1672
107041146,2376,119,83,20,0,0,10,2600
107041147,1263,75,42,18,0,0,3,1397
107041148,1412,87,44,9,0,0,9,1559
107041150,2389,136,89,16,3,4,3,2634
107041548,614,61,18,0,0,0,3,700
107041549,1477,85,38,13,0,0,7,1618
108011151,394,29,29,7,0,0,5,469
108011152,834,94,47,10,0,0,15,1002
108011153,457,47,23,15,0,0,5,547
108011154,274,37,15,8,0,0,5,343
108021155,904,100,76,24,5,4,21,1130
108021156,665,52,43,13,0,0,10,789
108021157,340,26,26,6,0,0,3,401
108021158,334,44,25,12,0,0,3,415
108021159,602,56,44,12,3,0,6,720
108021160,324,25,20,5,0,0,4,376
108031161,30,3,0,0,0,0,0,35
108041162,1204,106,59,20,4,0,15,1411
108041163,2356,217,121,28,5,0,14,2744
108041164,1109,124,83,16,0,0,9,1345
108041165,476,46,27,7,0,0,3,559
108041166,934,99,73,16,3,0,10,1129
108051167,371,30,17,3,0,3,4,427
108051168,836,69,55,7,0,0,11,982
108051169,1354,149,118,35,3,7,30,1693
108051170,886,91,42,17,5,0,26,1079
108051171,415,37,24,6,3,0,5,498
109011172,1614,101,58,11,0,0,8,1797
109011173,794,82,49,7,0,0,8,946
109011174,797,60,34,4,0,0,0,893
109011175,1186,70,60,20,5,0,17,1351
109011176,1084,111,77,16,3,0,12,1303
109021177,240,17,7,3,0,0,9,272
109021178,500,44,27,7,0,0,7,588
109021179,324,20,20,0,0,0,4,362
109031180,396,39,32,6,0,0,8,480
109031181,546,34,42,9,3,0,3,638
109031182,541,39,33,10,0,0,7,630
109031183,569,37,34,5,0,0,11,653
109031184,529,35,15,4,0,0,3,583
109031185,742,54,41,6,0,0,10,850
110011186,1778,131,86,23,0,4,21,2039
110011187,428,33,17,5,0,0,3,483
110011188,557,37,33,3,0,0,6,631
110011189,296,15,6,3,0,0,3,324
110021190,610,50,36,9,0,0,8,716
110021191,879,97,64,18,0,3,4,1063
110021192,414,35,31,9,3,0,15,503
110021193,472,41,32,3,0,0,3,558
110021194,412,25,31,4,3,3,8,483
110031195,606,43,35,12,3,3,14,714
110031196,496,29,22,10,0,0,12,559
110031197,645,39,32,6,0,0,12,736
110031198,445,13,29,3,0,0,3,493
110041199,837,76,49,7,0,0,6,979
110041200,380,15,17,6,0,0,5,422
110041201,616,47,35,8,0,0,6,716
110041202,1690,181,112,21,4,3,15,2022
110041203,1193,97,58,14,0,3,6,1384
110041204,369,45,40,17,3,3,6,482
110041205,1780,139,87,24,5,3,20,2062
111011206,1857,167,74,27,0,0,15,2148
111011207,456,49,28,3,8,0,0,545
111011208,2501,194,99,25,3,3,13,2839
111011209,2538,203,131,35,6,4,18,2939
111011210,702,91,63,17,0,0,7,885
111011211,406,19,3,0,0,0,0,437
111011212,1084,107,43,17,3,0,9,1262
111011213,1498,108,59,6,0,0,8,1688
111011214,1277,127,60,20,0,0,6,1497
111021215,710,65,57,13,4,0,4,851
111021216,768,95,54,10,4,4,8,943
111021217,1699,140,109,23,4,3,10,1996
111021218,1296,131,84,26,3,3,15,1549
111021219,1109,128,73,23,3,4,22,1354
111021220,843,103,44,5,3,0,13,1007
111021221,692,91,48,13,0,0,10,851
111031222,1841,97,63,10,3,0,9,2021
111031223,656,72,61,16,3,0,13,821
111031224,995,65,33,10,0,0,6,1107
111031225,1809,112,68,14,3,0,3,2016
111031226,1756,144,108,28,3,3,10,2057
111031227,1129,107,59,17,0,0,17,1324
111031228,1471,94,46,7,0,0,0,1622
111031229,636,38,18,0,0,0,3,689
111031230,0,0,0,0,0,0,0,0
111031231,682,65,36,10,0,0,11,803
111031232,580,71,22,6,0,0,6,683
111031233,1821,159,92,20,0,3,15,2109
111031234,947,78,40,5,4,0,3,1073
111031235,524,61,17,10,0,0,0,605
112011236,1067,91,48,17,3,3,9,1233
112011237,1642,121,73,21,4,0,14,1878
112011238,552,32,19,7,0,0,3,618
112011239,643,53,32,5,0,0,7,743
112011240,654,45,13,3,0,0,3,726
112011241,366,55,19,3,3,0,4,454
112011242,870,62,33,0,0,0,3,969
112011243,664,45,33,9,0,0,9,757
112021244,903,106,77,21,4,0,25,1132
112021245,554,41,42,13,0,0,13,670
112021246,1066,81,56,16,3,0,11,1231
112021247,505,51,24,13,0,0,3,596
112021248,995,113,67,18,3,0,10,1205
112021249,1414,119,62,17,3,0,15,1629
112031250,1208,86,47,13,5,0,6,1362
112031251,698,64,52,6,0,3,8,828
112031252,838,72,31,12,0,0,17,966
112031253,1292,97,71,4,3,0,15,1485
112031254,1315,143,69,19,4,0,15,1561
112031550,1297,129,80,18,0,0,6,1532
112031551,420,29,19,0,0,0,5,470
112031552,446,45,31,7,0,0,3,543
113011256,1914,102,65,26,0,3,23,2138
113011257,1320,77,61,16,0,0,15,1494
113011258,883,48,59,6,5,0,10,1016
113011259,492,31,30,6,3,0,5,568
113021260,234,29,15,4,0,0,3,290
113021261,514,33,32,5,0,0,4,594
113021262,434,33,27,3,0,0,3,497
113031263,562,41,33,10,3,0,17,664
113031264,320,17,22,3,0,0,3,372
113031265,455,36,26,9,0,0,12,541
113031266,593,44,20,5,0,0,9,675
113031267,1661,106,105,16,0,4,11,1905
113031268,434,29,19,5,0,0,0,480
113031269,2110,163,128,22,7,0,16,2438
113031270,751,61,38,8,0,0,3,864
113031271,1467,93,76,10,3,0,17,1670
114011272,704,51,18,8,0,0,12,794
114011273,280,25,17,3,0,0,3,333
114011274,334,30,24,4,0,0,5,404
114011275,0,0,0,0,0,0,0,0
114011276,319,25,8,0,0,0,3,357
114011277,1332,164,75,19,0,0,19,1609
114011278,1434,179,126,36,5,10,29,1819
114011279,945,114,79,17,3,3,20,1185
114011280,236,30,11,4,0,0,7,291
114011281,338,24,15,6,0,0,4,387
114011282,1095,110,73,20,4,3,14,1309
114011283,358,36,17,11,0,0,9,431
114021284,1135,64,23,8,0,5,7,1241
114021285,663,70,51,9,0,0,10,803
114021286,813,74,39,8,0,0,3,932
114021287,832,79,59,9,0,0,5,985
114021288,326,24,15,3,0,0,0,372
114021289,554,46,30,3,0,3,0,641
115011290,3380,142,57,41,0,0,8,3631
115011291,3260,122,74,28,4,0,0,3489
115011294,874,44,20,9,0,0,0,945
115011296,2063,80,30,33,0,0,3,2216
115011553,1079,65,29,9,3,0,3,1185
115011554,743,17,8,12,0,0,3,787
115011555,1794,78,38,27,4,0,0,1939
115011556,1401,59,32,14,3,0,5,1516
115011557,878,38,20,11,0,0,0,945
115011558,3102,122,38,39,0,0,3,3301
115011559,3828,180,109,42,10,3,3,4171
115021297,2782,149,94,32,4,0,6,3072
115021298,656,42,21,8,0,0,3,726
115031299,238,18,16,3,0,0,3,274
115031300,2746,189,150,46,3,0,17,3145
115041301,1396,87,76,22,0,0,10,1592
115041302,3716,191,141,46,3,7,5,4109
116011303,2052,103,68,27,0,0,6,2255
116011304,2115,114,96,54,7,0,11,2401
116011306,3037,154,102,87,5,3,15,3393
116011307,3077,193,107,49,6,4,15,3448
116011308,3141,160,86,66,7,3,8,3473
116011560,1573,88,48,31,0,0,10,1759
116011561,2014,111,80,36,0,3,12,2258
116021309,2710,114,67,54,3,0,10,2956
116021310,5267,284,148,81,4,3,14,5801
116021312,2231,135,85,33,3,4,6,2504
116021562,629,33,11,11,0,0,0,686
116021563,3440,199,95,66,3,3,11,3812
116031313,1517,107,130,64,14,0,17,1856
116031314,1222,39,37,28,3,0,3,1337
116031315,2910,156,127,87,3,3,14,3308
116031316,1857,153,129,71,5,7,28,2255
116031317,2578,133,100,67,4,0,12,2900
116031318,0,0,0,0,0,0,0,0
116031319,2823,147,99,65,3,0,6,3141
117011320,0,0,0,0,0,0,0,0
117011321,1361,73,40,15,0,0,7,1497
117011322,2540,112,71,51,0,3,8,2780
117011323,1231,76,47,15,0,0,6,1377
117011324,0,0,0,0,0,0,0,3
117011325,0,0,0,0,0,0,0,0
117021326,2328,137,46,28,0,3,10,2553
117021327,1650,91,28,20,0,0,5,1797
117021328,715,43,12,15,0,0,10,792
117031329,317,35,3,0,0,0,0,356
117031330,1051,65,16,6,0,0,0,1138
117031331,1038,91,17,7,0,0,0,1157
117031332,1278,84,22,10,0,0,6,1396
117031333,426,36,9,4,0,0,0,480
117031334,989,66,15,5,0,0,3,1081
117031335,710,49,10,4,0,0,9,779
117031336,499,34,7,3,0,0,0,545
117031337,835,60,11,7,0,0,6,930
117031338,1770,115,31,14,0,0,5,1932
118011339,1698,90,22,7,0,0,3,1814
118011340,1764,77,35,8,0,0,0,1889
118011341,1441,79,25,10,0,0,5,1559
118011342,0,0,0,0,0,0,0,0
118011343,2163,115,42,9,0,0,4,2334
118011344,1387,70,36,8,0,0,0,1494
118011345,1178,69,23,0,0,0,0,1271
118011346,1503,72,22,7,0,0,0,1602
118011347,707,38,6,0,0,0,0,750
118021348,2570,118,36,16,0,0,3,2744
118021350,2643,147,93,28,0,0,17,2924
118021564,900,49,17,10,0,0,3,976
118021565,1284,51,18,15,0,0,4,1370
118021566,1153,46,15,11,3,0,0,1230
118021567,1052,58,18,11,0,0,4,1144
118021568,1113,35,18,4,0,0,7,1184
118021569,1632,73,22,5,0,0,0,1737
118021570,1176,60,31,8,0,0,7,1279
119011354,2655,110,66,38,6,7,17,2890
119011355,121,3,4,3,0,0,0,127
119011356,1455,56,32,38,3,0,3,1588
119011357,3352,135,83,50,3,0,9,3636
119011358,2021,94,64,41,3,0,8,2234
119011359,3429,169,124,46,3,0,14,3786
119011360,1962,111,62,40,0,0,9,2186
119011361,2492,112,68,60,3,3,16,2745
119011571,1909,90,45,40,3,0,5,2101
119011572,1761,83,52,58,0,0,10,1959
119021362,2271,108,54,30,3,0,3,2474
119021363,3352,190,81,60,4,3,7,3706
119021364,3090,119,71,46,0,0,4,3331
119021366,2613,84,62,53,4,0,13,2832
119021367,1803,79,42,25,0,0,3,1957
119021573,2252,45,40,41,3,0,8,2383
119021574,1310,54,19,24,0,0,4,1410
119031368,2533,125,46,62,3,4,20,2792
119031369,2966,124,47,37,3,4,4,3186
119031370,1723,83,31,29,0,0,8,1876
119031371,1788,71,38,20,0,0,0,1915
119031372,2353,96,76,39,0,0,5,2572
119031373,1135,61,34,25,0,0,3,1263
119031374,2979,119,50,51,5,0,3,3211
119041375,1975,98,27,30,0,0,6,2145
119041376,3300,113,72,37,0,0,7,3528
119041377,1645,54,32,24,3,3,0,1764
119041378,1309,42,33,32,0,0,7,1417
119041379,1925,97,45,28,0,0,11,2106
119041380,1452,80,39,16,0,0,3,1586
119041381,2039,91,30,38,4,0,8,2211
119041382,1707,124,44,16,3,3,4,1891
120011383,2785,107,31,12,0,0,8,2954
120011384,2664,105,29,20,0,0,7,2821
120011385,2107,105,36,12,0,0,6,2264
120011386,2364,121,41,10,3,0,9,2550
120021387,1647,86,30,3,0,0,3,1774
120021388,2812,168,58,10,3,0,3,3052
120021389,1515,83,21,8,0,0,3,1621
120031390,2265,95,39,27,0,0,3,2432
120031391,2373,98,37,44,0,3,3,2560
120031392,1277,52,23,15,0,0,3,1368
120031393,2157,102,45,26,3,0,10,2339
120031394,1592,81,23,20,0,0,3,1716
120031395,1570,61,22,14,0,0,7,1674
120031396,1781,71,23,36,4,0,7,1922
120031575,2728,93,34,37,0,0,4,2902
120031576,496,18,9,4,0,0,0,527
121011398,3395,112,32,34,0,0,18,3594
121011399,2558,95,45,15,0,0,3,2722
121011400,3449,155,49,19,0,0,4,3676
121011401,1005,49,9,10,0,0,0,1079
121011402,3805,134,72,22,0,0,4,4042
121021403,2738,139,69,26,3,0,15,2988
121021404,1754,92,49,11,3,0,0,1915
121021406,2747,103,56,18,0,0,3,2930
121021577,1438,51,14,23,3,0,3,1526
121021578,1468,48,22,18,0,0,0,1563
121021579,1288,45,17,3,0,0,3,1359
121031407,3097,132,54,38,0,0,9,3327
121031408,3458,128,52,26,0,3,0,3670
121031409,2667,79,30,15,0,0,7,2791
121031410,3153,130,49,31,0,0,4,3366
121031411,2713,106,44,23,0,0,0,2888
121031412,2578,86,35,15,3,0,3,2727
121041413,1857,105,35,3,0,0,3,2019
121041414,1546,90,26,6,0,0,0,1673
121041415,3309,143,46,10,0,0,4,3511
121041416,1226,91,17,0,0,0,5,1345
121041417,716,44,15,0,0,0,0,777
122011418,2997,127,51,16,0,0,3,3195
122011419,1950,117,33,7,0,0,3,2120
122021420,1483,94,40,12,0,0,8,1633
122021421,1359,72,35,18,5,0,3,1486
122021422,1679,116,71,14,0,0,7,1886
122021423,3069,201,92,27,5,0,3,3406
122031424,1882,95,53,20,0,0,7,2059
122031425,1032,62,33,10,0,0,0,1132
122031426,2691,163,57,15,3,0,9,2939
122031427,1904,83,31,9,3,0,0,2040
122031428,3734,186,85,26,5,0,12,4041
122031429,2457,119,54,9,0,0,3,2649
122031430,2371,97,48,17,3,0,13,2543
122031431,2821,183,65,27,0,0,6,3105
122031432,509,22,10,7,0,0,0,553
123011433,1550,96,81,15,0,0,13,1752
123011434,2842,221,146,36,6,3,21,3282
123011435,3840,320,245,46,12,4,22,4488
123021436,1816,158,132,42,6,3,22,2187
123021437,1784,120,84,44,4,0,19,2056
123021438,2291,182,136,57,6,4,8,2689
123021439,0,0,0,0,0,0,0,0
123021440,2478,139,84,51,7,3,7,2768
123021441,1729,135,100,48,8,0,27,2056
123021442,2864,158,100,59,0,7,16,3198
123021443,2526,172,116,67,5,5,15,2904
123021444,2224,197,148,56,8,3,18,2666
123031445,634,68,45,7,0,0,3,759
123031446,1289,71,71,18,0,0,12,1456
123031447,1876,159,140,42,0,3,12,2229
123031448,1155,68,58,18,0,3,14,1308
124011449,404,44,16,3,0,0,3,474
124011450,2371,188,92,22,3,0,5,2683
124011451,0,0,0,0,0,0,0,0
124011452,908,91,52,14,0,0,6,1064
124011453,1208,104,75,14,3,0,7,1403
124011454,2507,213,122,22,0,0,22,2891
124011455,554,41,19,8,0,0,4,627
124021456,0,0,0,0,0,0,0,0
124031457,1633,162,128,34,3,3,20,1985
124031458,2893,228,170,41,7,8,27,3371
124031459,1648,142,109,22,3,4,12,1940
124031460,2986,242,148,35,5,4,15,3432
124031461,1748,150,115,22,3,4,10,2057
124031462,2008,142,91,39,12,0,20,2309
124031463,1272,73,63,14,0,0,3,1426
124031464,946,102,57,15,3,0,15,1125
124031465,683,58,38,11,6,0,4,794
124041466,1133,142,94,15,0,0,10,1406
124041467,1553,180,103,30,7,3,10,1891
124041468,761,73,42,8,0,3,6,895
124051469,940,62,39,19,3,0,3,1069
124051470,2558,174,128,51,10,3,21,2938
124051580,1137,116,66,26,3,0,9,1354
124051581,1251,136,83,35,5,0,14,1525
125011473,1889,75,31,10,0,0,6,2007
125011475,0,0,0,0,0,0,0,0
125011582,1882,70,36,59,0,3,6,2062
125011583,1122,36,12,26,0,0,3,1197
125011584,1094,21,27,17,0,3,3,1173
125011585,1101,54,30,31,9,3,10,1231
125011586,2325,112,40,44,7,0,11,2531
125011587,657,19,12,14,0,0,6,702
125021476,4165,153,59,60,4,0,7,4456
125021477,2814,131,55,38,0,0,8,3050
125021478,2324,102,40,32,0,0,3,2507
125031479,2161,95,65,55,0,0,10,2386
125031480,1645,63,49,46,3,4,5,1820
125031481,2417,95,62,44,0,3,9,2630
125031482,3660,160,95,55,3,0,12,3985
125031483,2491,91,50,49,3,6,12,2700
125031484,2348,108,81,38,5,5,4,2593
125031485,3447,139,81,63,3,3,3,3749
125031486,0,0,0,0,0,0,0,0
125031487,3,0,0,0,0,0,0,3
125041489,2301,110,34,24,3,0,7,2481
125041490,1192,51,31,7,0,0,3,1280
125041491,2697,91,33,24,0,0,5,2846
125041492,3385,90,28,38,0,5,9,3559
125041493,2806,130,52,48,6,0,7,3046
125041494,1575,79,36,16,0,0,3,1712
125041588,1866,66,23,28,0,0,4,1995
125041589,2316,49,17,34,0,0,3,2420
126011495,3911,121,43,47,6,0,7,4143
126011496,3045,129,49,37,0,0,0,3265
126021497,3381,115,42,48,3,3,11,3600
126021498,1776,67,21,8,0,0,3,1877
126021499,1271,49,23,5,0,0,0,1348
126021500,1995,83,25,26,6,0,3,2131
126021501,1722,76,39,17,0,0,3,1854
126021503,2236,81,36,20,0,0,8,2384
126021590,641,18,13,3,0,0,0,677
126021591,3306,142,62,33,4,0,7,3557
127011504,1499,98,85,62,6,3,18,1779
127011505,1010,59,30,26,0,6,7,1132
127011506,2379,150,94,24,3,0,3,2659
127011592,3,0,0,0,0,0,0,3
127011593,1102,38,27,18,0,0,6,1181
127011594,1694,87,66,30,3,3,8,1889
127011595,1837,66,59,26,3,3,10,2005
127011596,1830,81,46,32,3,0,3,1994
127011597,2359,90,84,43,3,0,3,2580
127021509,2033,80,55,65,9,3,14,2253
127021510,2749,107,57,43,3,0,11,2972
127021511,2379,198,95,78,12,0,13,2774
127021512,1845,111,86,73,4,3,19,2142
127021513,2295,134,74,84,4,4,8,2611
127021514,1407,66,26,13,0,0,4,1520
127021515,2054,89,39,46,4,0,7,2234
127021516,2300,99,77,70,3,7,10,2568
127021517,1148,30,14,21,3,3,5,1224
127021518,581,14,6,10,0,0,0,620
127021519,2203,84,54,44,4,3,13,2399
127021520,1408,50,34,25,3,0,10,1528
127021521,0,0,0,0,0,0,0,0
127031522,2078,100,81,30,3,3,6,2303
127031523,2579,130,86,34,4,7,3,2832
127031524,3081,153,102,24,0,0,8,3367
127031598,2961,125,70,46,0,3,14,3219
127031599,1235,52,37,31,0,0,13,1367
127031600,2771,104,105,56,3,3,6,3056
127031601,492,29,23,10,0,3,3,558
128011529,2374,155,71,13,0,0,6,2626
128011530,2146,116,70,11,0,0,3,2350
128011531,1925,115,61,21,0,0,6,2127
128011602,1202,80,37,10,0,0,3,1327
128011603,1733,77,42,12,0,0,4,1867
128011604,2136,169,72,9,0,0,4,2391
128011605,503,26,8,3,0,0,0,534
128011606,1072,56,28,6,0,0,6,1166
128021533,865,48,24,11,0,0,7,954
128021534,1641,68,31,18,3,0,3,1770
128021535,3096,188,104,28,0,0,8,3416
128021536,3138,145,78,30,0,0,4,3398
128021537,3,0,0,0,0,0,0,3
128021538,2243,166,64,10,0,3,7,2494
128021607,2354,136,100,12,0,0,7,2606
128021608,1073,52,29,10,0,0,3,1161
128021609,618,30,11,3,0,0,0,660
197979799,0,0,0,0,0,0,0,0
199999499,0,0,0,0,0,0,0,0
201011001,1385,94,63,10,0,0,5,1553
201011002,1026,77,33,3,0,0,0,1139
201011003,2160,153,83,16,3,0,9,2415
201011004,1770,171,122,20,3,0,17,2105
201011005,798,45,29,5,0,0,0,879
201011006,645,63,55,9,0,0,8,779
201011007,522,33,22,0,0,0,5,589
201011008,1154,116,87,15,3,3,10,1378
201021009,622,43,25,4,0,0,3,693
201021010,637,57,38,9,0,3,7,747
201021011,707,52,32,0,0,0,4,793
201021012,613,47,19,11,0,0,5,697
201031013,240,14,12,0,0,4,3,279
201031014,346,34,18,6,0,0,0,411
201031015,435,52,36,8,0,0,3,532
201031016,497,55,32,3,3,0,7,601
201031017,387,48,30,3,0,0,7,479
202011018,949,91,53,4,0,0,8,1114
202011019,854,90,91,12,3,0,14,1060
202011020,1076,75,56,6,0,0,8,1219
202011021,764,65,26,5,3,0,4,865
202011022,1547,151,107,9,4,0,8,1823
202011023,746,48,29,3,0,0,0,828
202011024,1170,77,36,4,0,0,6,1294
202011025,1193,119,75,19,3,3,11,1415
202021026,887,48,45,6,0,0,3,990
202021027,785,57,32,8,0,0,3,885
202021028,723,58,25,4,0,0,3,815
202021029,325,36,20,3,0,0,3,386
202021030,906,64,45,10,0,0,7,1026
202021031,829,51,24,3,3,0,3,915
202031032,435,54,21,5,0,0,9,523
202031033,529,34,20,5,0,0,4,586
203011034,874,52,26,0,3,0,4,957
203011035,828,58,42,9,3,0,3,942
203011036,637,52,20,5,0,0,0,707
203021037,1254,84,35,7,0,0,4,1392
203021038,1939,216,162,28,5,3,21,2371
203021039,1012,71,26,6,0,0,3,1121
203021040,1927,106,45,5,0,0,6,2088
203021041,2377,178,108,23,9,4,9,2707
203021042,2629,152,68,13,0,0,3,2864
203021043,1972,187,107,23,0,0,9,2303
203021044,1348,149,77,11,0,0,3,1591
203021045,1112,110,69,12,4,0,13,1318
203021046,1151,44,21,0,0,0,4,1227
203021047,1344,108,49,9,0,0,4,1512
203031048,1269,116,62,9,0,0,15,1468
203031049,404,29,14,0,0,0,0,452
203031050,2696,169,100,14,0,0,9,2985
203031051,454,41,14,6,3,0,4,524
203031052,310,20,6,0,0,0,3,339
203031053,2283,126,77,5,0,0,5,2499
204011054,451,39,29,7,0,0,0,526
204011055,432,32,21,0,0,0,3,493
204011056,1375,139,65,13,3,0,12,1617
204011057,691,54,22,5,3,0,4,777
204011058,323,35,16,0,0,0,0,377
204011059,435,44,19,8,0,0,8,513
204011060,459,35,37,3,0,0,0,535
204011061,13,0,0,0,0,0,0,14
204011062,258,28,17,0,0,0,3,312
204021063,685,73,41,7,0,0,0,809
204021064,305,29,14,11,0,0,9,366
204021065,339,27,16,3,0,0,7,396
204021066,1518,123,92,20,3,0,17,1769
204021067,981,71,45,10,0,0,13,1120
