SA2_MAINCODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
101041017,861,515,303,21,1708,524,63,2291,56,9,13,0,76,100,0,182,31,8,9,0,52,69,3,121,87,15,25,0,128,169,3,300,56,22,37,5,119,224,15,353,4,3,0,0,11,16,0,21,13,0,0,0,13,17,0,28,0,0,0,0,0,3,0,3,69,22,36,5,136,254,15,398,5,0,0,0,5,14,0,25,4,0,0,0,8,17,0,21,0,3,0,0,3,0,0,0,0,0,3,0,3,0,0,3,10,3,5,0,18,27,0,46,9,0,0,0,6,9,0,19,1026,561,371,28,1989,981,77,3055
101041018,1104,549,314,13,1976,630,65,2677,38,11,17,0,67,84,6,161,67,18,24,0,113,81,3,200,105,29,43,3,178,173,9,357,40,14,28,0,80,126,11,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,40,11,28,0,85,123,11,218,0,0,3,0,0,11,0,13,10,0,0,0,10,23,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,14,28,0,44,7,4,3,0,13,10,0,22,1265,592,387,17,2261,969,85,3314
101041019,896,803,326,18,2051,735,50,2833,28,4,8,0,41,138,7,182,11,0,7,0,19,33,0,54,35,7,18,0,59,173,7,239,13,5,7,0,33,80,4,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,7,0,33,80,4,115,0,0,0,0,0,3,0,3,3,0,0,0,5,14,0,26,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,4,0,0,0,8,25,0,34,4,3,3,0,6,6,0,19,959,825,355,20,2161,1011,71,3239
101041020,1261,811,282,24,2381,794,84,3262,5,0,0,0,5,3,0,10,0,0,0,0,3,0,0,3,6,3,0,0,9,8,0,10,0,0,0,0,3,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,13,0,21,0,0,0,0,3,15,0,18,3,0,0,0,3,6,0,8,0,3,3,0,8,20,0,24,4,4,0,0,4,3,0,7,8,9,3,0,22,37,3,63,11,5,3,0,22,10,0,35,1295,823,290,24,2437,867,88,3395
101041021,344,270,101,6,725,245,23,991,54,5,9,0,69,90,3,164,10,0,4,0,14,12,0,20,58,7,15,0,85,101,3,186,5,4,12,0,19,24,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,12,0,19,24,3,44,8,0,3,0,10,3,0,15,10,3,0,0,17,19,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,4,0,26,26,0,48,3,0,3,0,5,3,0,10,433,283,126,7,859,399,27,1285
101041022,3,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,4,7,0,15
101041023,344,220,125,11,702,291,25,1017,5,8,7,0,27,48,7,75,5,4,3,0,10,9,0,20,9,7,11,0,35,60,7,96,14,3,9,0,27,62,7,96,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,9,0,27,62,7,94,3,0,0,0,3,5,0,6,16,0,3,0,14,22,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,0,21,25,0,51,12,0,3,0,18,10,0,23,398,243,155,8,797,442,41,1283
101041024,463,295,121,9,890,317,23,1230,0,0,3,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,5,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,7,3,3,9,0,3,0,0,6,9,0,15,0,0,0,0,0,0,0,0,0,4,3,0,7,3,0,4,3,5,6,0,9,12,3,31,3,5,3,0,15,0,0,15,470,306,125,12,914,333,32,1277
101041025,1244,757,275,12,2293,656,63,3007,147,22,36,4,215,294,16,523,121,25,42,3,193,170,11,375,267,45,77,5,407,466,26,897,62,14,27,0,106,159,6,271,8,3,0,0,12,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,17,27,0,113,167,11,291,10,0,0,0,7,19,0,25,8,0,5,0,13,27,0,49,0,0,0,0,0,6,0,6,10,3,0,0,12,11,0,25,30,3,5,0,38,63,3,109,19,7,4,0,23,8,0,40,1625,837,396,16,2877,1366,104,4340
101041026,1182,602,294,24,2102,828,71,2997,9,5,4,0,18,31,3,50,16,4,9,0,27,29,3,57,27,10,13,0,44,61,4,116,22,9,10,0,40,106,7,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,10,0,40,106,7,159,4,0,4,0,10,24,0,35,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,3,5,0,11,27,0,42,9,4,3,0,17,6,0,21,1242,628,325,22,2218,1034,83,3331
101041027,1317,555,276,19,2163,896,72,3138,56,5,17,3,81,139,6,231,30,4,11,0,41,49,3,95,82,7,27,4,127,187,12,320,29,12,13,0,50,86,7,141,5,3,0,0,9,18,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,9,0,59,107,3,173,9,0,0,0,14,36,0,47,17,3,0,0,15,32,0,52,3,0,0,0,3,3,0,7,3,3,3,0,7,6,0,16,33,8,4,0,43,72,3,121,18,0,0,0,21,15,0,28,1482,585,325,20,2405,1282,89,3785
101051539,2009,2115,1008,83,5215,1861,172,7248,121,61,70,9,261,445,21,731,13,14,21,0,56,64,9,124,139,74,95,9,314,511,31,852,33,21,21,3,72,204,14,283,4,3,3,0,11,55,3,71,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,34,20,24,3,83,254,15,353,4,3,0,0,3,19,0,27,5,3,0,0,9,17,0,21,0,0,0,0,0,0,0,0,10,6,3,0,14,25,0,33,12,10,4,0,25,62,0,87,11,8,3,0,17,16,0,37,2210,2224,1135,88,5661,2698,220,8575
101051540,1585,1288,352,30,3251,1083,83,4418,7,4,0,0,14,45,0,66,4,0,0,0,4,3,0,10,11,4,0,0,18,50,0,67,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,0,6,3,3,0,0,9,4,0,10,0,5,0,0,7,6,0,13,3,5,0,4,17,3,0,25,4,4,0,0,5,6,0,9,14,19,0,3,38,17,0,56,9,18,6,0,34,16,0,42,1618,1329,358,38,3346,1172,83,4602
101061541,598,733,235,21,1591,474,46,2107,31,16,8,0,54,129,11,194,3,0,3,0,3,7,0,9,33,16,9,0,59,137,11,206,5,0,3,0,7,14,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,7,14,3,20,0,0,0,0,0,6,0,6,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,9,4,0,0,0,10,3,0,14,3,0,0,0,4,3,0,7,650,749,250,19,1670,630,53,2359
101061542,1301,1497,255,26,3077,611,64,3757,3,0,3,0,7,8,0,17,0,0,0,0,0,0,0,0,4,0,3,0,8,8,0,14,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,3,0,0,0,3,10,0,11,4,3,0,0,6,3,0,13,4,0,0,0,8,9,0,14,3,0,0,0,9,0,0,10,15,6,4,0,26,21,0,43,12,13,6,0,36,18,0,50,1338,1521,265,26,3151,659,63,3872
101061543,1006,990,483,37,2525,854,89,3472,18,7,21,0,51,142,8,194,0,0,0,0,0,3,0,3,18,12,21,0,50,141,8,199,31,13,23,4,73,174,8,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13,23,4,73,174,8,260,4,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,3,4,0,0,5,3,0,12,0,0,0,0,3,5,0,10,1063,1023,524,45,2661,1181,110,3944
101061544,897,667,251,20,1840,782,58,2687,41,10,10,0,59,45,3,118,0,0,0,0,0,0,0,0,41,10,10,0,59,45,3,118,3,0,0,0,3,36,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,36,0,47,0,0,0,0,0,5,0,10,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,6,9,7,0,0,22,4,0,22,17,7,0,0,26,15,0,40,9,7,3,0,22,22,0,40,962,693,268,25,1952,907,70,2925
102011028,548,968,260,7,1785,314,44,2145,4,3,10,3,20,3,0,27,24,16,14,0,54,39,0,95,37,17,17,3,71,41,3,121,21,16,11,0,51,19,0,64,8,6,0,0,11,5,0,17,3,0,0,0,5,3,0,5,0,0,0,0,0,0,0,0,34,17,13,0,64,27,0,93,7,0,10,0,18,36,0,52,5,3,3,0,13,19,0,35,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,7,17,3,15,0,31,60,0,95,3,0,3,0,5,5,0,8,637,1005,308,14,1960,449,47,2457
102011029,1221,1270,335,21,2855,817,76,3745,13,4,8,0,24,13,0,38,21,13,13,0,38,17,0,55,28,13,15,0,61,30,0,96,22,0,11,0,27,42,0,71,14,0,0,0,14,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,11,0,45,51,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,7,3,0,3,0,4,3,0,12,6,5,0,0,13,4,0,17,1298,1297,363,21,2983,908,75,3965
102011030,459,510,121,12,1100,348,61,1512,7,6,0,0,10,4,0,12,0,0,0,0,0,0,0,0,7,6,0,0,10,4,3,12,0,0,3,0,7,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,0,20,0,0,0,0,3,9,0,7,5,7,3,0,15,16,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,0,17,23,3,40,0,3,0,0,10,13,0,16,478,524,125,12,1137,398,66,1607
102011031,1197,1532,406,19,3153,1003,78,4239,162,22,34,3,225,297,11,531,31,16,26,3,85,100,4,187,198,46,64,9,309,399,16,719,38,15,23,0,80,75,4,159,10,3,6,3,18,26,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,16,28,3,101,104,7,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,0,0,3,3,4,0,0,6,0,0,3,3,4,3,0,6,11,0,20,1452,1599,500,25,3577,1515,95,5190
102011032,875,1248,513,35,2664,682,123,3467,39,23,26,3,95,144,10,246,228,187,178,5,600,453,51,1095,270,210,207,11,692,591,54,1343,270,118,115,15,521,772,59,1350,146,80,83,7,316,311,49,672,249,115,100,8,475,345,56,874,0,0,0,0,0,3,0,3,664,315,295,30,1306,1434,165,2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,3,3,0,4,7,3,6,0,17,37,0,56,1814,1775,1025,78,4685,2746,347,7778
102011033,405,890,232,12,1543,235,37,1819,30,25,27,0,88,38,0,128,5,4,3,0,16,7,0,19,36,30,31,0,98,48,0,144,0,3,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,4,0,11,443,929,270,11,1654,290,38,1977
102011034,475,797,267,12,1548,300,44,1895,190,14,47,7,255,421,3,683,81,12,24,3,120,144,3,266,271,25,73,8,373,568,6,946,10,0,3,0,19,4,0,28,12,0,0,0,12,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,3,0,33,16,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,771,820,343,26,1961,880,50,2892
102011035,532,827,283,14,1657,292,49,1999,56,28,33,0,116,73,6,201,6,5,14,0,24,23,0,48,59,32,45,3,144,98,6,247,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,8,593,862,330,20,1811,390,59,2256
102011036,548,1014,242,28,1826,281,45,2161,16,29,23,0,69,86,4,160,23,38,40,4,107,36,5,150,42,74,62,7,175,127,8,310,11,0,0,0,7,32,0,40,37,0,0,0,36,29,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,41,0,0,0,44,65,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,33,18,0,60,4,0,72,16,33,18,0,60,4,0,72,0,11,0,0,10,0,0,15,645,1128,317,30,2125,482,59,2669
