SA2_MAINCODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
102021050,210,70,282,1403,780,69,2258,6042,741,9043
102021051,45,6,53,846,368,48,1258,2439,186,3891
102021052,85,13,94,937,428,40,1401,3057,271,4728
102021053,355,118,478,2001,1015,95,3112,8175,1294,12582
102021054,341,146,487,1262,637,58,1956,5329,978,8258
102021055,56,35,87,966,309,36,1312,2528,339,4182
102021056,196,55,259,3120,906,160,4188,6544,688,11416
102021057,114,45,159,1329,575,50,1955,4508,666,7133
103011058,464,125,596,3519,1573,170,5260,11899,2352,19517
103011059,154,61,225,2114,739,86,2941,4864,673,8478
103011060,60,10,74,1030,488,29,1556,3250,885,5691
103011061,87,20,108,624,308,24,955,2294,615,3866
103021062,144,43,185,939,382,43,1367,3106,735,5209
103021063,322,59,386,1164,556,61,1784,4942,788,7519
103021064,102,11,120,726,297,37,1056,2971,446,4467
103021065,230,43,276,1421,564,63,2051,5154,933,8135
103021066,116,28,148,491,232,11,735,1958,350,3038
103021067,246,93,344,1671,655,86,2411,5234,1044,8692
103021068,67,14,80,461,176,8,647,1756,346,2760
103021069,134,73,211,838,368,35,1244,2781,685,4711
103031070,312,64,381,1729,852,77,2662,6490,1520,10670
103031071,106,31,133,1118,536,42,1697,4128,994,6821
103031072,255,35,304,1982,658,101,2736,5412,980,9135
103031073,64,17,80,436,170,22,626,1859,410,2896
103031074,127,33,162,1465,527,44,2037,5080,1212,8332
103031075,0,0,0,0,0,0,0,0,0,0
103041076,132,27,169,1219,468,54,1740,3455,565,5760
103041077,556,96,662,2699,1276,135,4113,9856,1562,15534
103041078,202,34,240,3774,1259,192,5227,8766,974,14968
103041079,151,35,197,2016,777,91,2880,5352,829,9056
104011080,613,107,725,2583,1289,170,4039,9546,1603,15191
104011081,182,47,233,1925,927,103,2961,8459,1380,12801
104011082,554,100,657,1829,863,82,2774,9813,1453,14045
104021083,108,15,122,989,382,80,1447,2717,410,4568
104021084,358,140,503,2489,964,117,3573,9261,1419,14255
104021085,293,269,566,1327,586,72,1985,5512,1187,8685
104021086,19,8,33,637,211,32,878,1870,319,3065
104021087,70,19,90,421,173,8,600,1812,314,2726
104021088,98,19,113,1525,517,55,2099,4355,489,6945
104021089,423,109,545,3013,1269,146,4425,10254,1159,15841
104021090,135,32,165,597,293,37,924,2719,385,4018
104021091,251,43,300,1814,734,79,2628,6620,1032,10280
105011092,46,15,59,460,184,18,661,1811,594,3072
105011093,59,12,78,755,212,27,991,2121,512,3624
105011094,77,26,105,509,194,14,714,1948,594,3257
105011095,93,28,121,655,275,16,949,2462,557,3962
105011096,62,11,80,718,254,23,997,3353,780,5124
105021097,483,114,593,2350,1143,100,3595,9659,1515,14767
105021098,26,3,28,286,92,7,384,1252,398,2026
105031099,205,47,258,982,450,39,1472,4243,823,6543
105031100,156,22,180,1573,659,79,2312,5135,763,8204
105031101,413,86,508,2774,1073,137,3982,8335,1154,13478
105031102,100,14,114,1474,546,65,2086,4008,660,6758
105031103,50,10,69,924,371,34,1331,2625,473,4432
105031104,99,30,132,613,266,20,906,2252,397,3555
105031105,139,36,179,931,415,44,1400,3062,662,5127
105031106,194,47,240,1049,490,55,1590,4036,1600,7223
106011107,65,16,88,1916,732,72,2717,4454,651,7824
106011108,470,88,561,3311,1632,158,5105,10304,2230,17637
106011109,79,12,85,1227,576,59,1871,3758,756,6388
106011110,130,44,179,1363,677,56,2093,4504,720,7315
106011111,246,79,330,2858,1430,146,4437,8357,1243,14033
106011112,253,36,292,2935,1005,126,4064,7672,904,12640
106011113,33,10,46,807,353,28,1188,2148,575,3912
106021114,167,17,182,1191,394,65,1658,3114,460,5229
106021115,428,98,522,4793,2037,241,7075,13218,1461,21758
106021116,101,42,146,1473,592,60,2119,3407,359,5884
106021117,270,67,340,4308,1464,219,5989,10128,1210,17331
106021118,46,6,52,2067,760,97,2919,4471,328,7714
106031119,64,32,97,844,397,48,1286,2981,518,4787
106031120,124,30,155,894,417,49,1360,3620,511,5497
106031121,738,161,904,2663,1418,128,4205,12008,1655,17867
106031122,227,40,272,2166,974,118,3259,6625,1090,10968
106031123,42,5,44,930,470,33,1440,2598,290,4325
106031124,217,25,240,439,355,11,814,3369,375,4555
106031125,94,30,129,2307,919,107,3330,6400,1082,10817
106041126,114,27,138,2151,702,73,2927,5380,1001,9305
106041127,50,9,66,719,202,30,949,1869,342,3153
106041128,146,41,185,973,322,33,1332,2816,459,4605
106041129,121,36,165,1304,471,38,1809,3998,786,6597
107011131,505,88,593,3797,1982,188,5970,11929,1145,19047
107011132,76,9,87,1830,638,96,2559,3801,225,6584
107011133,0,0,0,0,0,0,0,8,0,10
107011134,338,141,484,2529,1215,108,3848,7718,926,12496
107011545,246,38,290,2022,895,76,2987,7254,866,11108
107011546,312,41,353,1262,622,61,1950,5366,677,7989
107011547,112,16,133,560,291,26,871,2503,332,3711
107021135,0,0,0,0,0,0,0,8,0,8
107031136,243,34,281,2865,1137,133,4134,6467,579,11174
107031137,99,124,219,1047,571,49,1676,3391,564,5634
107031138,227,83,315,1088,665,50,1803,4254,516,6570
107031139,102,17,117,991,496,51,1543,2959,251,4754
107031140,216,47,268,1093,636,67,1800,4027,629,6454
107031141,144,26,170,3370,1216,157,4746,7503,768,13018
107031142,210,31,236,1541,839,68,2451,5281,521,8256
107031143,332,126,461,2863,1588,146,4594,10580,1600,16769
107041144,578,75,666,3270,1502,131,4904,11671,1058,17636
107041145,396,68,476,2373,1075,112,3565,8321,831,12718
107041146,483,59,550,3566,1561,166,5292,11007,835,17126
107041147,111,16,127,1831,592,98,2517,3987,364,6871
107041148,172,24,203,2152,874,100,3123,5355,521,9000
107041150,443,60,518,3686,1462,204,5351,9444,902,15693
107041548,336,92,428,1088,909,22,2022,9238,1684,12939
107041549,297,47,344,2403,944,91,3437,9836,885,14149
108011151,100,19,124,678,317,20,1008,2598,354,3962
108011152,576,205,785,1594,815,65,2467,8544,1243,12259
108011153,77,19,94,820,340,28,1186,3365,499,5047
108011154,362,86,447,514,287,20,817,4127,623,5570
108021155,325,156,480,1819,857,91,2768,7018,2083,11870
108021156,148,34,185,1114,540,45,1700,5051,876,7624
108021157,149,58,205,624,265,20,914,2611,428,3951
108021158,267,109,381,665,353,35,1060,4060,708,5832
108021159,94,20,113,1065,448,35,1555,4099,612,6259
108021160,181,24,207,545,233,26,802,3254,392,4451
108031161,12,0,10,54,17,5,78,211,38,327
108041162,449,180,633,2009,1014,82,3096,9905,1364,14367
108041163,898,148,1054,4358,1627,180,6167,15316,1656,23143
108041164,773,133,913,2250,890,115,3257,9982,1418,14658
108041165,55,13,64,710,318,27,1063,2820,542,4419
108041166,277,33,314,1652,700,75,2429,5656,794,8878
108051167,141,31,173,598,325,27,952,2869,394,4217
108051168,199,84,285,1409,681,83,2185,5884,705,8765
108051169,635,204,851,2645,1210,107,3965,11176,1667,16799
108051170,177,42,222,1426,770,48,2246,7284,1133,10665
108051171,144,55,201,685,336,35,1061,2963,405,4428
109011172,248,43,298,2776,901,134,3815,7229,782,11833
109011173,201,35,245,1459,609,76,2150,5035,814,7998
109011174,324,117,447,1419,592,49,2060,5659,972,8688
109011175,191,70,268,1913,743,80,2736,5493,825,9054
109011176,271,59,335,2059,991,95,3152,7568,1169,11890
109021177,36,22,60,386,153,20,552,1530,364,2453
109021178,115,20,128,824,401,21,1243,2979,599,4817
109021179,45,8,58,514,208,17,742,1713,463,2916
109031180,150,70,219,715,374,28,1120,2964,510,4583
109031181,140,47,194,905,400,42,1349,3515,680,5543
109031182,227,47,280,997,465,34,1497,3935,738,6160
109031183,145,39,178,897,432,38,1366,3526,661,5553
109031184,126,36,164,881,323,37,1242,3128,460,4823
109031185,264,68,336,1213,525,51,1794,5173,1069,8040
110011186,428,89,521,3171,1204,133,4506,12928,1792,19225
110011187,88,11,103,715,221,19,949,2253,362,3571
110011188,97,9,107,928,358,36,1320,3116,440,4875
110011189,58,38,97,465,166,17,650,1644,370,2660
110021190,192,79,279,1085,465,59,1611,4648,1069,7322
110021191,281,54,340,1686,698,78,2465,5952,869,9286
110021192,73,23,99,702,314,25,1036,2593,618,4245
110021193,125,42,170,831,293,24,1152,3070,641,4860
110021194,94,75,176,751,341,20,1114,3702,771,5591
110031195,119,22,143,1133,477,56,1664,3833,989,6481
110031196,30,5,34,832,259,33,1125,2467,576,4177
110031197,96,49,154,1053,457,53,1561,3391,701,5656
110031198,44,32,74,725,262,30,1021,2162,560,3736
110041199,239,39,286,1490,521,72,2085,4413,742,7241
110041200,45,15,62,616,258,20,898,2071,376,3336
110041201,162,28,191,1113,388,42,1537,3953,756,6243
110041202,313,76,395,3158,1428,153,4741,10064,1549,16351
110041203,477,114,600,2214,946,112,3265,7724,1226,12218
110041204,46,8,53,896,279,52,1219,2275,527,4027
110041205,298,84,393,2846,1073,125,4048,9172,1601,14812
111011206,363,188,560,2906,1570,111,4586,8948,961,14496
111011207,133,25,157,805,466,49,1319,3113,331,4758
111011208,532,72,615,4127,1754,222,6104,12153,1125,19379
111011209,429,95,534,4176,1839,199,6210,11621,1014,18851
111011210,233,42,277,1338,625,54,2021,4548,584,7151
111011211,92,62,151,567,303,21,889,1756,224,2864
111011212,315,72,398,1687,989,77,2756,6300,651,9710
111011213,231,23,259,2056,1242,95,3395,5928,422,9750
111011214,282,45,331,2141,1233,92,3475,6957,649,11080
111021215,174,124,293,1225,699,59,1977,4475,611,7065
111021216,166,22,185,1384,719,63,2169,4506,420,7092
111021217,217,86,303,2983,993,108,4082,6127,646,10864
111021218,641,93,730,2082,1009,85,3173,8472,950,12598
111021219,412,170,581,1867,1166,98,3135,7299,856,11288
111021220,148,21,169,1369,775,49,2188,4866,398,7456
111021221,51,9,64,1152,574,65,1792,3086,284,5166
111031222,340,40,385,2937,1114,125,4181,7806,511,12492
111031223,116,25,145,1189,726,61,1978,4317,518,6810
111031224,238,85,338,1681,801,99,2579,6672,787,10034
111031225,362,88,455,3017,1140,120,4277,8294,687,13260
111031226,58,6,73,2919,955,121,3995,5867,414,10280
111031227,282,153,442,2220,909,94,3218,8348,1045,12609
111031228,236,87,330,2230,981,85,3293,7257,695,11252
111031229,124,30,156,1117,751,46,1912,6878,934,9726
111031230,0,0,0,4,4,0,8,4,0,12
111031231,234,115,352,1249,593,65,1905,7291,756,9956
111031232,133,100,238,927,599,55,1579,3909,951,6442
111031233,522,174,702,2950,1502,115,4571,10671,1029,16270
111031234,236,357,591,1769,720,77,2561,6566,1042,10177
111031235,89,11,109,1174,501,59,1740,4549,510,6803
112011236,747,355,1112,2061,1023,65,3149,9943,1703,14801
112011237,446,65,516,2633,1021,114,3765,8785,1169,13726
112011238,72,33,106,991,284,54,1325,2689,587,4603
112011239,145,39,188,1288,475,77,1836,4241,752,6835
112011240,162,54,223,1277,474,41,1797,4942,1411,8147
112011241,118,32,150,682,303,28,1017,2871,494,4381
112011242,110,17,132,1439,483,75,1992,3814,435,6242
112011243,142,26,169,1254,501,77,1839,3740,970,6540
112021244,338,64,408,1644,769,91,2498,6278,951,9736
112021245,97,11,113,922,384,30,1338,3695,658,5689
112021246,394,87,486,1971,812,113,2894,6828,932,10658
112021247,151,56,209,894,442,53,1388,3984,726,6096
112021248,397,81,485,2115,839,130,3087,8276,1322,12686
112021249,138,33,177,2261,1052,143,3460,7612,1268,12334
112031250,270,104,373,2173,786,103,3054,6602,1075,10732
112031251,268,143,414,1319,554,60,1932,4499,820,7253
112031252,96,30,134,1377,655,54,2081,4939,955,7978
112031253,165,115,279,2307,854,92,3252,6233,947,10433
112031254,779,219,1001,2407,1140,86,3631,11274,1896,16796
112031550,639,132,776,2217,978,102,3298,8922,975,13195
112031551,36,0,39,574,222,37,834,1596,132,2560
112031552,470,95,565,881,398,30,1310,5063,730,7098
113011256,367,222,596,2886,1080,112,4076,9243,1890,15205
113011257,152,26,185,2036,747,59,2843,6018,1241,10105
113011258,197,36,231,1406,656,39,2105,5004,928,8038
113011259,162,36,202,852,362,38,1248,2954,656,4854
113021260,63,22,91,449,196,8,646,1773,463,2886
113021261,135,90,229,911,390,34,1337,3031,711,5082
113021262,88,29,117,723,262,25,1009,2437,418,3859
113031263,240,47,294,929,451,57,1438,4237,592,6270
113031264,77,21,103,545,241,15,796,1766,309,2873
113031265,86,21,115,753,332,36,1128,2660,1351,5139
113031266,206,19,228,942,395,36,1371,3571,501,5445
113031267,243,43,285,2793,1225,122,4139,8127,824,13085
113031268,92,13,112,675,233,27,946,2403,233,3579
113031269,436,64,510,3666,1312,152,5126,10331,1147,16604
113031270,323,74,399,1531,697,54,2273,6850,1070,10193
113031271,197,65,267,2469,894,96,3456,6905,1273,11636
114011272,320,54,376,1055,662,68,1788,4993,770,7553
114011273,69,16,86,417,232,20,673,2142,295,3104
114011274,186,26,214,546,329,29,902,2968,452,4316
114011275,0,0,0,8,3,0,4,33,10,42
114011276,125,35,161,529,320,22,875,2445,323,3644
114011277,326,101,430,2286,1153,131,3567,8239,1080,12881
114011278,338,130,475,2973,1163,156,4288,9347,2414,16048
114011279,335,125,457,1866,852,106,2826,7744,1084,11657
114011280,198,35,234,400,241,19,659,2849,346,3858
114011281,26,6,32,511,238,21,763,1818,246,2834
114011282,398,189,595,1941,909,76,2919,8688,1312,12925
114011283,70,22,96,638,360,23,1016,2882,435,4337
114021284,578,66,653,1719,838,84,2643,7470,819,10929
114021285,31,10,45,1097,374,57,1531,2816,322,4674
114021286,149,110,261,1345,585,53,1979,4734,777,7483
114021287,235,12,255,1502,657,71,2228,5078,681,7986
114021288,40,3,45,544,229,19,791,1762,292,2850
114021289,103,68,171,937,442,40,1425,3627,497,5555
115011290,348,102,463,4888,1398,115,6403,10730,788,17923
115011291,163,7,174,3694,1358,88,5145,10496,501,16144
115011294,187,19,210,979,470,36,1488,3418,212,5117
115011296,167,15,182,2167,927,55,3144,6973,317,10437
115011553,84,5,92,1519,476,43,2041,3735,259,6037
115011554,434,412,844,818,261,19,1106,2999,689,4798
115011555,158,24,186,2071,820,53,2949,6249,385,9573
115011556,118,15,141,1842,686,39,2576,4672,296,7541
115011557,33,3,43,1004,291,19,1312,2662,143,4122
115011558,395,48,451,3346,1208,85,4643,10215,480,15336
115011559,117,4,127,4919,1315,142,6374,10665,682,17719
115021297,386,29,416,3504,1420,119,5046,10918,1063,17031
115021298,170,21,189,876,403,27,1307,2675,256,4237
115031299,26,3,33,368,157,15,537,1335,361,2243
115031300,189,34,227,3848,1490,184,5519,10613,1340,17471
115041301,98,21,121,1951,713,79,2745,5016,496,8256
115041302,100,7,113,5105,1176,147,6433,9693,677,16803
116011303,228,62,302,3185,710,83,3975,8485,1024,13481
116011304,287,49,342,3036,1005,83,4123,9329,863,14315
116011306,163,24,183,3883,1176,99,5156,11630,1054,17831
116011307,368,50,429,4362,1516,148,6019,12629,1272,19921
116011308,218,31,254,4252,1362,111,5720,12136,1316,19168
116011560,110,24,133,2160,597,55,2809,6265,653,9725
116011561,306,49,358,2786,788,72,3652,8344,835,12839
116021309,57,7,65,3388,843,87,4318,7697,365,12380
116021310,90,6,99,7806,1392,226,9427,12349,2045,23822
116021312,116,23,141,3415,903,97,4422,7886,1099,13410
116021562,17,0,18,812,223,15,1049,1768,79,2897
116021563,141,22,164,4964,1141,141,6241,10506,746,17490
116031313,92,16,109,2528,1023,103,3661,8561,1560,13786
116031314,94,5,101,1657,374,45,2075,3885,315,6276
116031315,144,7,155,3649,1056,119,4824,10136,936,15899
116031316,91,24,118,3320,1033,125,4479,8995,1737,15210
116031317,164,26,195,3805,954,123,4889,10762,1399,17043
116031318,0,0,0,3,0,0,3,20,12,38
116031319,388,31,417,3531,1146,106,4784,11081,927,16786
117011320,0,0,0,5,0,0,4,11,0,21
117011321,84,96,185,2146,495,60,2702,5064,826,8592
117011322,296,35,332,3633,995,67,4701,14500,1515,20715
117011323,195,47,244,1825,529,46,2391,6058,928,9379
117011324,0,0,0,0,3,0,3,0,0,9
117011325,0,0,0,6,0,0,8,25,32,58
117021326,488,38,540,3729,1188,148,5066,15780,1909,22760
117021327,190,20,216,2789,828,106,3724,12031,1773,17522
117021328,83,15,99,1184,300,40,1526,4656,497,6672
117031329,45,18,60,631,314,20,956,8015,1800,10778
117031330,48,18,60,2000,496,88,2581,10587,1314,14483
117031331,134,64,204,1828,726,76,2623,13219,2031,17872
117031332,114,18,132,2338,756,103,3195,17283,2232,22709
117031333,244,181,428,934,626,32,1599,14123,4692,20413
117031334,85,18,108,1767,628,32,2427,15397,2272,20090
117031335,142,41,184,1371,537,47,1958,16572,2697,21229
117031336,190,35,231,912,406,15,1329,12052,2219,15606
117031337,122,34,159,1579,529,20,2133,19930,4095,26159
117031338,180,53,243,3129,934,55,4117,22754,3369,30235
118011339,229,56,288,2815,844,93,3746,10043,1795,15587
118011340,215,57,285,3089,753,95,3939,11287,2319,17544
118011341,458,190,655,2402,679,66,3150,9210,1977,14331
118011342,0,0,0,0,0,0,0,0,0,0
118011343,655,147,826,3456,1532,86,5076,13815,2399,21296
118011344,240,38,281,2055,636,62,2752,5240,655,8646
118011345,165,31,196,2005,656,49,2707,9063,1424,13199
118011346,272,53,334,2165,716,48,2927,5745,768,9439
118011347,222,64,290,1183,434,17,1633,4152,761,6553
118021348,324,65,399,4139,1120,104,5366,13779,2106,21249
118021350,447,172,632,3606,1348,114,5069,11619,3355,20047
118021564,196,38,236,1470,468,31,1969,10376,1082,13418
118021565,226,24,255,1769,570,53,2396,10597,851,13838
118021566,356,30,396,1570,533,39,2141,5573,503,8208
118021567,211,44,259,1693,582,54,2328,5771,837,8930
118021568,169,23,194,1536,452,39,2023,5928,625,8579
118021569,411,95,514,2764,672,97,3535,9594,1069,14197
118021570,247,42,297,1931,479,62,2466,7415,1340,11228
119011354,538,47,588,3284,1037,74,4396,11267,1251,16922
119011355,3,0,3,168,25,3,199,436,76,713
119011356,162,25,192,1825,590,28,2442,5578,633,8649
119011357,506,46,562,3898,1048,107,5050,13081,1550,19678
119011358,536,69,610,2565,934,70,3575,9304,800,13677
119011359,461,46,518,4529,1547,154,6227,13184,1150,20559
119011360,385,95,497,2624,781,65,3471,8817,857,13144
119011361,462,73,535,3049,852,83,3991,10967,1251,16214
119011571,219,31,256,2727,494,58,3273,8166,1141,12577
119011572,225,43,271,2407,592,30,3022,8250,1336,12606
119021362,359,27,388,2930,843,72,3840,10617,1053,15510
119021363,518,42,569,4764,1091,77,5924,18102,1803,25835
119021364,600,75,687,3880,1313,106,5295,12666,1350,19318
119021366,248,37,297,3155,797,68,4018,10769,1297,16083
119021367,272,25,299,2344,621,37,3004,7030,780,10812
119021573,196,92,287,3256,455,48,3757,7858,1121,12734
119021574,63,4,70,1903,325,20,2250,4763,731,7742
119031368,378,73,463,3672,949,65,4682,14210,1250,20135
119031369,532,66,608,4166,1224,95,5480,13134,1161,19780
119031370,359,50,424,2222,718,39,2989,7795,651,11439
119031371,280,30,318,2226,799,78,3107,6811,480,10390
119031372,597,130,737,2978,1248,89,4323,9525,833,14674
119031373,208,35,246,1586,501,48,2132,6589,787,9507
119031374,550,59,624,3897,1219,66,5179,14001,922,20107
119041375,280,35,311,2800,794,62,3655,13369,1445,18470
119041376,478,268,756,4448,1135,81,5666,14318,1763,21753
119041377,303,29,344,2033,669,62,2761,7034,559,10350
119041378,198,33,242,1971,419,34,2427,6407,625,9455
119041379,245,30,276,2723,720,45,3498,9017,751,13261
119041380,284,48,347,2099,708,37,2850,7770,1110,11730
119041381,338,197,539,2825,752,47,3623,12036,1522,17182
119041382,479,84,565,2536,940,63,3540,8744,1036,13319
120011383,525,40,571,3626,1455,79,5152,11886,962,18005
120011384,229,20,251,3858,769,41,4668,15113,1399,21181
120011385,518,71,601,3102,951,84,4142,9820,1181,15145
120011386,515,66,589,3610,1021,89,4721,10964,1238,16929
120021387,137,29,161,2702,828,90,3621,8054,1277,12952
120021388,339,32,381,4858,1012,172,6045,13622,1773,21437
120021389,163,24,186,2555,593,87,3235,7184,990,11409
120031390,628,86,724,3382,893,79,4348,15408,1708,21464
120031391,492,72,579,3211,917,77,4200,16046,1392,21644
120031392,125,12,146,1701,487,61,2243,5857,595,8697
120031393,391,54,459,2775,853,89,3717,9765,775,14259
120031394,212,50,274,2643,739,103,3483,9550,1227,14257
120031395,367,30,406,2233,625,83,2944,7531,711,11185
120031396,91,13,107,2622,377,34,3028,9240,1461,13725
120031575,596,63,666,3129,1055,61,4249,16066,1554,21874
120031576,40,0,46,607,141,5,747,1965,191,2911
121011398,511,104,614,5234,1050,94,6383,15717,1576,23676
121011399,411,35,447,3825,876,96,4797,11521,949,17266
121011400,584,68,668,5033,1381,162,6581,13822,1155,21558
121011401,81,16,97,1750,413,27,2194,6027,686,8899
121011402,603,57,681,5375,1221,151,6745,11884,1020,19654
121021403,238,22,271,3720,1136,116,4970,8888,537,14390
121021404,102,13,116,2420,787,127,3338,5445,360,9142
121021406,349,29,384,3692,1169,107,4971,9090,623,14678
121021577,147,16,169,2420,386,33,2833,6397,460,9686
121021578,204,34,239,2057,558,47,2665,5399,536,8601
121021579,311,40,357,2050,456,37,2536,4690,431,7657
121031407,645,82,731,4065,1157,82,5304,11270,803,17376
121031408,497,95,599,4672,1304,130,6103,11277,849,18234
121031409,307,26,350,3444,905,95,4442,7772,503,12718
121031410,514,80,604,4211,1377,107,5689,9821,663,16173
121031411,836,314,1166,3573,1216,105,4894,9644,974,15510
121031412,520,61,590,3268,1149,82,4506,9139,767,14409
121041413,247,39,287,3181,1064,79,4332,10510,1188,16032
121041414,197,34,235,2664,834,49,3549,10988,1148,15682
121041415,731,173,910,4870,1633,122,6624,14904,1938,23465
121041416,411,88,508,2176,921,46,3144,11237,1548,15929
121041417,95,17,117,1174,571,27,1776,6836,1027,9642
122011418,354,46,401,4425,1046,156,5624,8919,855,15391
122011419,334,147,483,3280,1215,96,4587,12276,1756,18617
122021420,304,28,338,2184,1009,74,3270,6272,557,10101
122021421,317,84,413,1821,783,70,2676,5435,683,8797
122021422,180,27,206,2470,956,74,3499,6603,502,10603
122021423,461,229,699,4601,1524,180,6306,11450,1429,19191
122031424,329,46,383,2634,828,72,3531,6899,661,11094
122031425,221,21,248,1448,567,56,2070,3522,332,5921
122031426,317,51,375,4535,1226,120,5887,13160,1548,20591
122031427,337,66,408,2603,758,100,3461,5950,432,9843
122031428,589,112,719,5056,1655,174,6887,11890,926,19702
122031429,320,41,366,3930,974,150,5058,10595,1227,16881
122031430,355,153,516,3586,923,124,4632,7545,819,12991
122031431,1006,262,1282,4354,1503,138,5991,12781,1595,20366
122031432,104,4,109,650,257,29,940,1804,189,2931
123011433,440,159,609,2269,1026,91,3384,6337,651,10375
123011434,126,22,153,4415,1322,177,5916,9131,783,15836
123011435,92,14,115,6330,1686,232,8246,12130,938,21313
123021436,110,28,138,3222,1196,127,4545,8835,1135,14512
123021437,281,55,338,2825,1018,95,3941,9597,1199,14735
123021438,95,16,115,3325,1292,133,4748,9985,1130,15863
123021439,0,0,0,0,0,0,0,0,0,0
123021440,191,32,231,3441,1172,82,4699,9963,1207,15867
123021441,117,25,148,2708,1218,100,4021,8383,851,13252
123021442,173,200,377,4073,1157,94,5324,11221,1750,18296
123021443,144,27,167,3539,1094,88,4725,9854,912,15486
123021444,97,84,186,3269,1471,138,4879,10163,1332,16373
123031445,66,18,86,986,384,38,1408,2771,345,4524
123031446,119,6,129,1887,673,85,2645,4297,451,7391
123031447,191,116,309,2950,1076,118,4147,7875,1201,13216
123031448,69,16,84,1585,656,48,2286,4249,510,7044
124011449,92,9,104,816,327,54,1195,3100,378,4677
124011450,206,37,240,3407,1602,174,5179,9204,722,15108
124011451,0,0,0,0,0,0,0,6,0,14
124011452,279,41,325,1714,800,122,2630,7740,969,11338
124011453,116,22,140,2014,720,110,2843,5697,475,9011
124011454,551,72,633,3779,1805,173,5763,10872,808,17433
124011455,164,11,176,883,416,35,1332,3411,330,5076
124021456,0,0,0,0,0,0,0,3,0,3
124031457,113,26,140,2678,1259,127,4068,7553,740,12357
124031458,97,20,124,4726,1494,232,6446,10478,1198,18124
124031459,229,24,263,2501,1151,129,3784,6855,762,11401
124031460,87,15,104,4353,1288,190,5827,9608,710,16143
124031461,203,33,236,2937,1251,137,4320,8464,929,13711
124031462,248,23,277,3531,1067,113,4709,9461,1122,15293
124031463,69,10,81,1801,607,84,2488,4441,535,7460
124031464,403,54,458,1943,694,66,2700,7341,1066,11110
124031465,28,4,31,963,318,32,1314,2499,244,4052
124041466,356,97,459,2053,932,80,3068,7403,956,11425
124041467,159,21,182,2651,958,110,3726,7616,777,12120
