SA4_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
111,113,1255,14811,52070,30212,5798,1174,1921,107357,23,1089,5061,2494,138,29,12,284,9141,23,673,2708,3144,431,80,33,190,7287,52,1760,7771,5644,570,106,50,473,16426,130,2053,2425,601,67,18,17,266,5580,40,481,1464,295,7,3,6,100,2399,45,460,999,665,39,3,0,48,2257,9,94,49,22,10,3,4,12,202,218,3091,4946,1582,120,28,31,424,10437,44,262,317,96,44,7,3,71,841,12,87,106,111,33,6,14,72,438,432,6456,27952,59506,30980,5952,1273,2962,135506
112,305,1588,8308,31177,19907,3719,805,1550,67356,36,561,3512,3586,185,27,12,333,8250,19,333,1605,2371,214,31,6,129,4711,55,890,5112,5958,399,59,23,456,12960,85,742,2544,888,90,21,14,230,4618,0,138,1095,372,4,0,3,86,1694,0,71,472,235,7,0,0,29,806,3,18,10,4,3,0,0,0,39,88,967,4118,1498,101,18,13,349,7162,294,1003,913,252,92,16,10,181,2765,17,97,221,171,69,29,18,87,701,757,4546,18673,39058,20574,3845,872,2619,90951
113,76,514,4837,22962,16026,2752,517,1246,48927,15,209,958,371,23,8,0,86,1673,4,12,152,84,8,0,0,3,263,15,224,1114,462,25,8,0,92,1938,44,564,2378,442,26,3,5,199,3663,0,30,62,13,5,0,0,4,117,3,11,13,8,0,0,0,0,31,0,7,0,3,3,0,0,3,16,40,615,2453,464,31,3,6,205,3826,54,106,82,110,87,13,4,47,509,3,26,50,105,69,20,18,24,310,186,1484,8541,24102,16245,2792,549,1612,55512
114,72,713,5372,21683,16556,3236,703,1098,49428,11,270,1521,737,68,4,5,120,2746,6,99,356,369,39,3,3,22,896,17,376,1881,1106,105,11,8,147,3638,17,246,590,259,32,10,4,77,1241,0,4,11,3,4,0,0,0,22,0,3,0,0,0,0,0,0,4,0,3,8,7,0,0,0,0,16,19,257,608,269,34,10,4,77,1282,57,257,565,138,40,6,0,81,1138,11,45,97,114,65,19,8,45,404,173,1647,8523,23303,16797,3283,720,1446,55891
115,61,410,1724,12602,30958,9737,2337,786,58616,3,217,661,515,57,10,3,52,1528,3,56,587,3302,1395,219,25,65,5652,7,273,1252,3819,1448,230,30,122,7182,3,189,597,319,24,4,7,46,1195,5,138,625,269,7,0,0,34,1078,3,198,636,274,16,0,0,20,1147,3,10,9,3,3,0,0,3,33,19,533,1871,868,50,9,7,102,3450,25,78,67,42,30,9,4,32,287,0,42,40,49,71,27,3,48,279,113,1337,4951,17381,32553,10012,2382,1090,69816
116,112,647,3912,36841,28747,5798,1192,1927,79177,35,270,803,2967,1934,177,12,152,6359,26,408,1176,5184,2672,397,66,222,10149,65,683,1979,8153,4601,579,81,371,16506,96,538,324,473,69,0,0,78,1582,7,42,651,58,0,0,3,39,797,11,147,2544,200,8,0,3,92,3003,3,26,6,4,3,0,0,3,50,121,749,3526,733,88,3,5,211,5431,7,57,175,115,43,9,0,58,457,8,44,71,93,55,15,7,68,348,303,2176,9652,45931,33529,6393,1290,2635,101918
117,36,212,2252,6304,3052,814,265,357,13285,41,774,4472,3442,687,94,39,212,9755,144,1313,4742,6822,2654,470,176,540,16861,189,2091,9210,10259,3341,563,211,748,26617,473,2469,3170,752,117,32,38,304,7360,892,4487,7852,1532,114,15,26,398,15324,2961,22130,26882,5856,345,63,99,1668,59987,9,82,78,32,10,11,7,8,234,4338,29177,37977,8175,586,118,165,2368,82907,47,288,318,219,61,19,15,77,1042,33,188,200,90,44,23,20,231,824,4636,31950,49952,25055,7082,1535,679,3784,124676
118,24,167,1531,7467,8016,3466,993,426,22089,58,194,2137,2914,679,129,20,144,6266,23,291,2331,5787,3078,502,69,258,12346,80,484,4472,8704,3761,630,89,403,18613,268,2257,5509,2112,292,67,34,488,11033,393,5024,15908,3777,256,49,19,738,26167,721,4579,9915,3363,169,32,19,542,19343,3,43,45,37,20,3,3,8,165,1384,11913,31375,9289,733,156,77,1772,56707,22,262,361,211,60,10,8,30,960,7,58,113,100,57,25,10,85,447,1519,12883,37850,25768,12621,4289,1169,2715,98825
119,156,860,11474,44817,27028,8869,2275,2343,97827,153,645,3307,4452,409,49,17,277,9317,48,854,2839,7816,5105,510,74,429,17666,196,1497,6152,12268,5516,562,90,703,26983,291,2619,10028,1305,186,37,18,617,15100,139,1154,13870,2549,101,14,10,523,18355,93,2779,16564,3852,178,13,14,611,24103,3,73,88,55,16,3,0,17,257,529,6622,40550,7757,482,67,49,1761,57813,15,192,474,259,85,22,3,54,1095,5,91,203,131,97,26,6,124,688,900,9268,58850,65224,33204,9549,2421,4987,184401
120,36,312,4412,15631,9898,3383,948,666,35295,27,423,3915,3632,896,136,25,157,9217,18,447,3060,5178,1910,421,114,201,11350,48,871,6970,8808,2805,559,139,365,20570,278,2540,6790,1554,182,39,42,420,11848,197,2058,10462,1978,109,13,15,410,15237,228,3783,11554,3665,162,52,13,433,19891,11,80,89,33,6,0,3,10,229,716,8459,28904,7232,457,104,74,1270,47212,17,214,468,278,62,20,5,49,1116,23,109,205,112,59,15,13,222,766,846,9970,40960,32069,13277,4084,1180,2573,104952
121,60,447,3990,22618,29667,11677,2301,913,71675,5,208,1299,1703,399,41,6,83,3748,25,357,1708,4809,1008,118,33,141,8206,33,568,3009,6510,1404,162,37,224,11959,127,1861,4830,2452,198,32,16,245,9771,355,3822,12453,3100,107,12,18,381,20258,698,8448,16666,5659,168,13,14,542,32211,5,36,49,33,12,0,0,8,140,1185,14177,34005,11244,482,58,56,1173,62380,6,71,116,44,17,3,0,17,281,16,100,99,82,32,17,14,62,419,1304,15365,41221,40501,31612,11911,2403,2390,146713
122,65,534,3122,17520,19864,7221,1583,794,50714,76,333,764,690,202,20,8,118,2212,41,481,1378,2912,618,78,28,139,5682,112,809,2144,3606,825,102,34,255,7895,128,1634,3192,1269,167,38,13,248,6684,80,2354,8913,1352,54,10,3,299,13067,132,1979,4837,1478,44,3,3,161,8634,3,37,32,15,8,0,0,8,106,341,6007,16970,4117,263,56,25,719,28497,18,75,205,76,15,8,3,48,455,9,74,104,75,37,17,6,56,385,552,7504,22541,25399,21011,7411,1659,1871,87940
123,108,459,2266,29364,28274,6210,1463,1294,69437,38,280,2237,2264,208,17,10,177,5231,18,328,1573,2328,563,36,9,170,5018,57,602,3803,4588,773,52,12,344,10246,33,191,707,265,14,3,3,48,1258,0,15,301,76,0,0,0,10,400,3,81,543,166,0,0,0,16,809,0,8,12,3,3,0,0,4,32,35,298,1563,501,13,3,0,80,2493,18,88,62,54,27,7,4,8,264,30,90,44,47,27,9,10,27,279,236,1531,7739,34558,29116,6294,1493,1754,82721
124,92,851,5822,40405,30435,6848,1619,1593,87678,62,542,1646,2418,168,22,10,195,5065,13,304,1026,3903,392,27,14,206,5885,72,852,2669,6321,559,48,24,399,10943,47,465,1513,225,15,3,3,115,2388,24,149,1318,130,0,0,0,59,1688,9,55,536,63,3,0,3,19,686,0,19,24,3,3,0,0,5,57,82,683,3392,429,22,3,7,203,4817,11,72,108,59,20,3,4,24,306,12,36,101,116,64,18,15,48,422,268,2498,12105,47329,31102,6924,1669,2271,104168
125,137,716,7465,33506,21579,6097,1533,1764,72792,129,822,2188,2164,299,31,14,242,5887,56,789,2874,8450,3061,402,65,367,16062,190,1615,5059,10614,3364,430,75,613,21950,211,1703,6826,1295,112,27,19,487,10669,108,942,11345,2076,77,10,5,497,15064,210,2988,12269,2854,93,11,6,457,18892,3,46,75,39,4,3,3,24,198,534,5681,30519,6263,286,43,35,1467,44827,8,65,260,184,67,18,11,35,650,14,109,154,101,92,23,5,143,644,881,8179,43452,50665,25394,6612,1655,4021,140867
126,39,214,2441,12602,12513,4537,1192,557,34097,29,189,915,1839,147,16,5,79,3218,13,431,2035,2394,800,103,25,132,5935,42,618,2947,4230,943,121,26,214,9149,29,649,931,259,25,6,3,75,1974,36,1388,6187,829,36,4,3,208,8695,91,2257,4954,959,34,0,0,115,8410,4,16,15,7,0,0,0,3,47,156,4311,12076,2054,102,13,8,398,19125,7,29,54,33,0,3,0,5,142,0,30,90,50,23,17,5,52,269,238,5205,17609,18974,13587,4693,1234,1224,62777
127,131,673,3807,34099,37154,8064,1876,2150,87958,53,275,730,1418,141,25,4,141,2784,27,487,2111,6083,1345,75,15,309,10456,76,755,2846,7506,1484,97,20,444,13234,147,902,1766,578,56,9,13,167,3642,54,455,5033,559,16,0,6,259,6382,20,401,3070,769,10,0,0,128,4400,0,31,89,34,5,3,3,10,173,227,1784,9963,1932,87,15,25,569,14606,6,95,103,189,91,23,8,40,555,3,66,134,90,93,15,8,130,541,450,3377,16857,43814,38907,8221,1936,3334,116885
128,30,280,2360,18382,19912,5868,1030,651,48519,37,198,725,1214,189,18,4,63,2454,6,366,1621,4929,728,75,14,173,7914,48,564,2347,6145,922,94,17,234,10368,21,1300,1545,584,52,5,5,116,3625,11,725,6520,1062,23,0,3,196,8545,54,452,3131,770,9,3,0,105,4526,0,5,10,0,0,0,0,3,20,80,2492,11204,2413,85,6,9,419,16714,25,107,137,57,17,4,0,25,367,7,20,41,52,32,0,3,36,199,188,3466,16093,27051,20962,5978,1060,1368,76169
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,83,793,7056,27205,13055,1811,344,1153,51496,19,799,2212,1612,412,32,17,202,5302,0,20,160,214,99,9,3,10,519,23,817,2378,1828,513,42,20,208,5826,17,383,647,186,16,3,9,72,1328,0,17,31,12,0,0,0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,17,402,681,196,16,3,9,74,1398,27,126,113,254,97,14,10,32,675,5,36,67,127,49,10,6,50,346,152,2180,10287,29606,13730,1880,384,1525,59743
202,79,828,7217,27016,13779,1880,361,1195,52347,23,530,1917,615,53,9,0,168,3303,0,32,129,199,22,3,0,26,405,22,560,2041,806,75,11,4,188,3714,15,146,345,112,12,0,0,44,670,0,24,17,3,3,0,0,8,56,0,14,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,15,183,366,114,13,3,0,51,747,58,125,89,58,22,0,5,26,386,7,22,72,98,57,11,4,42,318,176,1720,9792,28096,13942,1902,373,1511,57513
203,112,883,9695,47402,24747,3492,725,1801,88852,43,1477,4281,1768,241,30,12,273,8115,4,164,631,1001,194,15,8,47,2058,42,1637,4911,2766,435,44,12,315,10170,29,653,1108,348,28,8,5,110,2284,3,47,79,8,0,0,0,3,145,0,47,97,36,7,3,3,8,198,0,0,3,0,0,0,0,0,11,29,749,1293,395,29,11,7,117,2637,29,160,178,108,92,12,8,32,627,4,25,75,139,59,8,6,28,346,218,3448,16156,50813,25356,3570,763,2306,102631
204,113,817,7184,30112,15802,2072,421,1385,57905,9,540,2020,490,40,5,3,179,3288,0,27,85,90,4,0,0,6,218,9,568,2102,582,46,5,3,187,3507,10,319,956,164,18,3,3,86,1561,7,4,30,10,0,0,0,0,51,0,18,38,11,3,0,0,5,81,0,0,0,0,0,0,0,0,3,14,344,1028,189,19,3,10,92,1690,61,185,129,68,33,10,7,82,583,3,28,79,165,85,27,7,23,414,198,1940,10518,31110,15985,2114,454,1772,64101
205,140,1284,11778,50139,24441,3338,642,2252,94012,35,835,2287,627,55,10,11,222,4073,3,86,145,166,15,3,0,22,442,40,928,2430,787,71,10,14,239,4514,18,662,2065,388,28,0,3,169,3326,0,10,28,4,0,0,0,4,46,0,0,0,5,0,0,0,0,9,0,4,0,0,0,0,0,0,7,18,676,2092,398,31,0,3,174,3392,79,347,328,111,27,8,5,76,977,8,44,114,165,92,21,15,141,591,283,3271,16744,51603,24654,3378,676,2875,103488
206,44,796,10836,25531,11948,2564,584,1121,53415,60,1697,14700,9361,1730,251,51,596,28450,73,1542,8992,13172,3228,555,128,587,28281,132,3240,23699,22541,4962,808,178,1180,56731,452,7774,13285,2916,257,25,66,706,25494,564,11495,16024,2457,128,15,31,874,31587,2089,25323,39237,7836,416,50,67,2030,77035,6,36,37,18,0,0,0,5,109,3109,44628,68585,13230,803,87,160,3620,134225,31,342,533,251,67,16,8,88,1344,31,266,436,207,74,24,20,141,1192,3347,49269,104088,61760,17842,3499,943,6153,246911
207,51,432,6196,33476,29465,7813,1472,1363,80264,34,692,8055,5923,831,119,19,332,16012,30,137,1741,6226,2544,326,30,172,11201,57,827,9800,12147,3371,447,53,504,27211,201,1390,4926,1443,139,20,11,306,8448,120,1796,3647,454,34,4,6,131,6192,162,2054,2766,369,15,3,11,151,5527,0,0,3,4,3,0,0,0,8,486,5237,11344,2273,188,24,35,590,20184,3,28,94,68,21,5,3,8,238,3,50,84,111,68,14,0,106,437,602,6574,27516,48086,33117,8306,1562,2570,128334
208,50,430,8825,37452,26566,6400,1051,1327,82105,50,1348,12284,7454,714,56,22,537,22466,13,251,2915,8256,2698,286,49,221,14688,69,1603,15195,15707,3414,338,69,760,37154,126,5131,10697,3200,321,31,21,590,20124,31,1181,3542,429,39,21,3,103,5338,34,1143,1988,280,11,5,3,81,3550,0,13,14,8,0,0,0,4,39,189,7468,16247,3917,369,54,31,781,29050,28,226,392,139,28,9,0,16,838,10,59,131,189,91,13,12,78,590,338,9783,40795,57410,30467,6819,1162,2952,149732
